province_name,region,group_code,group_name,revenue,quantity,n_orders,n_customers,agg_level,revenue_pct_province,revenue_pct_region,revenue_pct_national,rank_in_region
Hà Giang,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,8800000,7,2,2,province_group,7.62,0.02,0.01,30
Hà Nam,Miền Bắc,CITYBIKE_P,Xe phổ thông,595772171,456,18,13,province_group,77.86,1.21,0.87,13
Hà Nam,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,60143142,52,9,8,province_group,7.86,0.12,0.09,13
Hà Nam,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,8702591,15,5,4,province_group,1.14,0.02,0.01,13
Hà Nam,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,27502860,11,6,4,province_group,3.59,0.06,0.04,13
Hà Nam,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,11560000,7,3,3,province_group,1.51,0.02,0.02,13
Hà Nam,Miền Bắc,,,61489801,35,3,1,province_group,8.04,0.12,0.09,13
Hà Nộ,Miền Bắc,CITYBIKE_P,Xe phổ thông,24640000,21,1,1,province_group,71.65,0.05,0.04,49
Hà Nộ,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,9750000,9,1,1,province_group,28.35,0.02,0.01,49
Hà Nội,Miền Bắc,CITYBIKE_P,Xe phổ thông,11586608605,8246,503,193,province_group,49.39,23.52,16.88,1
Hà Nội,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,3226339422,2743,304,127,province_group,13.75,6.55,4.7,1
Hà Nội,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,967893581,1392,191,86,province_group,4.13,1.96,1.41,1
Hà Nội,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,1361326487,479,92,41,province_group,5.8,2.76,1.98,1
Hà Nội,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1568373170,978,155,68,province_group,6.69,3.18,2.28,1
Hà Nội,Miền Bắc,,,4747149898,2888,305,108,province_group,20.24,9.64,6.92,1
Hà Tĩnh,Miền Trung,CITYBIKE_P,Xe phổ thông,596491582,426,23,14,province_group,62.82,5.77,0.87,4
Hà Tĩnh,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,127106915,104,16,12,province_group,13.39,1.23,0.19,4
Hà Tĩnh,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,17906102,26,4,4,province_group,1.89,0.17,0.03,4
Hà Tĩnh,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,5064259,2,2,2,province_group,0.53,0.05,0.01,4
Hà Tĩnh,Miền Trung,SPORTBIKE_S,Xe thể thao thép,61036000,31,4,3,province_group,6.43,0.59,0.09,4
Hà Tĩnh,Miền Trung,,,141991640,70,12,8,province_group,14.95,1.37,0.21,4
Hòa Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,87421103,65,6,4,province_group,54.95,0.18,0.13,24
Hòa Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,23641200,20,3,2,province_group,14.86,0.05,0.03,24
Hòa Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,4396666,8,3,1,province_group,2.76,0.01,0.01,24
Hòa Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,6964259,3,2,2,province_group,4.38,0.01,0.01,24
Hòa Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2400000,2,1,1,province_group,1.51,0.0,0.0,24
Hòa Bình,Miền Bắc,,,34260365,13,2,2,province_group,21.54,0.07,0.05,24
Hưng Yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,1722325872,1204,70,43,province_group,64.84,3.5,2.51,4
Hưng Yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,379170030,315,44,30,province_group,14.28,0.77,0.55,4
Hưng Yên,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,83769953,114,19,12,province_group,3.15,0.17,0.12,4
Hưng Yên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,37476126,14,6,4,province_group,1.41,0.08,0.05,4
Hưng Yên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,61378424,38,9,7,province_group,2.31,0.12,0.09,4
Hưng Yên,Miền Bắc,,,371996407,204,34,23,province_group,14.01,0.76,0.54,4
Hưng yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,30340000,26,2,1,province_group,62.57,0.06,0.04,44
Hưng yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,18150000,16,2,1,province_group,37.43,0.04,0.03,44
Hạ Long,Miền Bắc,CITYBIKE_P,Xe phổ thông,93856468,67,2,2,province_group,79.07,0.19,0.14,28
Hạ Long,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,14100000,13,1,1,province_group,11.88,0.03,0.02,28
Hạ Long,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,5500000,11,1,1,province_group,4.63,0.01,0.01,28
Hạ Long,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,5240000,4,1,1,province_group,4.41,0.01,0.01,28
Hải Dươn,Miền Bắc,CITYBIKE_P,Xe phổ thông,68710000,58,4,1,province_group,83.0,0.14,0.1,34
Hải Dươn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,8100000,7,2,1,province_group,9.78,0.02,0.01,34
Hải Dươn,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,3222643,1,1,1,province_group,3.89,0.01,0.0,34
Hải Dươn,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,2750000,2,2,1,province_group,3.32,0.01,0.0,34
Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,503658484,362,21,12,province_group,62.33,1.02,0.73,12
Hải Dương,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,67343699,61,12,8,province_group,8.33,0.14,0.1,12
Hải Dương,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,21569440,39,8,6,province_group,2.67,0.04,0.03,12
Hải Dương,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,59748146,25,5,4,province_group,7.39,0.12,0.09,12
Hải Dương,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,34165500,24,7,6,province_group,4.23,0.07,0.05,12
Hải Dương,Miền Bắc,,,121567398,65,5,3,province_group,15.04,0.25,0.18,12
Hải Phòng,Miền Bắc,CITYBIKE_P,Xe phổ thông,491857162,358,16,13,province_group,67.94,1.0,0.72,14
Hải Phòng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,49838602,41,10,9,province_group,6.88,0.1,0.07,14
Hải Phòng,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,38176655,64,5,5,province_group,5.27,0.08,0.06,14
Hải Phòng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,13935552,6,2,1,province_group,1.92,0.03,0.02,14
Hải Phòng,Miền Bắc,,,130157289,66,9,7,province_group,17.98,0.26,0.19,14
Hội An,Miền Bắc,CITYBIKE_P,Xe phổ thông,40550000,26,2,2,province_group,76.0,0.08,0.06,42
Hội An,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,12807000,5,1,1,province_group,24.0,0.03,0.02,42
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,CITYBIKE_P,Xe phổ thông,50880000,42,2,1,province_group,82.81,0.1,0.07,39
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,7830000,7,1,1,province_group,12.74,0.02,0.01,39
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,1500000,3,1,1,province_group,2.44,0.0,0.0,39
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,,,1231481,1,1,1,province_group,2.0,0.0,0.0,39
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,283620000,239,6,1,province_group,78.12,0.58,0.41,18
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,21050000,20,3,1,province_group,5.8,0.04,0.03,18
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,1410000,3,1,1,province_group,0.39,0.0,0.0,18
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,38607000,17,2,1,province_group,10.63,0.08,0.06,18
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,18375500,11,3,1,province_group,5.06,0.04,0.03,18
Lào Cai,Miền Bắc,CITYBIKE_P,Xe phổ thông,14558886,9,4,2,province_group,11.72,0.03,0.02,26
Lào Cai,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,38604152,29,5,3,province_group,31.08,0.08,0.06,26
Lào Cai,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,21153870,23,3,1,province_group,17.03,0.04,0.03,26
Lào Cai,Miền Bắc,,,49900449,31,5,3,province_group,40.17,0.1,0.07,26
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,CITYBIKE_P,Xe phổ thông,404761994,257,5,1,province_group,66.74,0.82,0.59,16
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,60007124,52,3,1,province_group,9.89,0.12,0.09,16
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,2361111,3,1,1,province_group,0.39,0.0,0.0,16
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,47088889,16,1,1,province_group,7.76,0.1,0.07,16
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,6356664,3,1,1,province_group,1.05,0.01,0.01,16
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,,,85881096,48,4,1,province_group,14.16,0.17,0.13,16
Lạng Sơn,Miền Bắc,CITYBIKE_P,Xe phổ thông,66771111,55,3,2,province_group,54.77,0.14,0.1,27
Lạng Sơn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,22500000,20,2,1,province_group,18.46,0.05,0.03,27
Lạng Sơn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,7880000,16,1,1,province_group,6.46,0.02,0.01,27
Lạng Sơn,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,12900000,6,2,1,province_group,10.58,0.03,0.02,27
Lạng Sơn,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,11850000,9,1,1,province_group,9.72,0.02,0.02,27
Nam Định,Miền Bắc,CITYBIKE_P,Xe phổ thông,745014074,616,14,7,province_group,80.43,1.51,1.09,10
Nam Định,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,92550000,86,6,3,province_group,9.99,0.19,0.13,10
Nam Định,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,25140000,51,2,2,province_group,2.71,0.05,0.04,10
Nam Định,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,47483081,19,6,4,province_group,5.13,0.1,0.07,10
Nam Định,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,1200000,1,1,1,province_group,0.13,0.0,0.0,10
Nam Định,Miền Bắc,,,14944444,6,1,1,province_group,1.61,0.03,0.02,10
Nghệ A,Miền Bắc,CITYBIKE_P,Xe phổ thông,75770000,63,1,1,province_group,54.75,0.15,0.11,25
Nghệ A,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,59400000,51,1,1,province_group,42.92,0.12,0.09,25
Nghệ A,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,3222643,1,1,1,province_group,2.33,0.01,0.0,25
Nghệ An,Miền Trung,CITYBIKE_P,Xe phổ thông,1988549789,1447,44,17,province_group,71.61,19.25,2.9,2
Nghệ An,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,223661262,193,24,13,province_group,8.05,2.16,0.33,2
Nghệ An,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,82752154,97,9,6,province_group,2.98,0.8,0.12,2
Nghệ An,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,73352351,28,8,5,province_group,2.64,0.71,0.11,2
Nghệ An,Miền Trung,SPORTBIKE_S,Xe thể thao thép,57647762,29,7,6,province_group,2.08,0.56,0.08,2
Nghệ An,Miền Trung,,,351039486,186,23,13,province_group,12.64,3.4,0.51,2
Ninh Bình,Miền Bắc,CITYBIKE_P,Xe phổ thông,2542888430,1679,58,18,province_group,72.22,5.16,3.7,2
Ninh Bình,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,247920874,210,28,12,province_group,7.04,0.5,0.36,2
Ninh Bình,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,34364419,41,10,8,province_group,0.98,0.07,0.05,2
Ninh Bình,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,22392777,9,2,2,province_group,0.64,0.05,0.03,2
Ninh Bình,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,27415000,20,5,5,province_group,0.78,0.06,0.04,2
Ninh Bình,Miền Bắc,,,646160603,354,39,14,province_group,18.35,1.31,0.94,2
Phan Thiết,Miền Bắc,,,4055556,2,1,1,province_group,100.0,0.01,0.01,59
Phú Quốc,Miền Bắc,CITYBIKE_P,Xe phổ thông,61250010,30,1,1,province_group,28.49,0.12,0.09,22
Phú Quốc,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,48148140,20,1,1,province_group,22.4,0.1,0.07,22
Phú Quốc,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,20833335,15,1,1,province_group,9.69,0.04,0.03,22
Phú Quốc,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,84722220,25,1,1,province_group,39.41,0.17,0.12,22
Phú Thọ,Miền Bắc,CITYBIKE_P,Xe phổ thông,525681045,376,33,25,province_group,42.18,1.07,0.77,7
Phú Thọ,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,136768491,112,24,21,province_group,10.97,0.28,0.2,7
Phú Thọ,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,23606096,32,6,5,province_group,1.89,0.05,0.03,7
Phú Thọ,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,36501143,16,4,3,province_group,2.93,0.07,0.05,7
Phú Thọ,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,79712380,45,11,10,province_group,6.4,0.16,0.12,7
Phú Thọ,Miền Bắc,,,444025847,211,27,21,province_group,35.63,0.9,0.65,7
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,CITYBIKE_P,Xe phổ thông,15600000,12,1,1,province_group,69.18,0.03,0.02,56
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,500000,1,1,1,province_group,2.22,0.0,0.0,56
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,6450000,3,1,1,province_group,28.6,0.01,0.01,56
Phủ Lý,Miền Bắc,CITYBIKE_P,Xe phổ thông,67874427,43,3,1,province_group,67.76,0.14,0.1,32
Phủ Lý,Miền Bắc,,,32297771,18,3,1,province_group,32.24,0.07,0.05,32
Quảng Nam,Miền Trung,CITYBIKE_P,Xe phổ thông,567748037,353,8,1,province_group,78.3,5.49,0.83,5
Quảng Nam,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,15893328,12,1,1,province_group,2.19,0.15,0.02,5
Quảng Nam,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,28745833,7,2,2,province_group,3.96,0.28,0.04,5
Quảng Nam,Miền Trung,,,112669976,62,5,1,province_group,15.54,1.09,0.16,5
Quảng Ngãi,Miền Trung,CITYBIKE_P,Xe phổ thông,48219437,32,4,3,province_group,58.73,0.47,0.07,9
Quảng Ngãi,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,16933332,15,2,2,province_group,20.62,0.16,0.02,9
Quảng Ngãi,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,3440000,7,1,1,province_group,4.19,0.03,0.01,9
Quảng Ngãi,Miền Trung,SPORTBIKE_A,Xe thể thao nhôm,8600000,4,1,1,province_group,10.47,0.08,0.01,9
Quảng Ngãi,Miền Trung,,,4908333,3,1,1,province_group,5.98,0.05,0.01,9
Quảng Ninh,Miền Bắc,CITYBIKE_P,Xe phổ thông,478501581,328,19,17,province_group,47.41,0.97,0.7,9
Quảng Ninh,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,87811545,67,11,9,province_group,8.7,0.18,0.13,9
Quảng Ninh,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,27388126,30,5,4,province_group,2.71,0.06,0.04,9
Quảng Ninh,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,25357574,11,3,3,province_group,2.51,0.05,0.04,9
Quảng Ninh,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,40722768,23,8,8,province_group,4.03,0.08,0.06,9
Quảng Ninh,Miền Bắc,,,349600950,155,18,15,province_group,34.64,0.71,0.51,9
Quảng NinhSố,Miền Bắc,CITYBIKE_P,Xe phổ thông,8070000,7,1,1,province_group,58.18,0.02,0.01,58
Quảng NinhSố,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,4800000,4,1,1,province_group,34.61,0.01,0.01,58
Quảng NinhSố,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,1000000,2,1,1,province_group,7.21,0.0,0.0,58
Quảng Trị,Miền Trung,CITYBIKE_P,Xe phổ thông,143843319,103,9,5,province_group,45.91,1.39,0.21,8
Quảng Trị,Miền Trung,KIDBIKE_1,Xe trẻ em nhóm 1,15296664,13,3,2,province_group,4.88,0.15,0.02,8
Quảng Trị,Miền Trung,KIDBIKE_2,Xe trẻ em nhóm 2,8034069,9,1,1,province_group,2.56,0.08,0.01,8
Quảng Trị,Miền Trung,SPORTBIKE_S,Xe thể thao thép,2716111,1,1,1,province_group,0.87,0.03,0.0,8
Quảng Trị,Miền Trung,,,143398308,80,7,6,province_group,45.77,1.39,0.21,8
Sơn La,Miền Bắc,CITYBIKE_P,Xe phổ thông,2540000,2,1,1,province_group,4.87,0.01,0.0,43
Sơn La,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,45350000,41,2,2,province_group,86.89,0.09,0.07,43
Sơn La,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,4300000,2,1,1,province_group,8.24,0.01,0.01,43
Sầm Sơn,Miền Bắc,CITYBIKE_P,Xe phổ thông,42623881,26,2,1,province_group,36.41,0.09,0.06,29
Sầm Sơn,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,17557680,14,1,1,province_group,15.0,0.04,0.03,29
Sầm Sơn,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,12908877,14,1,1,province_group,11.03,0.03,0.02,29
Sầm Sơn,Miền Bắc,,,43966100,26,3,1,province_group,37.56,0.09,0.06,29
TP Huế,Miền Bắc,CITYBIKE_P,Xe phổ thông,22709993,14,1,1,province_group,49.89,0.05,0.03,45
TP Huế,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,10385459,8,2,1,province_group,22.81,0.02,0.02,45
TP Huế,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,5663328,6,1,1,province_group,12.44,0.01,0.01,45
TP Huế,Miền Bắc,,,6763885,5,2,1,province_group,14.86,0.01,0.01,45
TP Hưng Yên,Miền Bắc,CITYBIKE_P,Xe phổ thông,16470000,14,1,1,province_group,58.87,0.03,0.02,51
TP Hưng Yên,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,4200000,4,1,1,province_group,15.01,0.01,0.01,51
TP Hưng Yên,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,2150000,1,1,1,province_group,7.68,0.0,0.0,51
TP Hưng Yên,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,5158500,3,1,1,province_group,18.44,0.01,0.01,51
TP Hải Dương,Miền Bắc,CITYBIKE_P,Xe phổ thông,24000000,20,1,1,province_group,100.0,0.05,0.03,53
TP Hải Phòng,Miền Bắc,CITYBIKE_P,Xe phổ thông,665420603,418,28,13,province_group,61.72,1.35,0.97,8
TP Hải Phòng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,92176449,73,17,10,province_group,8.55,0.19,0.13,8
TP Hải Phòng,Miền Bắc,KIDBIKE_2,Xe trẻ em nhóm 2,33892751,41,8,6,province_group,3.14,0.07,0.05,8
TP Hải Phòng,Miền Bắc,SPORTBIKE_A,Xe thể thao nhôm,7522643,3,1,1,province_group,0.7,0.02,0.01,8
TP Hải Phòng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,23224440,11,4,4,province_group,2.15,0.05,0.03,8
TP Hải Phòng,Miền Bắc,,,255971174,143,19,11,province_group,23.74,0.52,0.37,8
TP Đà Nẵng,Miền Bắc,CITYBIKE_P,Xe phổ thông,72961105,44,6,4,province_group,84.55,0.15,0.11,33
TP Đà Nẵng,Miền Bắc,KIDBIKE_1,Xe trẻ em nhóm 1,6300000,6,2,1,province_group,7.3,0.01,0.01,33
TP Đà Nẵng,Miền Bắc,SPORTBIKE_S,Xe thể thao thép,7031481,4,2,2,province_group,8.15,0.01,0.01,33
TP. Hồ Chí Minh,Miền Nam,CITYBIKE_P,Xe phổ thông,1406842982,724,92,3,province_group,29.78,29.75,2.05,1
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_1,Xe trẻ em nhóm 1,563939432,338,64,2,province_group,11.94,11.92,0.82,1
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_2,Xe trẻ em nhóm 2,691010865,618,74,2,province_group,14.63,14.61,1.01,1
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_A,Xe thể thao nhôm,146428334,42,2,1,province_group,3.1,3.1,0.21,1
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_S,Xe thể thao thép,434740469,169,32,2,province_group,9.2,9.19,0.63,1
TP. Hồ Chí Minh,Miền Nam,,,1481709093,583,72,2,province_group,31.36,31.33,2.16,1
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,CITYBIKE_P,Xe phổ thông,23350000,20,1,1,province_group,100.0,0.05,0.03,54
Tam Kỳ,Miền Bắc,CITYBIKE_P,Xe phổ thông,55725542,37,2,1,province_group,72.35,0.11,0.08,36
