product_code,product_name,group_code,group_name,line_name,color,revenue_total,quantity_total,n_orders_total,n_customers_total,revenue_2025,quantity_2025,n_orders_2025,revenue_2026,quantity_2026,n_orders_2026,revenue_2026_ann,yoy_revenue_pct,avg_unit_price,revenue_rank,pareto_cum_pct,pareto_class,revenue_share_in_group_pct,bcg_quadrant
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",CITYBIKE_P,Xe phổ thông,Xe Nữ,Ngọc,1308233962,886,129,100,336916666,259,42.0,971317296,627,87.0,5827903776,1629.78,1476562,12,30.9,A (top 70%),3.4,Ngôi sao
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 26,Xanh mint,1172070127,832,301,217,584952650,474,166.0,587117477,358,135.0,3522704862,502.22,1408738,13,32.61,A (top 70%),3.05,Ngôi sao
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe New 24,Café/nâu,1112254536,821,294,218,475967124,414,150.0,636287412,407,144.0,3817724472,702.1,1354756,14,34.23,A (top 70%),2.89,Ngôi sao
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-24 2.0,Đen,792797344,571,233,177,283534722,236,101.0,509262622,335,132.0,3055575732,977.67,1388437,18,39.49,A (top 70%),2.06,Ngôi sao
000224002002000,Xe đạp Thống Nhất New 24 Trắng,CITYBIKE_P,Xe phổ thông,Xe New 24,Trắng,779729677,576,250,197,379727576,318,130.0,400002101,258,120.0,2400012606,532.04,1353697,19,40.62,A (top 70%),2.03,Ngôi sao
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-24 2.0,Ghi,777028965,532,212,159,147934722,123,66.0,629094243,409,146.0,3774565458,2451.51,1460581,20,41.76,A (top 70%),2.02,Ngôi sao
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,CITYBIKE_P,Xe phổ thông,Xe New 24,Xanh mint,773837487,573,241,188,333801572,293,123.0,440035915,280,118.0,2640215490,690.95,1350502,21,42.88,A (top 70%),2.01,Ngôi sao
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Trắng,718796802,510,220,149,361982962,286,119.0,356813840,224,101.0,2140883040,491.43,1409405,23,44.99,A (top 70%),1.87,Ngôi sao
000214004000000,Xe đạp Thống Nhất GN 05-26,CITYBIKE_P,Xe phổ thông,Xe GN 05-26,05-26,686770756,484,153,118,366029168,273,92.0,320741588,211,61.0,1924449528,425.76,1418948,26,48.05,A (top 70%),1.79,Bò sữa
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,CITYBIKE_P,Xe phổ thông,Xe 219-26,Xanh Tím,682150847,518,159,133,347464813,298,98.0,334686034,220,61.0,2008116204,477.93,1316894,27,49.04,A (top 70%),1.77,Bò sữa
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Xanh dương,610686802,402,185,144,361662963,262,103.0,249023839,140,82.0,1494143034,313.13,1519121,31,52.71,A (top 70%),1.59,Bò sữa
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Café/nâu,530851824,358,139,95,326959259,232,80.0,203892565,126,59.0,1223355390,274.16,1482826,34,55.15,A (top 70%),1.38,Bò sữa
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,CITYBIKE_P,Xe phổ thông,Xe LD 24-01_2023,Xanh Santorini,506745338,358,157,113,279929628,218,90.0,226815710,140,67.0,1360894260,386.16,1415490,37,57.4,A (top 70%),1.32,Bò sữa
000216002007000,Xe đạp Thống Nhất GN 06-24 Coban,CITYBIKE_P,Xe phổ thông,Xe GN 06-24,Coban,483900907,325,25,20,152975925,105,11.0,330924982,220,14.0,1985549892,1197.95,1488926,43,61.71,A (top 70%),1.26,Ngôi sao
000224002009000,Xe đạp Thống Nhất New 24 Hồng,CITYBIKE_P,Xe phổ thông,Xe New 24,Hồng,461487169,358,160,129,239560000,212,94.0,221927169,146,66.0,1331563014,455.84,1289070,45,63.08,A (top 70%),1.2,Bò sữa
000230002002000,Xe đạp Thống Nhất LD 26 Trắng,CITYBIKE_P,Xe phổ thông,Xe LD 26,Trắng,433796953,243,110,88,9717500,5,2.0,424079453,238,108.0,2544476718,26084.48,1785173,49,65.7,A (top 70%),1.13,Ngôi sao
000225002004000,Xe đạp Thống Nhất New 26 Đỏ tươi,CITYBIKE_P,Xe phổ thông,Xe New 26,Đỏ tươi,428189253,283,102,88,337658700,227,61.0,90530553,56,41.0,543183318,60.87,1513036,50,66.32,A (top 70%),1.11,Bò sữa
000217002001000,Xe đạp Thống Nhất GN 06-26 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-26,Đen,426110141,321,132,98,222473147,184,73.0,203636994,137,59.0,1221821964,449.2,1327446,51,66.94,A (top 70%),1.11,Bò sữa
000330002001000,Xe đạp Thống Nhất MTB 24-03 Đen,CITYBIKE_P,Xe phổ thông,Xe MTB 24-03,Đen,413084716,339,145,102,413084716,339,145.0,0,0,0.0,0,-100.0,1218539,54,68.77,A (top 70%),1.07,Bò sữa
000208002003000,Xe đạp Thống Nhất 219-24 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe 219-24,Đỏ đun,394773111,280,60,48,160118519,119,24.0,234654592,161,36.0,1407927552,779.3,1409904,55,69.35,A (top 70%),1.03,Ngôi sao
000209002003000,Xe đạp Thống Nhất 219-26 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe 219-26,Đỏ đun,380212439,288,92,81,170318051,145,54.0,209894388,143,38.0,1259366328,639.42,1320182,56,69.9,A (top 70%),0.99,Ngôi sao
000215004000000,Xe đạp Thống Nhất GN 05-27,CITYBIKE_P,Xe phổ thông,Xe GN 05-27,05-27,360359486,248,81,57,232241013,169,46.0,128118473,79,35.0,768710838,231.0,1453062,58,70.96,B (70-90%),0.94,Bò sữa
000330002002200,Xe đạp Thống Nhất MTB 24-03 Xanh dương,CITYBIKE_P,Xe phổ thông,Xe MTB 24-03,Xanh dương,355948424,261,134,93,355948424,261,134.0,0,0,0.0,0,-100.0,1363787,59,71.48,B (70-90%),0.93,Bò sữa
000331002004000,Xe đạp Thống Nhất MTB 26-02 Đỏ tươi,CITYBIKE_P,Xe phổ thông,Xe MTB 26 02,Đỏ tươi,353143755,224,127,97,141540278,104,58.0,211603477,120,69.0,1269620862,797.0,1576535,60,71.99,B (70-90%),0.92,Dấu hỏi
000401002016002,"Xe đạp Thống Nhất Nữ Truyền thống Lốp 2 màu, Ngọc",CITYBIKE_P,Xe phổ thông,Xe Nữ,Ngọc,345344373,235,37,34,138233333,100,18.0,207111040,135,19.0,1242666240,798.96,1469551,61,72.5,B (70-90%),0.9,Dấu hỏi
000209002007000,Xe đạp Thống Nhất 219-26 Coban,CITYBIKE_P,Xe phổ thông,Xe 219-26,Coban,319725888,211,79,70,108162035,84,39.0,211563853,127,40.0,1269383118,1073.59,1515289,65,74.41,B (70-90%),0.83,Dấu hỏi
000224002024000,Xe đạp Thống Nhất New 24 Tím,CITYBIKE_P,Xe phổ thông,Xe New 24,Tím,318513650,236,109,92,139441572,121,52.0,179072078,115,57.0,1074432468,670.53,1349634,66,74.87,B (70-90%),0.83,Dấu hỏi
000225002009000,Xe đạp Thống Nhất New 26 Hồng,CITYBIKE_P,Xe phổ thông,Xe New 26,Hồng,313868882,229,104,96,161796943,136,60.0,152071939,93,44.0,912431634,463.94,1370606,67,75.33,B (70-90%),0.82,Con chó
000225002024000,Xe đạp Thống Nhất New 26 Tím,CITYBIKE_P,Xe phổ thông,Xe New 26,Tím,295741476,217,100,85,150435924,126,54.0,145305552,91,46.0,871833312,479.54,1362864,70,76.64,B (70-90%),0.77,Dấu hỏi
000217002007000,Xe đạp Thống Nhất GN 06-26 Coban,CITYBIKE_P,Xe phổ thông,Xe GN 06-26,Coban,271683764,196,93,75,134548612,104,51.0,137135152,92,42.0,822810912,511.53,1386142,75,78.69,B (70-90%),0.71,Dấu hỏi
000230002014000,Xe đạp Thống Nhất LD 26 Xanh Santorini,CITYBIKE_P,Xe phổ thông,Xe LD 26,Xanh Santorini,265837635,150,76,53,0,0,0.0,265837635,150,76.0,1595025810,,1772251,77,79.47,B (70-90%),0.69,Con chó
000208002007000,Xe đạp Thống Nhất 219-24 Coban,CITYBIKE_P,Xe phổ thông,Xe 219-24,Coban,262572209,184,35,30,184233332,130,16.0,78338877,54,19.0,470033262,155.13,1427023,78,79.85,B (70-90%),0.68,Con chó
000224002004000,Xe đạp Thống Nhất New 24 Đỏ tươi,CITYBIKE_P,Xe phổ thông,Xe New 24,Đỏ tươi,261500720,182,79,67,186009072,132,46.0,75491648,50,33.0,452949888,143.51,1436817,80,80.62,B (70-90%),0.68,Con chó
000218002007000,Xe đạp Thống Nhất GN 06-27 Coban,CITYBIKE_P,Xe phổ thông,Xe GN 06-27,Coban,257756008,161,40,34,210424535,134,26.0,47331473,27,14.0,283988838,34.96,1600969,82,81.37,B (70-90%),0.67,Con chó
000216002001000,Xe đạp Thống Nhất GN 06-24 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-24,Đen,256620357,186,38,32,118107407,92,18.0,138512950,94,20.0,831077700,603.66,1379679,83,81.75,B (70-90%),0.67,Dấu hỏi
000208002023000,Xe đạp Thống Nhất 219-24 Xanh Tím,CITYBIKE_P,Xe phổ thông,Xe 219-24,Xanh Tím,251803675,191,74,57,95938889,83,29.0,155864786,108,45.0,935188716,874.78,1318344,84,82.11,B (70-90%),0.65,Dấu hỏi
000217003005000,Xe đạp Thống Nhất GN 06-26 2.0 Cam,CITYBIKE_P,Xe phổ thông,Xe GN 06-26 2.0,Cam,238478552,151,84,70,94373975,62,34.0,144104577,89,50.0,864627462,816.17,1579328,88,83.54,B (70-90%),0.62,Dấu hỏi
000217002003000,Xe đạp Thống Nhất GN 06-26 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe GN 06-26,Đỏ đun,211300929,139,50,44,118392592,86,35.0,92908337,53,15.0,557450022,370.85,1520151,91,84.49,B (70-90%),0.55,Con chó
000216003005000,Xe đạp Thống Nhất GN 06-24 2.0 Cam,CITYBIKE_P,Xe phổ thông,Xe GN 06-24 2.0,Cam,188916626,134,80,67,61200000,51,32.0,127716626,83,48.0,766299756,1152.12,1409826,97,86.22,B (70-90%),0.49,Dấu hỏi
000218002001000,Xe đạp Thống Nhất GN 06-27 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-27,Đen,158200826,121,35,31,145956386,113,28.0,12244440,8,7.0,73466640,-49.67,1307445,108,88.9,B (70-90%),0.41,Con chó
000218003008000,Xe đạp Thống Nhất GN 06-27 2.0 Ghi,CITYBIKE_P,Xe phổ thông,Xe GN 06-27 2.0,Ghi,150251388,117,44,35,150251388,117,44.0,0,0,0.0,0,-100.0,1284200,113,90.02,C (90-100%),0.39,Con chó
000218003001000,Xe đạp Thống Nhất GN 06-27 2.0 Đen,CITYBIKE_P,Xe phổ thông,Xe GN 06-27 2.0,Đen,89285092,70,30,28,89285092,70,30.0,0,0,0.0,0,-100.0,1275501,136,94.09,C (90-100%),0.23,Con chó
000227002014000,Xe đạp Thống Nhất LD 24-02 Xanh Santorini,CITYBIKE_P,Xe phổ thông,Xe LD 24-02,Xanh Santorini,71369813,39,13,3,71369813,39,13.0,0,0,0.0,0,-100.0,1829995,146,95.28,C (90-100%),0.19,Con chó
000218002003000,Xe đạp Thống Nhất GN 06-27 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe GN 06-27,Đỏ đun,71226385,58,15,13,60498611,51,10.0,10727774,7,5.0,64366644,6.39,1228041,147,95.39,C (90-100%),0.19,Con chó
000225002002001,Xe đạp Thống Nhất New 26 Trắng DA HP,CITYBIKE_P,Xe phổ thông,Xe New 26,HP,68611111,38,1,1,0,0,0.0,68611111,38,1.0,411666666,,1805556,150,95.69,C (90-100%),0.18,Con chó
000225002007001,Xe đạp Thống Nhất New 26 Xanh DA HP,CITYBIKE_P,Xe phổ thông,Xe New 26,HP,68611111,38,1,1,0,0,0.0,68611111,38,1.0,411666666,,1805556,151,95.79,C (90-100%),0.18,Con chó
000225002015001,Xe đạp Thống Nhất New 26 Café/nâu DA HP,CITYBIKE_P,Xe phổ thông,Xe New 26,HP,66805555,37,1,1,0,0,0.0,66805555,37,1.0,400833330,,1805556,155,96.19,C (90-100%),0.17,Con chó
000225002004001,Xe đạp Thống Nhất New 26 màu đỏ DA HP,CITYBIKE_P,Xe phổ thông,Xe New 26,HP,66805555,37,1,1,0,0,0.0,66805555,37,1.0,400833330,,1805556,156,96.28,C (90-100%),0.17,Con chó
000218003005000,Xe đạp Thống Nhất GN 06-27 2.0 Cam,CITYBIKE_P,Xe phổ thông,Xe GN 06-27 2.0,Cam,66425092,52,12,9,66425092,52,12.0,0,0,0.0,0,-100.0,1277406,158,96.48,C (90-100%),0.17,Con chó
000216002003000,Xe đạp Thống Nhất GN 06-24 Đỏ đun,CITYBIKE_P,Xe phổ thông,Xe GN 06-24,Đỏ đun,44050458,32,12,12,20011574,15,6.0,24038884,17,6.0,144233304,620.75,1376577,180,98.19,C (90-100%),0.11,Dấu hỏi
000490002004000,Xe đạp đôi Thống Nhất 26 Đỏ tươi,CITYBIKE_P,Xe phổ thông,Xe đạp đôi 26,Đỏ tươi,18198611,12,7,7,18198611,12,7.0,0,0,0.0,0,-100.0,1516551,214,99.57,C (90-100%),0.05,Con chó
000490002007000,Xe đạp đôi Thống Nhất 26 Coban,CITYBIKE_P,Xe phổ thông,Xe đạp đôi 26,Coban,16797222,10,6,6,16797222,10,6.0,0,0,0.0,0,-100.0,1679722,216,99.62,C (90-100%),0.04,Con chó
000490002009000,Xe đạp đôi Thống Nhất 26 Hồng,CITYBIKE_P,Xe phổ thông,Xe đạp đôi 26,Hồng,14000000,10,6,5,14000000,10,6.0,0,0,0.0,0,-100.0,1400000,221,99.73,C (90-100%),0.04,Con chó
000230002001000,Xe đạp Thống Nhất M 27-01 Đen,CITYBIKE_P,Xe phổ thông,Xe M 27-01,Đen,3750000,3,1,1,3750000,3,1.0,0,0,0.0,0,-100.0,1250000,242,99.99,C (90-100%),0.01,Con chó
000230002027000,Xe đạp Thống Nhất M 27-01 Xanh nước biển,CITYBIKE_P,Xe phổ thông,Xe M 27-01,Xanh nước biển,2500000,2,1,1,2500000,2,1.0,0,0,0.0,0,-100.0,1250000,243,99.99,C (90-100%),0.01,Con chó
000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Hồng,1434516070,1162,380,250,543273886,466,171.0,891242184,696,209.0,5347453104,884.3,1234523,8,23.08,A (top 70%),18.49,Ngôi sao
000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Kem,833759844,702,300,229,343298046,322,148.0,490461798,380,152.0,2942770788,757.21,1187692,17,38.33,A (top 70%),10.75,Ngôi sao
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Đen,693316689,574,219,168,331980091,273,101.0,361336598,301,118.0,2168019588,553.06,1207869,25,47.05,A (top 70%),8.94,Ngôi sao
000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Xanh,650642097,544,235,173,242743880,227,105.0,407898217,317,130.0,2447389302,908.22,1196033,28,49.99,A (top 70%),8.39,Ngôi sao
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Ghi,526713455,440,205,150,255579165,213,96.0,271134290,227,109.0,1626805740,536.52,1197076,35,55.92,A (top 70%),6.79,Ngôi sao
000305002022000,Xe đạp Thống Nhất MTB 20-05 Xanh dương,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-05,Xanh dương,481958334,342,76,55,481958334,342,76.0,0,0,0.0,0,-100.0,1409235,44,62.41,A (top 70%),6.21,Bò sữa
000334002013000,Xe đạp Thống Nhất Super 20 Xanh,KIDBIKE_1,Xe trẻ em nhóm 1,Xe TE Super 20,Xanh,452090245,264,88,48,240786944,149,49.0,211303301,115,39.0,1267819806,426.53,1712463,48,65.07,A (top 70%),5.83,Ngôi sao
000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Puppy 20,Trắng,418126327,354,174,122,174471660,163,79.0,243654667,191,95.0,1461928002,737.92,1181148,53,68.17,A (top 70%),5.39,Ngôi sao
000131002004005,Xe đạp Thống Nhất GN 06 20 2024 Đỏ,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Đỏ,305581626,258,141,108,135743055,115,61.0,169838571,143,80.0,1019031426,650.71,1184425,68,75.78,B (70-90%),3.94,Ngôi sao
000131002019002,Xe đạp Thống Nhất GN 06 20 2024 Vàng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20 2024,Vàng,297616254,250,142,112,130347685,110,67.0,167268569,140,75.0,1003611414,669.95,1190465,69,76.21,B (70-90%),3.84,Ngôi sao
000122002009000,Xe đạp Thống Nhất Neo 20-02 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02,Hồng,248198319,229,44,33,117600000,112,24.0,130598319,117,20.0,783589914,566.32,1083835,86,82.84,B (70-90%),3.2,Ngôi sao
000305002001000,Xe đạp Thống Nhất MTB 20-05 Đen,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-05,Đen,227133329,214,83,63,227133329,214,83.0,0,0,0.0,0,-100.0,1061371,89,83.88,B (70-90%),2.93,Bò sữa
000334002001000,Xe đạp Thống Nhất Super 20 Đen,KIDBIKE_1,Xe trẻ em nhóm 1,Xe TE Super 20,Đen,192771629,140,70,54,94380000,78,30.0,98391629,62,40.0,590349774,525.5,1376940,96,85.94,B (70-90%),2.48,Ngôi sao
000334002004000,Xe đạp Thống Nhất Super 20 Đỏ,KIDBIKE_1,Xe trẻ em nhóm 1,Xe TE Super 20,Đỏ,157993867,119,62,50,94380000,78,36.0,63613867,41,26.0,381683202,304.41,1327680,109,89.13,B (70-90%),2.04,Ngôi sao
000122002004000,Xe đạp Thống Nhất Neo 20-02 Đỏ tươi,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02,Đỏ tươi,141080553,121,21,16,121080555,103,13.0,19999998,18,8.0,119999988,-0.89,1165955,117,90.87,C (90-100%),1.82,Bò sữa
000122002007000,Xe đạp Thống Nhất Neo 20-02 Coban,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02,Coban,100105553,94,23,17,74550000,71,14.0,25555553,23,9.0,153333318,105.68,1064953,134,93.82,C (90-100%),1.29,Bò sữa
000124002009000,Xe đạp Thống Nhất Neo 2004 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 2004,Hồng,68089712,51,22,17,40928611,30,16.0,27161101,21,6.0,162966606,298.17,1335092,153,95.99,C (90-100%),0.88,Dấu hỏi
000122002002000,Xe đạp Thống Nhất Neo 20-02 Trắng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02,Trắng,64050000,61,9,6,64050000,61,9.0,0,0,0.0,0,-100.0,1050000,159,96.57,C (90-100%),0.83,Con chó
000124002024000,Xe đạp Thống Nhất Neo 2004 Tím,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 2004,Tím,60771388,52,18,14,38549168,32,14.0,22222220,20,4.0,133333320,245.88,1168681,164,97.03,C (90-100%),0.78,Dấu hỏi
000304002004000,Xe đạp Thống Nhất MTB 20-04 Tem đỏ,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-04,Tem đỏ,59798606,37,6,3,59798606,37,6.0,0,0,0.0,0,-100.0,1616179,165,97.12,C (90-100%),0.77,Con chó
000124002004000,Xe đạp Thống Nhất Neo 2004 Đỏ tươi,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 2004,Đỏ tươi,56668886,41,6,5,1050000,1,1.0,55618886,40,5.0,333713316,31682.22,1382168,168,97.37,C (90-100%),0.73,Dấu hỏi
000122002022000,Xe đạp Thống Nhất Bubbles 20 Xanh,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02 Bubble,Xanh,46375274,35,22,9,0,0,0.0,46375274,35,22.0,278251644,,1325008,174,97.8,C (90-100%),0.6,Con chó
000304002019000,Xe đạp Thống Nhất MTB 20-04 Tem Vàng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-04,Vàng,46074070,30,2,2,46074070,30,2.0,0,0,0.0,0,-100.0,1535802,175,97.86,C (90-100%),0.59,Con chó
000122002019000,Xe đạp Thống Nhất Bubbles 20 Vàng chanh,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-02 Bubble,chanh,39373604,30,19,12,0,0,0.0,39373604,30,19.0,236241624,,1312453,187,98.61,C (90-100%),0.51,Con chó
000131002007000,Xe đạp Thống Nhất GN 06 20 Coban,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20,Coban,36427500,29,5,4,36427500,29,5.0,0,0,0.0,0,-100.0,1256121,190,98.77,C (90-100%),0.47,Con chó
000123002009000,Xe đạp Thống Nhất Neo 20-03 Hồng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-03,Hồng,31929723,27,4,2,31929723,27,4.0,0,0,0.0,0,-100.0,1182582,191,98.82,C (90-100%),0.41,Con chó
000123002004000,Xe đạp Thống Nhất Neo 20-03 Đỏ tươi,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-03,Đỏ tươi,23100000,22,3,3,23100000,22,3.0,0,0,0.0,0,-100.0,1050000,199,99.13,C (90-100%),0.3,Con chó
000304002005000,Xe đạp Thống Nhất MTB 20-04 Tem cam,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-04,Tem cam,22000000,20,1,1,22000000,20,1.0,0,0,0.0,0,-100.0,1100000,202,99.23,C (90-100%),0.28,Con chó
000123002002000,Xe đạp Thống Nhất Neo 20-03 Trắng,KIDBIKE_1,Xe trẻ em nhóm 1,Xe Neo 20-03,Trắng,21000000,20,1,1,21000000,20,1.0,0,0,0.0,0,-100.0,1050000,204,99.29,C (90-100%),0.27,Con chó
000114002000000,Xe đạp Thống Nhất TE 16-04,KIDBIKE_1,Xe trẻ em nhóm 1,Xe TE 16-04,16-04,9000000,9,3,3,9000000,9,3.0,0,0,0.0,0,-100.0,1000000,232,99.91,C (90-100%),0.12,Con chó
000304002020000,Xe đạp Thống Nhất MTB 20-04 Tem Xanh da trời,KIDBIKE_1,Xe trẻ em nhóm 1,Xe MTB 20-04,trời,5881944,3,1,1,5881944,3,1.0,0,0,0.0,0,-100.0,1960648,235,99.94,C (90-100%),0.08,Con chó
000131002004000,Xe đạp Thống Nhất GN 06 20 Đỏ tươi,KIDBIKE_1,Xe trẻ em nhóm 1,Xe GN 06 20,Đỏ tươi,5693056,5,2,2,5693056,5,2.0,0,0,0.0,0,-100.0,1138611,236,99.95,C (90-100%),0.07,Con chó
1000240020090000,Xe đạp Thống Nhất TE Bunny 16 Hồng,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Bunny 16,Hồng,485622223,625,203,142,157807485,257,85.0,327814738,368,118.0,1966888428,1146.38,776996,42,61.0,A (top 70%),17.45,Ngôi sao
1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Spaceboy 16,Xanh dương,454386429,577,195,138,185506660,288,94.0,268879769,289,101.0,1613278614,769.66,787498,47,64.41,A (top 70%),16.32,Bò sữa
1000270020150000,Xe đạp Thống Nhất TE Spaceboy 16 Café/nâu,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Spaceboy 16,Café/nâu,327595442,383,132,89,165905540,219,72.0,161689902,164,60.0,970139412,484.75,855341,64,73.94,B (70-90%),11.77,Bò sữa
1000230020090000,Xe đạp Thống Nhất TE Bunny 12 Hồng,KIDBIKE_2,Xe trẻ em nhóm 2,Xe Bunny 12,Hồng,286913076,406,125,94,82330831,167,49.0,204582245,239,76.0,1227493470,1390.93,706682,72,77.48,B (70-90%),10.31,Ngôi sao
