customer_code,customer_name,province_name,region,first_order_date,last_order_date_q1_2025,cohort_month,recency_days,n_orders_q1_2025,revenue_q1_2025,quantity_q1_2025,avg_order_value_q1_2025,n_product_groups_q1_2025,trend_slope,groups_bought,churn_label,rfm_r,rfm_f,rfm_m,rfm_segment,churn_prob,churn_split,churn_priority,roc_auc_test,n_orders_q1_2026,revenue_q1_2026,quantity_q1_2026
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,2025-01-16,2025-01-16,2025-01,74,1,680818519,307,680818519.0,3,0.0,CITYBIKE_P|SPORTBIKE_A|SPORTBIKE_S,0,1,2,5,Có nguy cơ rời bỏ,0.0133,train,Thấp,0.8046,1.0,685527778,309.0
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2025-01-16,2025-01-16,2025-01,74,1,4907408,2,4907408.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9846,train,Cao,0.8046,0.0,0,0.0
KH-00032,HỘ KINH DOANH CHI THÀNH,Hà Nội,Miền Bắc,2025-01-16,2025-01-16,2025-01,74,1,1935185,1,1935185.0,0,0.0,,1,1,2,1,Có nguy cơ rời bỏ,0.9846,train,Cao,0.8046,0.0,0,0.0
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,Hà Nội,Miền Bắc,2025-01-17,2025-01-17,2025-01,73,1,11064815,5,11064815.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9575,train,Cao,0.8046,0.0,0,0.0
KH-00034,CÔNG TY TNHH BÌNH MINH,Đà Nẵng,Miền Trung,2025-01-18,2025-02-20,2025-01,39,2,32750000,28,16375000.0,3,9250000.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S,1,1,4,2,Cần chăm sóc đặc biệt,0.9881,train,Cao,0.8046,0.0,0,0.0
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,2025-01-18,2025-03-28,2025-01,3,4,63200000,51,15800000.0,2,33200000.0,CITYBIKE_P|SPORTBIKE_S,1,4,5,4,Khách hàng tiêu biểu,0.9402,train,Cao,0.8046,0.0,0,0.0
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,2025-01-20,2025-02-07,2025-01,52,3,46324073,7,15441358.0,1,-16361111.0,SPORTBIKE_A,1,1,5,3,Cần chăm sóc đặc biệt,0.9347,train,Cao,0.8046,0.0,0,0.0
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Hà Nội,Miền Bắc,2025-01-20,2025-01-20,2025-01,70,1,3879630,1,3879630.0,1,0.0,SPORTBIKE_S,1,1,2,1,Có nguy cơ rời bỏ,0.9846,train,Cao,0.8046,0.0,0,0.0
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,2025-01-20,2025-02-21,2025-01,38,2,106679035,86,53339518.0,2,41979035.0,CITYBIKE_P|SPORTBIKE_A,1,2,4,5,Cần chăm sóc đặc biệt,0.9775,train,Cao,0.8046,0.0,0,0.0
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,2025-01-21,2025-01-21,2025-01,69,1,153703695,60,153703695.0,3,0.0,KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S,0,1,2,5,Có nguy cơ rời bỏ,0.0405,test,Thấp,0.8046,1.0,61250010,30.0
KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,2025-01-21,2025-03-29,2025-01,2,3,293400000,163,97800000.0,1,-69300000.0,KIDBIKE_1,1,5,5,5,Khách hàng tiêu biểu,0.8566,train,Cao,0.8046,0.0,0,0.0
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Thanh Hóa,Miền Trung,2025-01-22,2025-01-22,2025-01,68,1,11064815,5,11064815.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9575,train,Cao,0.8046,0.0,0,0.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,2025-01-22,2025-03-28,2025-01,3,6,122314323,76,20385720.0,3,12413189.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S,0,4,5,5,Khách hàng tiêu biểu,0.0264,train,Thấp,0.8046,2.0,78345994,52.0
KH-00043,CÔNG TY TNHH LONG PHÚ,TP Đà Nẵng,Miền Bắc,2025-01-22,2025-02-20,2025-01,39,3,30650000,26,10216667.0,3,25930000.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S,1,1,5,2,Cần chăm sóc đặc biệt,0.9881,train,Cao,0.8046,0.0,0,0.0
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,Tam Kỳ,Miền Bắc,2025-01-23,2025-01-23,2025-01,67,1,29250000,26,29250000.0,2,0.0,CITYBIKE_P|KIDBIKE_1,0,1,2,2,Có nguy cơ rời bỏ,0.4872,train,Trung bình,0.8046,1.0,47775542,30.0
KH-00045,CÔNG TY TNHH AN PHÁT,Quảng Nam,Miền Trung,2025-01-23,2025-01-23,2025-01,67,1,18111112,4,18111112.0,1,0.0,SPORTBIKE_A,1,1,2,2,Có nguy cơ rời bỏ,0.7701,test,Cao,0.8046,0.0,0,0.0
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,2025-01-24,2025-03-17,2025-01,14,2,213842071,136,106921036.0,2,2487507.0,CITYBIKE_P|KIDBIKE_1,0,2,4,5,Cần chăm sóc đặc biệt,0.0457,train,Thấp,0.8046,1.0,78322761,45.0
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Vĩnh Phúc,Miền Bắc,2025-02-04,2025-02-04,2025-02,55,1,36180000,30,36180000.0,1,0.0,CITYBIKE_P,1,1,2,3,Có nguy cơ rời bỏ,0.9567,train,Cao,0.8046,0.0,0,0.0
KH-00048,CÔNG TY TNHH THUỶ TIÊN,Hà Nội,Miền Bắc,2025-02-05,2025-02-20,2025-02,39,3,13277778,6,4425926.0,1,0.0,CITYBIKE_P,1,1,5,1,Cần chăm sóc đặc biệt,0.9804,train,Cao,0.8046,0.0,0,0.0
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,2025-02-07,2025-03-28,2025-02,3,3,87930080,36,29310027.0,4,-29393984.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S,0,4,5,4,Khách hàng tiêu biểu,0.9144,test,Cao,0.8046,2.0,37276660,18.0
KH-00050,CÔNG TY TNHH AN PHÁT,Hải Dương,Miền Bắc,2025-02-07,2025-02-07,2025-02,52,1,2305556,1,2305556.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,Hưng Yên,Miền Bắc,2025-02-07,2025-02-07,2025-02,52,1,4611111,2,4611111.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,Chí Linh,Miền Bắc,2025-02-07,2025-02-07,2025-02,52,1,2212963,1,2212963.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,test,Cao,0.8046,0.0,0,0.0
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2025-02-07,2025-02-07,2025-02,52,1,3694444,1,3694444.0,1,0.0,SPORTBIKE_S,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,Hà Nội,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,2398148,1,2398148.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,test,Cao,0.8046,0.0,0,0.0
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Đắk Lắk,Miền Trung,2025-02-10,2025-02-10,2025-02,49,1,4983333,2,4983333.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,Hà Nam,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,33090000,30,33090000.0,3,0.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2,1,1,2,2,Có nguy cơ rời bỏ,0.9846,train,Cao,0.8046,0.0,0,0.0
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,2025-02-10,2025-03-29,2025-02,2,5,563575152,499,112715030.0,4,258464848.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A,1,5,5,5,Khách hàng tiêu biểu,0.947,train,Cao,0.8046,0.0,0,0.0
KH-00058,DOANH NGHIỆP TW SÁN LẠP,TP Hải Dương,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,24000000,20,24000000.0,1,0.0,CITYBIKE_P,1,1,2,2,Có nguy cơ rời bỏ,0.9719,train,Cao,0.8046,0.0,0,0.0
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,Hải Dương,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,48680000,42,48680000.0,2,0.0,CITYBIKE_P|KIDBIKE_1,1,1,2,3,Có nguy cơ rời bỏ,0.961,train,Cao,0.8046,0.0,0,0.0
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nam,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,25550000,21,25550000.0,1,0.0,CITYBIKE_P,1,1,2,2,Có nguy cơ rời bỏ,0.9719,test,Cao,0.8046,0.0,0,0.0
KH-00061,HỘ KINH DOANH THUỶ TIÊN,Hòa Bình,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,13730000,10,13730000.0,3,0.0,CITYBIKE_P|SPORTBIKE_A|SPORTBIKE_S,1,1,2,1,Có nguy cơ rời bỏ,0.9806,train,Cao,0.8046,0.0,0,0.0
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,2025-02-10,2025-03-31,2025-02,0,2,119540000,105,59770000.0,5,-24140000.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,1,5,4,5,Khách hàng tiêu biểu,0.9376,train,Cao,0.8046,0.0,0,0.0
KH-00063,HỘ KINH DOANH VẠN LỢI,Bắc Giang,Miền Bắc,2025-02-10,2025-03-28,2025-02,3,2,51715148,28,25857574.0,2,10484852.0,SPORTBIKE_A|SPORTBIKE_S,1,4,4,3,Khách hàng trung thành,0.9856,test,Cao,0.8046,0.0,0,0.0
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,2025-02-10,2025-03-28,2025-02,3,6,363062500,290,60510417.0,5,101262500.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,1,4,5,5,Khách hàng tiêu biểu,0.0972,test,Thấp,0.8046,0.0,0,0.0
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,2025-02-10,2025-03-25,2025-02,6,8,550630000,466,68828750.0,5,386270000.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,1,3,5,5,Cần theo dõi,0.9449,train,Cao,0.8046,0.0,0,0.0
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,Hà Nộ,Miền Bắc,2025-02-10,2025-02-10,2025-02,49,1,34390000,30,34390000.0,2,0.0,CITYBIKE_P|KIDBIKE_1,1,1,2,2,Có nguy cơ rời bỏ,0.9701,train,Cao,0.8046,0.0,0,0.0
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,2025-02-10,2025-03-31,2025-02,0,9,213946302,170,23771811.0,5,76163340.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,1,5,5,5,Khách hàng tiêu biểu,0.8998,train,Cao,0.8046,0.0,0,0.0
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,Vĩnh Phúc,Miền Bắc,2025-02-10,2025-03-18,2025-02,13,3,48010000,56,16003333.0,2,-13030000.0,CITYBIKE_P|KIDBIKE_2,1,2,5,3,Cần chăm sóc đặc biệt,0.9284,train,Cao,0.8046,0.0,0,0.0
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,Hà Nội,Miền Bắc,2025-02-11,2025-02-18,2025-02,41,2,11074074,4,5537037.0,1,0.0,CITYBIKE_P,0,1,4,1,Cần chăm sóc đặc biệt,0.2232,train,Thấp,0.8046,1.0,5537037,2.0
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2025-02-13,2025-02-13,2025-02,46,1,8851852,4,8851852.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9663,test,Cao,0.8046,0.0,0,0.0
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,Hà Nội,Miền Bắc,2025-02-14,2025-02-14,2025-02,45,1,3509259,1,3509259.0,1,0.0,SPORTBIKE_S,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00072,DOANH NGHIỆP TW PHÚC AN,Hà Tĩnh,Miền Trung,2025-02-14,2025-02-14,2025-02,45,1,3450000,3,3450000.0,1,0.0,CITYBIKE_P,1,1,2,1,Có nguy cơ rời bỏ,0.9867,train,Cao,0.8046,0.0,0,0.0
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Thanh Hoá,Miền Trung,2025-02-14,2025-03-31,2025-02,0,2,62612500,47,31306250.0,2,-7507500.0,CITYBIKE_P|SPORTBIKE_S,1,5,4,4,Khách hàng tiêu biểu,0.9506,test,Cao,0.8046,0.0,0,0.0
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Hòa Bình,Miền Bắc,2025-02-14,2025-03-20,2025-02,11,2,25831481,26,12915740.0,3,-5031481.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2,0,2,4,2,Cần chăm sóc đặc biệt,0.9738,test,Cao,0.8046,1.0,13197126,9.0
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,2025-02-14,2025-03-27,2025-02,4,5,312855405,238,62571081.0,4,106875405.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S,0,4,5,5,Khách hàng tiêu biểu,0.1208,train,Thấp,0.8046,2.0,54772209,34.0
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,2025-02-14,2025-03-20,2025-02,11,3,142017573,128,47339191.0,4,-18300573.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A,0,2,5,5,Cần chăm sóc đặc biệt,0.4113,test,Trung bình,0.8046,4.0,632901688,395.0
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,2025-02-14,2025-02-14,2025-02,45,1,35020000,30,35020000.0,2,0.0,CITYBIKE_P|KIDBIKE_1,1,1,2,3,Có nguy cơ rời bỏ,0.9701,test,Cao,0.8046,0.0,0,0.0
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2025-02-14,2025-03-31,2025-02,0,12,226371529,214,18864294.0,5,28776719.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,5,5,5,Khách hàng tiêu biểu,0.0496,train,Thấp,0.8046,5.0,75514516,50.0
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,2025-02-14,2025-03-17,2025-02,14,2,82316430,69,41158215.0,5,-37976430.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S,0,2,4,4,Cần chăm sóc đặc biệt,0.1225,train,Thấp,0.8046,4.0,130356634,83.0
KH-00080,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2025-02-14,2025-02-14,2025-02,45,1,60020000,50,60020000.0,1,0.0,CITYBIKE_P,1,1,2,4,Có nguy cơ rời bỏ,0.9683,train,Cao,0.8046,0.0,0,0.0
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hưng Yên,Miền Bắc,2025-02-14,2025-02-14,2025-02,45,1,45220000,40,45220000.0,4,0.0,CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S,1,1,2,3,Có nguy cơ rời bỏ,0.9673,train,Cao,0.8046,0.0,0,0.0
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Vĩnh Phúc,Miền Bắc,2025-02-14,2025-02-14,2025-02,45,1,43600000,31,43600000.0,2,0.0,CITYBIKE_P|SPORTBIKE_A,1,1,2,3,Có nguy cơ rời bỏ,0.9376,train,Cao,0.8046,0.0,0,0.0
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,2025-02-14,2025-03-19,2025-02,12,2,141400000,121,70700000.0,3,62500000.0,CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S,1,2,4,5,Cần chăm sóc đặc biệt,0.9501,train,Cao,0.8046,0.0,0,0.0
