fiscal_year,fiscal_month,ym,group_code,group_name,region,revenue,quantity,n_orders,n_customers,agg_level,period_label,mom_revenue_pct,yoy_revenue_pct,revenue_share_pct,cum_revenue_ytd
2025,1,2025-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Bắc,299489338,178,8,8,group_region,T1/2025,,0.0,9.36,299489338
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Bắc,725105552,619,70,62,group_region,T2/2025,142.11,0.0,11.44,1024594890
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Bắc,2461255464,2148,231,138,group_region,T3/2025,239.43,0.0,13.25,3485850354
2026,1,2026-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Bắc,1519953386,1219,168,129,group_region,T1/2026,-38.24,407.52,7.19,1519953386
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Bắc,919246865,752,122,86,group_region,T2/2026,-39.52,26.77,4.74,2439200251
2025,1,2025-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Nam,60502037,36,7,1,group_region,T1/2025,,0.0,1.89,60502037
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Nam,9432500,5,2,1,group_region,T2/2025,-84.41,0.0,0.15,69934537
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Nam,67153982,39,2,1,group_region,T3/2025,611.94,0.0,0.36,137088519
2026,1,2026-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Nam,222879341,127,24,2,group_region,T1/2026,231.89,268.38,1.05,222879341
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Nam,203971572,131,29,2,group_region,T2/2026,-8.48,2062.43,1.05,426850913
2025,1,2025-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Trung,4200000,4,1,1,group_region,T1/2025,,0.0,0.13,4200000
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Trung,96960000,87,11,11,group_region,T2/2025,2208.57,0.0,1.53,101160000
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Trung,263990435,222,29,20,group_region,T3/2025,172.27,0.0,1.42,365150435
2026,1,2026-01,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Trung,358344075,291,39,32,group_region,T1/2026,35.74,8432.0,1.7,358344075
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,Miền Trung,140331794,108,17,16,group_region,T2/2026,-60.84,44.73,0.72,498675869
2025,2,2025-02,KIDBIKE_1,Xe trẻ em nhóm 1,,6750000,6,2,1,group_region,T2/2025,,0.0,0.11,
2025,3,2025-03,KIDBIKE_1,Xe trẻ em nhóm 1,,19950000,18,3,1,group_region,T3/2025,,0.0,0.11,
2026,2,2026-02,KIDBIKE_1,Xe trẻ em nhóm 1,,378321613,289,54,47,group_region,T2/2026,,5504.76,1.95,
2025,1,2025-01,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Bắc,42123335,58,4,4,group_region,T1/2025,,0.0,1.32,42123335
2025,2,2025-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Bắc,162541847,315,37,34,group_region,T2/2025,285.87,0.0,2.56,204665182
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Bắc,526947219,933,112,73,group_region,T3/2025,224.19,0.0,2.84,731612401
2026,1,2026-01,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Bắc,255216131,301,73,54,group_region,T1/2026,-51.57,505.88,1.21,255216131
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Bắc,677867195,773,91,68,group_region,T2/2026,165.61,317.04,3.5,933083326
2025,1,2025-01,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Nam,77343605,70,11,2,group_region,T1/2025,,0.0,2.42,77343605
2025,2,2025-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Nam,127564610,113,14,2,group_region,T2/2025,64.93,0.0,2.01,204908215
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Nam,135004055,120,10,2,group_region,T3/2025,5.83,0.0,0.73,339912270
2026,1,2026-01,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Nam,138507306,123,25,2,group_region,T1/2026,2.59,79.08,0.66,138507306
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Nam,212591289,192,14,2,group_region,T2/2026,53.49,66.65,1.1,351098595
2025,2,2025-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Trung,16910000,34,5,5,group_region,T2/2025,,0.0,0.27,16910000
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Trung,32078241,61,11,10,group_region,T3/2025,89.7,0.0,0.17,48988241
2026,1,2026-01,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Trung,65469586,72,11,11,group_region,T1/2026,104.09,,0.31,65469586
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,Miền Trung,108418233,117,11,8,group_region,T2/2026,65.6,541.15,0.56,173887819
2025,3,2025-03,KIDBIKE_2,Xe trẻ em nhóm 2,,1500000,3,1,1,group_region,T3/2025,,0.0,0.01,
2026,2,2026-02,KIDBIKE_2,Xe trẻ em nhóm 2,,203437960,219,35,29,group_region,T2/2026,,,1.05,
2025,1,2025-01,SPORTBIKE_A,Xe thể thao nhôm,Miền Bắc,113428030,33,6,5,group_region,T1/2025,,0.0,3.55,113428030
2025,2,2025-02,SPORTBIKE_A,Xe thể thao nhôm,Miền Bắc,430414295,163,38,36,group_region,T2/2025,279.46,0.0,6.79,543842325
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,Miền Bắc,1461261869,532,119,69,group_region,T3/2025,239.5,0.0,7.86,2005104194
2026,1,2026-01,SPORTBIKE_A,Xe thể thao nhôm,Miền Bắc,33042590,14,5,4,group_region,T1/2026,-97.74,-70.87,0.16,33042590
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,Miền Nam,146428334,42,2,1,group_region,T3/2025,,0.0,0.79,146428334
2025,1,2025-01,SPORTBIKE_A,Xe thể thao nhôm,Miền Trung,18111112,4,1,1,group_region,T1/2025,,0.0,0.57,18111112
2025,2,2025-02,SPORTBIKE_A,Xe thể thao nhôm,Miền Trung,20667929,8,4,4,group_region,T2/2025,14.12,0.0,0.33,38779041
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,Miền Trung,92766756,31,8,6,group_region,T3/2025,348.84,0.0,0.5,131545797
2026,1,2026-01,SPORTBIKE_A,Xe thể thao nhôm,Miền Trung,63942216,24,9,8,group_region,T1/2026,-31.07,253.06,0.3,63942216
2026,2,2026-02,SPORTBIKE_A,Xe thể thao nhôm,Miền Trung,26644995,9,1,1,group_region,T2/2026,-58.33,28.92,0.14,90587211
2025,3,2025-03,SPORTBIKE_A,Xe thể thao nhôm,,6700000,3,1,1,group_region,T3/2025,,0.0,0.04,
2026,2,2026-02,SPORTBIKE_A,Xe thể thao nhôm,,31170368,11,3,3,group_region,T2/2026,,,0.16,
2025,1,2025-01,SPORTBIKE_S,Xe thể thao thép,Miền Bắc,645161108,302,12,10,group_region,T1/2025,,0.0,20.17,645161108
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,Miền Bắc,221653792,166,45,41,group_region,T2/2025,-65.64,0.0,3.5,866814900
2025,3,2025-03,SPORTBIKE_S,Xe thể thao thép,Miền Bắc,1344136787,844,127,75,group_region,T3/2025,506.41,0.0,7.23,2210951687
2026,1,2026-01,SPORTBIKE_S,Xe thể thao thép,Miền Bắc,228061793,106,38,32,group_region,T1/2026,-83.03,-64.65,1.08,228061793
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,Miền Bắc,131538885,64,23,21,group_region,T2/2026,-42.32,-40.66,0.68,359600678
2025,1,2025-01,SPORTBIKE_S,Xe thể thao thép,Miền Nam,99551017,37,9,1,group_region,T1/2025,,0.0,3.11,99551017
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,Miền Nam,36812777,14,4,2,group_region,T2/2025,-63.02,0.0,0.58,136363794
2025,3,2025-03,SPORTBIKE_S,Xe thể thao thép,Miền Nam,109270371,42,4,2,group_region,T3/2025,196.83,0.0,0.59,245634165
2026,1,2026-01,SPORTBIKE_S,Xe thể thao thép,Miền Nam,124412043,50,11,1,group_region,T1/2026,13.86,24.97,0.59,124412043
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,Miền Nam,64694261,26,4,1,group_region,T2/2026,-48.0,75.74,0.33,189106304
2025,1,2025-01,SPORTBIKE_S,Xe thể thao thép,Miền Trung,9040000,7,2,2,group_region,T1/2025,,0.0,0.28,9040000
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,Miền Trung,26300000,21,6,6,group_region,T2/2025,190.93,0.0,0.42,35340000
2025,3,2025-03,SPORTBIKE_S,Xe thể thao thép,Miền Trung,118069703,66,13,11,group_region,T3/2025,348.93,0.0,0.64,153409703
2026,1,2026-01,SPORTBIKE_S,Xe thể thao thép,Miền Trung,90952188,41,11,10,group_region,T1/2026,-22.97,906.11,0.43,90952188
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,Miền Trung,23766111,11,4,4,group_region,T2/2026,-73.87,-9.63,0.12,114718299
2025,2,2025-02,SPORTBIKE_S,Xe thể thao thép,,3700000,3,1,1,group_region,T2/2025,,0.0,0.06,
2026,2,2026-02,SPORTBIKE_S,Xe thể thao thép,,31575000,15,5,5,group_region,T2/2026,,753.38,0.16,
2025,1,2025-01,,,Miền Bắc,83174072,48,7,7,group_region,T1/2025,,0.0,2.6,
2025,2,2025-02,,,Miền Bắc,106484812,88,15,13,group_region,T2/2025,,0.0,1.68,
2025,3,2025-03,,,Miền Bắc,616562106,486,49,31,group_region,T3/2025,,0.0,3.32,
2026,1,2026-01,,,Miền Bắc,5108456275,2608,290,195,group_region,T1/2026,,6041.89,24.17,
2026,2,2026-02,,,Miền Bắc,3557854625,2130,199,128,group_region,T2/2026,,3241.19,18.35,
2025,1,2025-01,,,Miền Nam,163469258,103,11,2,group_region,T1/2025,,0.0,5.11,
2025,2,2025-02,,,Miền Nam,37136388,24,3,2,group_region,T2/2025,,0.0,0.59,
2025,3,2025-03,,,Miền Nam,74470648,45,3,2,group_region,T3/2025,,0.0,0.4,
2026,1,2026-01,,,Miền Nam,960988999,301,32,3,group_region,T1/2026,,487.87,4.55,
2026,2,2026-02,,,Miền Nam,250171578,111,24,2,group_region,T2/2026,,573.66,1.29,
2025,1,2025-01,,,Miền Trung,13000000,10,1,1,group_region,T1/2025,,0.0,0.41,
2025,2,2025-02,,,Miền Trung,1231481,1,1,1,group_region,T2/2025,,0.0,0.02,
2025,3,2025-03,,,Miền Trung,24475771,20,5,5,group_region,T3/2025,,0.0,0.13,
2026,1,2026-01,,,Miền Trung,1008087680,518,58,46,group_region,T1/2026,,7654.52,4.77,
2026,2,2026-02,,,Miền Trung,755628151,383,40,32,group_region,T2/2026,,61259.3,3.9,
2026,1,2026-01,,,,8305556,3,1,1,group_region,T1/2026,,,0.04,
2026,2,2026-02,,,,1128253620,616,89,68,group_region,T2/2026,,,5.82,
2025,1,2025-01,__ALL__,__ALL__,Miền Bắc,2440598170,1397,39,36,region,T1/2025,,0.0,76.31,2440598170
2025,2,2025-02,__ALL__,__ALL__,Miền Bắc,4699871477,3785,137,111,region,T2/2025,92.57,0.0,74.16,7140469647
2025,3,2025-03,__ALL__,__ALL__,Miền Bắc,15450760259,12283,376,207,region,T3/2025,228.75,0.0,83.15,22591229906
2026,1,2026-01,__ALL__,__ALL__,Miền Bắc,15391279083,9353,359,231,region,T1/2026,-0.38,530.64,72.82,15391279083
2026,2,2026-02,__ALL__,__ALL__,Miền Bắc,11283677092,7495,253,146,region,T2/2026,-26.69,140.08,58.2,26674956175
2025,1,2025-01,__ALL__,__ALL__,Miền Nam,631592117,365,14,2,region,T1/2025,,0.0,19.75,631592117
2025,2,2025-02,__ALL__,__ALL__,Miền Nam,482038937,296,17,3,region,T2/2025,-23.68,0.0,7.61,1113631054
2025,3,2025-03,__ALL__,__ALL__,Miền Nam,745306919,398,11,2,region,T3/2025,54.62,0.0,4.01,1858937973
2026,1,2026-01,__ALL__,__ALL__,Miền Nam,1835694710,801,47,3,region,T1/2026,146.3,190.65,8.69,1835694710
2026,2,2026-02,__ALL__,__ALL__,Miền Nam,1034566270,615,37,2,region,T2/2026,-43.64,114.62,5.34,2870260980
2025,1,2025-01,__ALL__,__ALL__,Miền Trung,113711483,70,7,7,region,T1/2025,,0.0,3.56,113711483
2025,2,2025-02,__ALL__,__ALL__,Miền Trung,1108110953,909,29,26,region,T2/2025,874.49,0.0,17.49,1221822436
2025,3,2025-03,__ALL__,__ALL__,Miền Trung,2232312729,1799,55,31,region,T3/2025,101.45,0.0,12.01,3454135165
2026,1,2026-01,__ALL__,__ALL__,Miền Trung,3887525743,2379,74,55,region,T1/2026,74.15,3318.76,18.39,3887525743
2026,2,2026-02,__ALL__,__ALL__,Miền Trung,2991017447,1846,54,39,region,T2/2026,-23.06,169.92,15.43,6878543190
2025,1,2025-01,__ALL__,__ALL__,,12268519,5,1,1,region,T1/2025,,0.0,0.38,
2025,2,2025-02,__ALL__,__ALL__,,47190000,40,2,1,region,T2/2025,,0.0,0.74,
2025,3,2025-03,__ALL__,__ALL__,,153410000,129,5,2,region,T3/2025,,0.0,0.83,
2026,1,2026-01,__ALL__,__ALL__,,20574074,8,2,1,region,T1/2026,,67.7,0.1,
2026,2,2026-02,__ALL__,__ALL__,,4079608324,2566,108,81,region,T2/2026,,8545.07,21.04,
2025,1,2025-01,__ALL__,__ALL__,__ALL__,3198170289,1837,61,46,total,T1/2025,,0.0,100.0,3198170289
2025,2,2025-02,__ALL__,__ALL__,__ALL__,6337211367,5030,185,141,total,T2/2025,98.15,0.0,100.0,9535381656
2025,3,2025-03,__ALL__,__ALL__,__ALL__,18581789907,14609,447,242,total,T3/2025,193.22,0.0,100.0,28117171563
2026,1,2026-01,__ALL__,__ALL__,__ALL__,21135073610,12541,482,290,total,T1/2026,13.74,560.85,100.0,21135073610
2026,2,2026-02,__ALL__,__ALL__,__ALL__,19388869133,12522,452,268,total,T2/2026,-8.26,205.95,100.0,40523942743
