customer_code,customer_name,province_name,region,ngay_dau,tong_dt,so_don,segment,cohort_month,cohort_year
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,2025-01-10,77930000.0,3,Nguy cơ rời bỏ,2025-01,2025
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,2025-01-10,93910000.0,4,Nguy cơ rời bỏ,2025-01,2025
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,2025-01-10,23350000.0,1,Đã mất,2025-01,2025
KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,2025-01-11,87037037.0,1,Đã mất,2025-01,2025
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2025-01-11,124583332.0,1,Đã mất,2025-01,2025
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,2025-01-11,3621901755.0,57,Champions,2025-01,2025
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,2025-01-13,187130528.0,17,Loyal,2025-01,2025
KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2025-01-13,792315737.0,6,Loyal,2025-01,2025
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,2025-01-13,597440112.0,11,Champions,2025-01,2025
KH-00025,DOANH NGHIỆP TW SƠN HÀ,Thanh Hoá,Miền Trung,2025-01-13,13277778.0,1,Đã mất,2025-01,2025
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,Thanh Hóa,Miền Trung,2025-01-13,7777778.0,1,Đã mất,2025-01,2025
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2025-01-13,222053507.0,10,Loyal,2025-01,2025
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,Phú Thọ,Miền Bắc,2025-01-15,51050000.0,2,Nguy cơ rời bỏ,2025-01,2025
KH-00032,HỘ KINH DOANH CHI THÀNH,Hà Nội,Miền Bắc,2025-01-16,1935185.0,1,Đã mất,2025-01,2025
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2025-01-16,4907408.0,1,Đã mất,2025-01,2025
KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Phan Thiết,Miền Bắc,2025-01-16,4055556.0,1,Đã mất,2025-01,2025
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,2025-01-16,1366346297.0,2,Loyal,2025-01,2025
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,Hà Nội,Miền Bắc,2025-01-17,11064815.0,1,Đã mất,2025-01,2025
KH-00034,CÔNG TY TNHH BÌNH MINH,Đà Nẵng,Miền Trung,2025-01-18,32750000.0,2,Ngủ đông,2025-01,2025
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,2025-01-18,63200000.0,4,Nguy cơ rời bỏ,2025-01,2025
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Hà Nội,Miền Bắc,2025-01-20,3879630.0,1,Đã mất,2025-01,2025
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,2025-01-20,46324073.0,3,Không thể mất,2025-01,2025
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,2025-01-20,106679035.0,2,Ngủ đông,2025-01,2025
KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,2025-01-21,293400000.0,3,Nguy cơ rời bỏ,2025-01,2025
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,2025-01-21,214953705.0,2,Trung bình,2025-01,2025
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Thanh Hóa,Miền Trung,2025-01-22,11064815.0,1,Đã mất,2025-01,2025
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,2025-01-22,200660317.0,8,Champions,2025-01,2025
KH-00043,CÔNG TY TNHH LONG PHÚ,TP Đà Nẵng,Miền Bắc,2025-01-22,30650000.0,3,Không thể mất,2025-01,2025
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,Tam Kỳ,Miền Bắc,2025-01-23,77025542.0,2,Trung bình,2025-01,2025
KH-00045,CÔNG TY TNHH AN PHÁT,Quảng Nam,Miền Trung,2025-01-23,18111112.0,1,Đã mất,2025-01,2025
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,2025-01-24,292164832.0,3,Champions,2025-01,2025
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Vĩnh Phúc,Miền Bắc,2025-02-04,36180000.0,1,Đã mất,2025-02,2025
KH-00048,CÔNG TY TNHH THUỶ TIÊN,Hà Nội,Miền Bắc,2025-02-05,13277778.0,3,Không thể mất,2025-02,2025
KH-00050,CÔNG TY TNHH AN PHÁT,Hải Dương,Miền Bắc,2025-02-07,2305556.0,1,Đã mất,2025-02,2025
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,2025-02-07,125206740.0,5,Champions,2025-02,2025
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,Hưng Yên,Miền Bắc,2025-02-07,4611111.0,1,Đã mất,2025-02,2025
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,Chí Linh,Miền Bắc,2025-02-07,2212963.0,1,Đã mất,2025-02,2025
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2025-02-07,3694444.0,1,Đã mất,2025-02,2025
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,2025-02-10,363062500.0,6,Nguy cơ rời bỏ,2025-02,2025
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,2025-02-10,550630000.0,8,Nguy cơ rời bỏ,2025-02,2025
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,Hải Dương,Miền Bắc,2025-02-10,48680000.0,1,Đã mất,2025-02,2025
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,2025-02-10,213946302.0,9,Có tiềm năng,2025-02,2025
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,Vĩnh Phúc,Miền Bắc,2025-02-10,48010000.0,3,Không thể mất,2025-02,2025
KH-00063,HỘ KINH DOANH VẠN LỢI,Bắc Giang,Miền Bắc,2025-02-10,51715148.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,Hà Nộ,Miền Bắc,2025-02-10,34390000.0,1,Đã mất,2025-02,2025
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,2025-02-10,119540000.0,2,Trung bình,2025-02,2025
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,Hà Nam,Miền Bắc,2025-02-10,33090000.0,1,Đã mất,2025-02,2025
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nam,Miền Bắc,2025-02-10,25550000.0,1,Đã mất,2025-02,2025
KH-00058,DOANH NGHIỆP TW SÁN LẠP,TP Hải Dương,Miền Bắc,2025-02-10,24000000.0,1,Đã mất,2025-02,2025
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,2025-02-10,563575152.0,5,Nguy cơ rời bỏ,2025-02,2025
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Đắk Lắk,Miền Trung,2025-02-10,4983333.0,1,Đã mất,2025-02,2025
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,Hà Nội,Miền Bắc,2025-02-10,2398148.0,1,Đã mất,2025-02,2025
KH-00061,HỘ KINH DOANH THUỶ TIÊN,Hòa Bình,Miền Bắc,2025-02-10,13730000.0,1,Đã mất,2025-02,2025
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,Hà Nội,Miền Bắc,2025-02-11,16611111.0,3,Có tiềm năng,2025-02,2025
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2025-02-13,8851852.0,1,Đã mất,2025-02,2025
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,Hưng Yên,Miền Bắc,2025-02-14,17860000.0,1,Đã mất,2025-02,2025
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,2025-02-14,141400000.0,2,Ngủ đông,2025-02,2025
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,2025-02-14,46780000.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Vĩnh Phúc,Miền Bắc,2025-02-14,43600000.0,1,Đã mất,2025-02,2025
KH-00087,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,2025-02-14,24200000.0,1,Đã mất,2025-02,2025
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,2025-02-14,329280658.0,7,Champions,2025-02,2025
KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ A,Miền Bắc,2025-02-14,138392643.0,1,Đã mất,2025-02,2025
KH-00086,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,2025-02-14,110019361.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hưng Yên,Miền Bắc,2025-02-14,45220000.0,1,Đã mất,2025-02,2025
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Thanh Hoá,Miền Trung,2025-02-14,62612500.0,2,Trung bình,2025-02,2025
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,2025-02-14,212673064.0,6,Champions,2025-02,2025
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2025-02-14,301886045.0,17,Loyal,2025-02,2025
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,2025-02-14,35020000.0,1,Đã mất,2025-02,2025
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,2025-02-14,774919261.0,7,Champions,2025-02,2025
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,2025-02-14,367627614.0,7,Có tiềm năng,2025-02,2025
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Hòa Bình,Miền Bắc,2025-02-14,39028607.0,3,Có tiềm năng,2025-02,2025
KH-00080,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2025-02-14,60020000.0,1,Đã mất,2025-02,2025
KH-00072,DOANH NGHIỆP TW PHÚC AN,Hà Tĩnh,Miền Trung,2025-02-14,3450000.0,1,Đã mất,2025-02,2025
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,Hà Nội,Miền Bắc,2025-02-14,3509259.0,1,Đã mất,2025-02,2025
KH-00090,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Thanh Hoá,Miền Trung,2025-02-15,8518519.0,1,Đã mất,2025-02,2025
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,Bắc Ninh,Miền Bắc,2025-02-17,69700000.0,1,Đã mất,2025-02,2025
KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Hà Nội,Miền Bắc,2025-02-17,35420000.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,2025-02-17,87295102.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00099,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,2025-02-17,43710000.0,1,Đã mất,2025-02,2025
KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,2025-02-17,302480000.0,3,Không thể mất,2025-02,2025
KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,2025-02-17,199350113.0,8,Có tiềm năng,2025-02,2025
KH-00095,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,Hà Nội,Miền Bắc,2025-02-17,34730000.0,1,Đã mất,2025-02,2025
KH-00094,HỘ KINH DOANH SÁN LẠP,Phú Thọ,Miền Bắc,2025-02-17,41790000.0,2,Trung bình,2025-02,2025
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,2025-02-17,112430000.0,4,Nguy cơ rời bỏ,2025-02,2025
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,Hà Nội,Miền Bắc,2025-02-17,51482643.0,3,Có tiềm năng,2025-02,2025
KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,2025-02-17,4978859631.0,29,Champions,2025-02,2025
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,Hà Nội,Miền Bắc,2025-02-17,52127000.0,2,Ngủ đông,2025-02,2025
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,Hà Nội,Miền Bắc,2025-02-19,72628500.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00116,HỘ KINH DOANH TOÀN THẮNG,Hưng Yên,Miền Bắc,2025-02-19,57090000.0,1,Đã mất,2025-02,2025
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,Thanh Hóa,Miền Trung,2025-02-19,52250000.0,2,Trung bình,2025-02,2025
KH-00114,CỬA HÀNG XE ĐẠP NGỌC ANH,Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,2025-02-19,22550000.0,1,Đã mất,2025-02,2025
KH-00113,DOANH NGHIỆP TW XÂY DỰNG,Thanh Hoá,Miền Trung,2025-02-19,41439439.0,2,Trung bình,2025-02,2025
KH-00117,HỘ KINH DOANH YÊN BÌNH,Hưng yên,Miền Bắc,2025-02-19,48490000.0,2,Trung bình,2025-02,2025
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,2025-02-19,57900000.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00112,HỘ KINH DOANH TÚ ANH,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,2025-02-19,61441481.0,2,Ngủ đông,2025-02,2025
KH-00108,HỘ KINH DOANH LÊ ANH,Hà Nội,Miền Bắc,2025-02-19,35900000.0,1,Đã mất,2025-02,2025
KH-00107,CÔNG TY TNHH LONG PHÚ,Bắc Ninh,Miền Bắc,2025-02-19,82830000.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,Thanh Hóa,Miền Trung,2025-02-19,88360000.0,1,Đã mất,2025-02,2025
KH-00105,CỬA HÀNG XE ĐẠP PHÚC AN,Bắc Ninh,Miền Bắc,2025-02-19,34910000.0,1,Đã mất,2025-02,2025
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,2025-02-19,226215286.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00103,CÔNG TY CỔ PHẦN AN PHÁT,Bắc Giang,Miền Bắc,2025-02-19,18680556.0,1,Đã mất,2025-02,2025
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,2025-02-19,80790000.0,3,Có tiềm năng,2025-02,2025
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,Thanh Hoá,Miền Trung,2025-02-20,193706159.0,7,Champions,2025-02,2025
KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,2025-02-20,341650000.0,4,Nguy cơ rời bỏ,2025-02,2025
KH-00131,CÔNG TY TNHH QUANG VINH,Hà Nam,Miền Bắc,2025-02-20,35090000.0,1,Đã mất,2025-02,2025
KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,2025-02-20,191180000.0,5,Có tiềm năng,2025-02,2025
KH-00129,CÔNG TY CỔ PHẦN LÊ ANH,Tĩnh Thanh Hoá,Miền Bắc,2025-02-20,60307929.0,1,Đã mất,2025-02,2025
KH-00128,HỘ KINH DOANH TÂY BẮC,Thanh Hóa,Miền Trung,2025-02-20,46560000.0,1,Đã mất,2025-02,2025
KH-00126,HỘ KINH DOANH HOÀ BÌNH,Thanh Hoá,Miền Trung,2025-02-20,106170000.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00127,CỬA HÀNG XE ĐẠP TÂN TIẾN,Hà Nam,Miền Bắc,2025-02-20,48240000.0,1,Đã mất,2025-02,2025
KH-00124,CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT,Thanh Hoá,Miền Trung,2025-02-20,36220000.0,1,Đã mất,2025-02,2025
KH-00123,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,2025-02-20,17390000.0,1,Đã mất,2025-02,2025
KH-00122,CÔNG TY TNHH CHI THÀNH,Hưng Yên,Miền Bắc,2025-02-20,28520000.0,1,Đã mất,2025-02,2025
KH-00121,CÔNG TY TNHH CHI THÀNH,Hưng Yên,Miền Bắc,2025-02-20,25527929.0,1,Đã mất,2025-02,2025
KH-00120,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2025-02-20,77920143.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00119,DOANH NGHIỆP TW MẶT TRỜI,Hà Nội,Miền Bắc,2025-02-20,53513597.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00118,HỘ KINH DOANH HÙNG CƯỜNG,Nam Định,Miền Bắc,2025-02-20,7361111.0,1,Đã mất,2025-02,2025
KH-00125,HỘ KINH DOANH BÌNH MINH,Thanh Hóa,Miền Trung,2025-02-20,21860000.0,1,Đã mất,2025-02,2025
KH-00134,DOANH NGHIỆP TW PHÚ THỊNH,Quảng Nam,Miền Trung,2025-02-21,706946062.0,8,Champions,2025-02,2025
KH-00148,HỘ KINH DOANH THUỶ TIÊN,Hải Dươn,Miền Bắc,2025-02-22,82782643.0,4,Nguy cơ rời bỏ,2025-02,2025
KH-00149,CỬA HÀNG XE ĐẠP TÚ ANH,Hải Dương,Miền Bắc,2025-02-22,66287929.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00150,HỘ KINH DOANH SÁN LẠP,Hải Dương,Miền Bắc,2025-02-22,14582643.0,1,Đã mất,2025-02,2025
KH-00151,CÔNG TY TNHH LÊ ANH,Hà Tĩnh,Miền Trung,2025-02-22,130261924.0,2,Ngủ đông,2025-02,2025
KH-00156,DOANH NGHIỆP TW VIỆT ANH,Thanh Hoá,Miền Trung,2025-02-22,21250000.0,1,Đã mất,2025-02,2025
KH-00153,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,Hà Tĩnh,Miền Trung,2025-02-22,33900000.0,1,Đã mất,2025-02,2025
KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,Hà Nội,Miền Bắc,2025-02-22,140009520.0,4,Nguy cơ rời bỏ,2025-02,2025
KH-00147,CÔNG TY TNHH PHÚ THỊNH,Hà Nội,Miền Bắc,2025-02-22,466724370.0,8,Champions,2025-02,2025
KH-00152,HỘ KINH DOANH TRÍ ĐỨC,Nghệ An,Miền Trung,2025-02-22,89045116.0,3,Có tiềm năng,2025-02,2025
KH-00146,HỘ KINH DOANH LONG PHÚ,Điện Biên,Miền Bắc,2025-02-22,18640000.0,1,Đã mất,2025-02,2025
KH-00154,DOANH NGHIỆP TW VĨNH PHÁT,Hà Tĩnh,Miền Trung,2025-02-22,80000000.0,3,Có tiềm năng,2025-02,2025
KH-00144,CỬA HÀNG XE ĐẠP QUANG VINH,Vĩnh Yên,Miền Bắc,2025-02-22,22418078.0,1,Đã mất,2025-02,2025
KH-00135,CỬA HÀNG XE ĐẠP XUÂN MAI,Ninh Bình,Miền Bắc,2025-02-22,34180000.0,1,Đã mất,2025-02,2025
KH-00145,HỘ KINH DOANH PHÚ THỊNH,Quảng Ngãi,Miền Trung,2025-02-22,22940000.0,1,Đã mất,2025-02,2025
KH-00137,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,Hà Nam,Miền Bắc,2025-02-22,36580000.0,1,Đã mất,2025-02,2025
KH-00138,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Thái Bình,Miền Bắc,2025-02-22,52850000.0,1,Đã mất,2025-02,2025
KH-00136,CÔNG TY CỔ PHẦN NGỌC ANH,Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,2025-02-22,42370000.0,1,Đã mất,2025-02,2025
KH-00140,CÔNG TY TNHH XÂY DỰNG,Hải Dương,Miền Bắc,2025-02-22,98910000.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00141,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN TIẾN,Hải Phòng,Miền Bắc,2025-02-22,108820000.0,1,Đã mất,2025-02,2025
KH-00142,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,2025-02-22,66548500.0,4,Có tiềm năng,2025-02,2025
KH-00143,DOANH NGHIỆP TW TÂY BẮC,Vĩnh Phúc,Miền Bắc,2025-02-22,29700000.0,1,Đã mất,2025-02,2025
KH-00139,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,2025-02-22,124298146.0,3,Có tiềm năng,2025-02,2025
KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,2025-02-25,252138899.0,52,Champions,2025-02,2025
KH-00158,CÔNG TY TNHH THƯƠNG MẠI VIỆT ANH,Thái Bình,Miền Bắc,2025-02-25,23040000.0,1,Đã mất,2025-02,2025
KH-00159,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Thủ Dầu Một,Miền Bắc,2025-02-25,20750000.0,2,Ngủ đông,2025-02,2025
KH-00167,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Hà Nội,Miền Bắc,2025-02-26,142484618.0,5,Champions,2025-02,2025
KH-00170,CỬA HÀNG XE ĐẠP TRƯỜNG THỊNH,Ninh Bình,Miền Bắc,2025-02-26,41700000.0,1,Đã mất,2025-02,2025
KH-00169,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Ninh Bình,Miền Bắc,2025-02-26,361208822.0,5,Champions,2025-02,2025
KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,2025-02-26,155338390.0,4,Loyal,2025-02,2025
KH-00165,CÔNG TY CỔ PHẦN THƯƠNG MẠI TRƯỜNG THỊNH,Bắc Giang,Miền Bắc,2025-02-26,10890000.0,1,Đã mất,2025-02,2025
KH-00166,HỘ KINH DOANH QUANG VINH,Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,2025-02-26,23312643.0,1,Đã mất,2025-02,2025
KH-00163,HỘ KINH DOANH XUÂN MAI,Hà Nội,Miền Bắc,2025-02-26,82695483.0,4,Có tiềm năng,2025-02,2025
KH-00162,CÔNG TY CỔ PHẦN THƯƠNG MẠI CHI THÀNH,Hà Nội,Miền Bắc,2025-02-26,40881103.0,3,Champions,2025-02,2025
KH-00161,CÔNG TY TNHH THIÊN AN,Hà Nội,Miền Bắc,2025-02-26,182845338.0,3,Nguy cơ rời bỏ,2025-02,2025
KH-00160,CÔNG TY TNHH THƯƠNG MẠI TRÍ ĐỨC,Hà Nội,Miền Bắc,2025-02-26,2768519.0,1,Đã mất,2025-02,2025
KH-00164,HỘ KINH DOANH XÂY DỰNG,Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,2025-02-26,61750000.0,2,Nguy cơ rời bỏ,2025-02,2025
KH-00171,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,2025-02-27,24259259.0,1,Đã mất,2025-02,2025
KH-00172,CỬA HÀNG XE ĐẠP XÂY DỰNG,Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2025-02-28,352444443.0,3,Champions,2025-02,2025
KH-00173,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,2025-03-01,1582007777.0,21,Nguy cơ rời bỏ,2025-03,2025
KH-00175,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN TIẾN,Hà Nội,Miền Bắc,2025-03-06,7490741.0,1,Đã mất,2025-03,2025
KH-00174,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Đà Nẵng,Miền Trung,2025-03-06,23300000.0,1,Đã mất,2025-03,2025
