province_name,region,product_code,product_name,tong_sl,tong_dt
Bắc Giang,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,72.0,117140555.0
Bắc Giang,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,67.0,90718333.0
Bắc Giang,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,38.0,57106667.0
Bắc Giang,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,20.0,28972220.0
Bắc Giang,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,43.0,77903874.0
Bắc Giang,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,72.0,121032755.0
Bắc Giang,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,6.0,8626666.0
Bắc Giang,Miền Bắc,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",1.0,1544444.0
Bắc Giang,Miền Bắc,1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,10.0,21500000.0
Bắc Ninh,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,37.0,43157770.0
Bắc Ninh,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,29.0,35203046.0
Bắc Ninh,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,26.0,32657490.0
Bắc Ninh,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,25.0,29587956.0
Bắc Ninh,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,20.0,23583327.0
Bắc Ninh,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,6.0,8944442.0
Bắc Ninh,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,13.0,20798145.0
Bắc Ninh,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,2.0,3088888.0
Bắc Ninh,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,16.0,23636105.0
Bắc Ninh,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,23.0,35424989.0
Bắc Ninh,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,46.0,67427762.0
Bắc Ninh,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,28.0,41713878.0
Bắc Ninh,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,23.0,31657676.0
Bắc Ninh,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,25.0,35210360.0
Bắc Ninh,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,48.0,64217024.0
Bắc Ninh,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,25.0,34346472.0
Bắc Ninh,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,35.0,47980555.0
Bắc Ninh,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,50.0,69633793.0
Bắc Ninh,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,119.0,167101014.0
Bắc Ninh,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,44.0,62614628.0
Bắc Ninh,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,9.0,15262961.0
Bắc Ninh,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,8.0,13537961.0
Bắc Ninh,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,8.0,13577776.0
Bắc Ninh,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,25.0,41905550.0
Bắc Ninh,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,30.0,54136099.0
Bắc Ninh,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,13.0,22321662.0
Bắc Ninh,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,8.0,14506664.0
Bắc Ninh,Miền Bắc,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",8.0,11838886.0
Hà Nam,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,14.0,17444440.0
Hà Nam,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,6.0,6300000.0
Hà Nam,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,5.0,5939814.0
Hà Nam,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,23.0,29591665.0
Hà Nam,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,26.0,29900000.0
Hà Nam,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,31.0,39633332.0
Hà Nam,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,15.0,21016662.0
Hà Nam,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,13.0,19305550.0
Hà Nam,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,25.0,33299996.0
Hà Nam,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,18.0,24277775.0
Hà Nam,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,9.0,11486664.0
Hà Nam,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,19.0,24061664.0
Hà Nam,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,20.0,22600000.0
Hà Nam,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,8.0,10356664.0
Hà Nam,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,20.0,24908333.0
Hà Nam,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,14.0,19136666.0
Hà Nam,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,57.0,72971110.0
Hà Nam,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,18.0,23420555.0
Hà Nam,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,3.0,4083333.0
Hà Nam,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,2.0,3394444.0
Hà Nam,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,7.0,10858332.0
Hà Nam,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,5.0,8997220.0
Hà Nam,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,8.0,11098888.0
Hà Nam,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,2.0,2500000.0
Hà Nam,Miền Bắc,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",18.0,27158325.0
Hà Nội,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,495.0,587647173.0
Hà Nội,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,214.0,240015533.0
Hà Nội,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,275.0,308614411.0
Hà Nội,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,275.0,335155077.0
Hà Nội,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,177.0,210268967.0
Hà Nội,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,130.0,184359688.0
Hà Nội,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,131.0,163982391.0
Hà Nội,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,173.0,240326375.0
Hà Nội,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,122.0,161630811.0
Hà Nội,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,119.0,166554133.0
Hà Nội,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,257.0,361730492.0
Hà Nội,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,280.0,405104086.0
Hà Nội,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,210.0,270343656.0
Hà Nội,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,153.0,193637200.0
Hà Nội,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,485.0,621771692.0
Hà Nội,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,142.0,195234988.0
Hà Nội,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,397.0,542624751.0
Hà Nội,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,324.0,440229325.0
Hà Nội,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,716.0,977731037.0
Hà Nội,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,173.0,229126273.0
Hà Nội,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,290.0,379586649.0
Hà Nội,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,173.0,223807399.0
Hà Nội,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,125.0,160671293.0
Hà Nội,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,521.0,734159219.0
Hà Nội,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,251.0,420843448.0
Hà Nội,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,371.0,621393107.0
Hà Nội,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,148.0,235642207.0
Hà Nội,Miền Bắc,000335002001000,Xe đạp Thống Nhất Super 24 Đen,168.0,302105265.0
Hà Nội,Miền Bắc,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",130.0,194088841.0
Hà Nội,Miền Bắc,1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,114.0,329542225.0
Hà Tĩnh,Miền Trung,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,16.0,19804995.0
Hà Tĩnh,Miền Trung,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,14.0,17402773.0
Hà Tĩnh,Miền Trung,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,17.0,21897215.0
Hà Tĩnh,Miền Trung,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,13.0,15407867.0
Hà Tĩnh,Miền Trung,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,12.0,14224071.0
Hà Tĩnh,Miền Trung,000207004000000,Xe đạp Thống Nhất 219-05-26,12.0,17805550.0
Hà Tĩnh,Miền Trung,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,3.0,3450000.0
Hà Tĩnh,Miền Trung,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,10.0,12000000.0
Hà Tĩnh,Miền Trung,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,11.0,15266664.0
Hà Tĩnh,Miền Trung,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,31.0,44794435.0
Hà Tĩnh,Miền Trung,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,22.0,33544435.0
Hà Tĩnh,Miền Trung,000224002002000,Xe đạp Thống Nhất New 24 Trắng,2.0,3110000.0
Hà Tĩnh,Miền Trung,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,62.0,83882208.0
Hà Tĩnh,Miền Trung,000224002023000,Xe đạp Thống Nhất New 24 Kem,58.0,79842760.0
Hà Tĩnh,Miền Trung,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,39.0,50967216.0
Hà Tĩnh,Miền Trung,000225002002000,Xe đạp Thống Nhất New 26 Trắng,3.0,4890000.0
Hà Tĩnh,Miền Trung,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,21.0,31010555.0
Hà Tĩnh,Miền Trung,000225002023000,Xe đạp Thống Nhất New 26 Kem,21.0,30180000.0
Hà Tĩnh,Miền Trung,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,8.0,11662222.0
Hà Tĩnh,Miền Trung,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,3.0,5091666.0
Hà Tĩnh,Miền Trung,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,3.0,5091666.0
Hà Tĩnh,Miền Trung,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,12.0,20366664.0
Hà Tĩnh,Miền Trung,000230002023000,Xe đạp Thống Nhất LD 26 Kem,13.0,23503884.0
Hà Tĩnh,Miền Trung,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,10.0,16443331.0
Hà Tĩnh,Miền Trung,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,3.0,5439999.0
Hà Tĩnh,Miền Trung,000335002001000,Xe đạp Thống Nhất Super 24 Đen,4.0,4800000.0
Hà Tĩnh,Miền Trung,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",5.0,7233332.0
Hưng Yên,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,62.0,73482764.0
Hưng Yên,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,24.0,28149440.0
Hưng Yên,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,40.0,47172769.0
Hưng Yên,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,41.0,48806476.0
Hưng Yên,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,25.0,29768515.0
Hưng Yên,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,30.0,44399988.0
Hưng Yên,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,19.0,26488884.0
Hưng Yên,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,17.0,25666660.0
Hưng Yên,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,45.0,62458322.0
Hưng Yên,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,25.0,37052768.0
Hưng Yên,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,108.0,157938850.0
Hưng Yên,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,84.0,120694419.0
Hưng Yên,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,40.0,56855545.0
Hưng Yên,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,54.0,72744984.0
Hưng Yên,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,96.0,135177200.0
Hưng Yên,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,51.0,70616097.0
Hưng Yên,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,56.0,78429998.0
Hưng Yên,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,38.0,51548333.0
Hưng Yên,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,110.0,156877405.0
Hưng Yên,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,44.0,59389443.0
Hưng Yên,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,10.0,12994444.0
Hưng Yên,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,10.0,14458332.0
Hưng Yên,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,10.0,14458332.0
Hưng Yên,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,23.0,36920368.0
Hưng Yên,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,40.0,72352764.0
Hưng Yên,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,38.0,61416659.0
Hưng Yên,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,15.0,24170183.0
Hưng Yên,Miền Bắc,000335002001000,Xe đạp Thống Nhất Super 24 Đen,3.0,5437776.0
Hưng Yên,Miền Bắc,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",3.0,4361110.0
Hưng Yên,Miền Bắc,1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,1.0,2150000.0
Hải Dương,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,12.0,12600000.0
Hải Dương,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,5.0,5250000.0
Hải Dương,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,15.0,17876107.0
Hải Dương,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,4.0,4783796.0
Hải Dương,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,2.0,2383796.0
Hải Dương,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,15.0,18750000.0
Hải Dương,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,21.0,35335185.0
Hải Dương,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,7.0,9805556.0
Hải Dương,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,2.0,2400000.0
Hải Dương,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,16.0,21777775.0
Hải Dương,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,6.0,7500000.0
Hải Dương,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,12.0,15754440.0
Hải Dương,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,9.0,12364440.0
Hải Dương,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,28.0,35959440.0
Hải Dương,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,16.0,20274440.0
Hải Dương,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,12.0,14160000.0
Hải Dương,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,13.0,15340000.0
Hải Dương,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,36.0,46841110.0
Hải Dương,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,12.0,16340555.0
Hải Dương,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,3.0,3600000.0
Hải Dương,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,9.0,10800000.0
Hải Dương,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,6.0,9133332.0
Hải Dương,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,8.0,9600000.0
Hải Dương,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,10.0,17994440.0
Hải Dương,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,16.0,20000000.0
Hải Dương,Miền Bắc,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,11.0,13750000.0
Hải Dương,Miền Bắc,000335002001000,Xe đạp Thống Nhất Super 24 Đen,1.0,1200000.0
Hải Dương,Miền Bắc,1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,5.0,10750000.0
Hải Phòng,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,5.0,6073332.0
Hải Phòng,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,5.0,6594442.0
Hải Phòng,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,4.0,4981665.0
Hải Phòng,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,7.0,8335184.0
Hải Phòng,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,6.0,7200000.0
Hải Phòng,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,6.0,8663887.0
Hải Phòng,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,5.0,5750000.0
Hải Phòng,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,11.0,16277776.0
Hải Phòng,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,8.0,11308331.0
Hải Phòng,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,12.0,16769441.0
Hải Phòng,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,12.0,16422220.0
Hải Phòng,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,14.0,20972216.0
Hải Phòng,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,19.0,25831104.0
Hải Phòng,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,18.0,21217776.0
Hải Phòng,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,25.0,30444440.0
Hải Phòng,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,7.0,8787776.0
Hải Phòng,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,12.0,16410000.0
Hải Phòng,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,3.0,4890000.0
Hải Phòng,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,10.0,14050000.0
Hải Phòng,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,8.0,11690000.0
Hải Phòng,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,17.0,24308331.0
Hải Phòng,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,7.0,11866665.0
Hải Phòng,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,13.0,21041664.0
Hải Phòng,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,34.0,46213886.0
Hải Phòng,Miền Bắc,000230002023000,Xe đạp Thống Nhất LD 26 Kem,8.0,14478886.0
Hải Phòng,Miền Bắc,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,4.0,7225554.0
Hải Phòng,Miền Bắc,000335002001000,Xe đạp Thống Nhất Super 24 Đen,2.0,4237776.0
Nam Định,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,9.0,9450000.0
Nam Định,Miền Bắc,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,10.0,10500000.0
Nam Định,Miền Bắc,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,4.0,4800000.0
Nam Định,Miền Bắc,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,3.0,3600000.0
Nam Định,Miền Bắc,000207004000000,Xe đạp Thống Nhất 219-05-26,67.0,83750000.0
Nam Định,Miền Bắc,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,42.0,48300000.0
Nam Định,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,29.0,36250000.0
Nam Định,Miền Bắc,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,13.0,15600000.0
Nam Định,Miền Bắc,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,5.0,6000000.0
Nam Định,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,38.0,47500000.0
Nam Định,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,28.0,35000000.0
Nam Định,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,16.0,18080000.0
Nam Định,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,26.0,29380000.0
Nam Định,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,14.0,15820000.0
Nam Định,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,9.0,10170000.0
Nam Định,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,16.0,18880000.0
Nam Định,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,58.0,68440000.0
Nam Định,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,51.0,60180000.0
Nam Định,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,28.0,33040000.0
Nam Định,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,2.0,2400000.0
Nam Định,Miền Bắc,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,1.0,1200000.0
Nam Định,Miền Bắc,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,2.0,2400000.0
