customer_code,customer_name,province_name,region,ngay_dau,ngay_cuoi,so_don,tong_sl,tong_dt,so_nhom_sp,so_sku,don_tb_sl,don_tb_tien,recency,lifespan,R,F,M,rfm_score,rfm_sum,segment,clv_est,dt_tb_don,rank_dt,cumul_pct
KH-00402,CÔNG TY CỔ PHẦN ĐẠI LỢI,Hà Nội,Miền Bắc,2026-01-22,2026-02-24,6,262.0,369750882.0,3,57,3.1566265060240966,4454829.903614458,5,33,5,5,5,555,15,Champions,4089668846.0,61625147.0,24,36.75
KH-00342,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2026-01-12,2026-02-26,5,227.0,368069456.0,3,57,2.1826923076923075,3539129.3846153845,3,45,5,5,5,555,15,Champions,2985452254.0,73613891.0,25,37.32
KH-00364,DOANH NGHIỆP TW XUÂN MAI,TP Hải Phòng,Miền Bắc,2026-01-16,2026-02-27,4,217.0,367860667.0,2,50,2.8181818181818183,4777411.2597402595,2,42,5,5,5,555,15,Champions,3196884368.0,91965167.0,26,37.89
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,2025-02-14,2026-01-26,7,272.0,367627614.0,5,58,2.4954128440366974,3372730.4036697247,34,346,3,5,5,355,13,Có tiềm năng,387815258.0,52518231.0,27,38.46
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,2025-02-10,2025-03-28,6,290.0,363062500.0,5,42,3.9726027397260273,4973458.904109589,338,46,2,5,5,255,12,Nguy cơ rời bỏ,2880822011.0,60510417.0,28,39.03
KH-00169,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Ninh Bình,Miền Bắc,2025-02-26,2026-02-13,5,243.0,361208822.0,4,60,3.155844155844156,4691023.662337663,16,352,5,5,5,555,15,Champions,374548921.0,72241764.0,29,39.59
KH-00172,CỬA HÀNG XE ĐẠP XÂY DỰNG,Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,2025-02-28,2026-02-28,3,208.0,352444443.0,1,1,69.33333333333333,117481481.0,1,365,5,4,5,545,14,Champions,352444443.0,117481481.0,30,40.14
KH-00359,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,2026-01-13,2026-02-27,8,208.0,343228527.0,4,81,1.6507936507936507,2724035.9285714286,2,45,5,5,5,555,15,Champions,2783964719.0,42903566.0,31,40.67
KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,2025-02-20,2025-03-28,4,287.0,341650000.0,4,37,4.2835820895522385,5099253.731343283,338,36,2,5,5,255,12,Nguy cơ rời bỏ,3463951389.0,85412500.0,32,41.2
KH-00387,CÔNG TY CỔ PHẦN THANH BÌNH,Bắc Ninh,Miền Bắc,2026-01-17,2026-02-10,2,228.0,337372776.0,3,86,1.8387096774193548,2720748.193548387,19,24,5,4,5,545,14,Champions,5130877635.0,168686388.0,33,41.73
KH-00181,CÔNG TY TNHH LONG PHÚ,Thừa Thiên Huế,Miền Trung,2025-03-14,2026-02-09,3,192.0,331016209.0,3,42,4.0,6896171.020833333,20,332,4,4,5,445,13,Loyal,363918423.0,110338736.0,34,42.24
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,2025-02-14,2026-02-26,7,243.0,329280658.0,4,38,4.339285714285714,5880011.75,3,377,5,5,5,555,15,Champions,318799576.0,47040094.0,35,42.75
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,2025-01-09,2026-02-07,7,265.0,320339548.0,4,50,3.1927710843373496,3859512.626506024,22,394,4,5,5,455,14,Loyal,296761256.0,45762793.0,36,43.25
KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,2025-02-17,2025-03-18,3,260.0,302480000.0,2,33,5.909090909090909,6874545.454545454,348,29,1,4,5,145,10,Không thể mất,3807075862.0,100826667.0,37,43.72
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,2025-02-14,2026-01-31,17,264.0,301886045.0,5,56,1.7959183673469388,2053646.5646258504,29,351,4,5,5,455,14,Loyal,313927084.0,17758003.0,38,44.19
KH-00386,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hà Nam,Miền Bắc,2026-01-17,2026-02-13,4,186.0,298647705.0,4,47,2.90625,4666370.390625,16,27,5,5,5,555,15,Champions,4037274531.0,74661926.0,39,44.65
KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,2025-01-21,2025-03-29,3,163.0,293400000.0,1,1,54.333333333333336,97800000.0,337,67,2,4,5,245,11,Nguy cơ rời bỏ,1598373134.0,97800000.0,40,45.11
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,2025-01-24,2026-02-12,3,181.0,292164832.0,2,29,4.641025641025641,7491405.948717949,17,384,5,4,5,545,14,Champions,277708760.0,97388277.0,41,45.56
KH-00491,CÔNG TY TNHH PHÚC AN,Vinh,Miền Bắc,2026-01-27,2026-01-28,2,178.0,283026601.0,2,26,5.741935483870968,9129890.35483871,32,1,4,4,5,445,13,Loyal,103304709365.0,141513300.0,42,46.0
KH-00374,CÔNG TY CỔ PHẦN XÂY DỰNG,Hưng Yên,Miền Bắc,2026-01-16,2026-02-27,5,190.0,273669448.0,4,44,2.7142857142857144,3909563.5428571426,2,42,5,5,5,555,15,Champions,2378317822.0,54733890.0,43,46.43
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,2025-01-10,2026-02-12,6,208.0,270234859.0,4,51,2.4761904761904763,3217081.654761905,17,398,5,5,5,555,15,Champions,247828451.0,45039143.0,44,46.85
KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,2025-02-25,2026-02-28,52,85.0,252138899.0,5,45,1.4406779661016949,4273540.661016949,1,368,5,5,5,555,15,Champions,250083419.0,4848825.0,45,47.24
KH-00423,DOANH NGHIỆP TW THIÊN AN,Bắc Giang,Miền Bắc,2026-01-23,2026-02-27,5,143.0,248468641.0,3,22,3.763157894736842,6538648.447368421,2,35,5,5,5,555,15,Champions,2591172970.0,49693728.0,46,47.63
KH-00334,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,2026-01-06,2026-01-06,2,170.0,244805554.0,2,4,21.25,30600694.25,54,0,3,4,5,345,12,Có tiềm năng,89354027210.0,122402777.0,47,48.01
KH-00193,CÔNG TY TNHH TÚ ANH,Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,2025-03-19,2025-03-31,4,204.0,244765884.0,4,49,2.7567567567567566,3307647.081081081,335,12,3,5,5,355,13,Có tiềm năng,7444962305.0,61191471.0,48,48.39
KH-00219,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,Ninh Bình,Miền Bắc,2025-03-20,2026-02-06,5,157.0,239920519.0,5,34,2.6610169491525424,4066449.474576271,23,323,4,5,5,455,14,Loyal,271117614.0,47984104.0,49,48.76
KH-00277,CÔNG TY CỔ PHẦN THƯƠNG MẠI VĨNH PHÁT,Vinh,Miền Bắc,2025-03-25,2025-03-25,2,200.0,232490000.0,2,31,5.555555555555555,6458055.555555556,341,0,2,4,5,245,11,Nguy cơ rời bỏ,84858850000.0,116245000.0,50,49.12
KH-00194,CỬA HÀNG XE ĐẠP SÁN LẠP,Hà Nội,Miền Bắc,2025-03-19,2026-02-12,3,179.0,227427256.0,5,65,2.2098765432098766,2807743.901234568,17,330,5,4,5,545,14,Champions,251548329.0,75809085.0,51,49.48
KH-00426,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Thái Nguyên,Miền Bắc,2026-01-24,2026-02-27,3,138.0,227020711.0,2,26,4.181818181818182,6879415.484848484,2,34,5,5,5,555,15,Champions,2437134103.0,75673570.0,52,49.83
KH-00453,CÔNG TY TNHH YÊN BÌNH,Ninh Bình,Miền Bắc,2026-01-24,2026-02-26,4,143.0,226995509.0,1,33,2.9791666666666665,4729073.104166667,3,33,5,5,5,555,15,Champions,2510707903.0,56748877.0,53,50.18
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,2025-02-19,2025-03-25,3,185.0,226215286.0,3,36,4.3023255813953485,5260820.604651162,341,34,2,4,5,245,11,Nguy cơ rời bỏ,2428487629.0,75405095.0,54,50.53
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2025-01-13,2026-02-04,10,140.0,222053507.0,5,48,2.1538461538461537,3416207.8,25,387,4,5,5,455,14,Loyal,209430310.0,22205351.0,55,50.88
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,2025-01-21,2026-01-20,2,90.0,214953705.0,4,7,12.857142857142858,30707672.14285714,40,364,3,3,5,335,11,Trung bình,215544237.0,107476852.0,56,51.21
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,2025-02-10,2025-03-31,9,170.0,213946302.0,5,63,1.6346153846153846,2057175.9807692308,335,49,3,5,5,355,13,Có tiềm năng,1593681637.0,23771811.0,57,51.55
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,2025-02-14,2026-02-11,6,152.0,212673064.0,5,54,1.7272727272727273,2416739.3636363638,18,362,5,5,5,555,15,Champions,214435548.0,35445511.0,58,51.88
KH-00404,HỘ KINH DOANH PHÚ THỊNH,Thanh Hóa,Miền Trung,2026-01-22,2026-02-27,5,129.0,211169406.0,4,16,6.45,10558470.3,2,36,5,5,5,555,15,Champions,2141023144.0,42233881.0,59,52.2
KH-00488,CÔNG TY TNHH TRƯỜNG THỊNH,Ninh Bình,Miền Bắc,2026-01-27,2026-02-27,5,140.0,203177562.0,4,40,1.75,2539719.525,2,31,5,5,5,555,15,Champions,2392251940.0,40635512.0,60,52.52
KH-00377,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,2026-01-16,2026-02-12,3,120.0,202712911.0,4,53,1.643835616438356,2776889.191780822,17,27,5,5,5,555,15,Champions,2740378241.0,67570970.0,61,52.84
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,2025-01-22,2026-02-12,8,128.0,200660317.0,4,47,1.3473684210526315,2112213.863157895,17,386,5,5,5,555,15,Champions,189743564.0,25082540.0,62,53.15
KH-00385,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Hải Dương,Miền Bắc,2026-01-16,2026-02-27,4,115.0,200372170.0,3,18,5.476190476190476,9541531.904761905,2,42,5,5,5,555,15,Champions,1741329573.0,50093042.0,63,53.46
KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,2025-02-17,2025-03-31,8,167.0,199350113.0,5,60,1.835164835164835,2190660.5824175826,335,42,3,5,5,355,13,Có tiềm năng,1732447411.0,24918764.0,64,53.77
KH-00605,CÔNG TY CỔ PHẦN VĨNH PHÁT,TP Hải Phòng,Miền Bắc,2026-02-05,2026-02-24,12,127.0,197154205.0,4,34,1.7162162162162162,2664246.0135135134,5,19,5,5,5,555,15,Champions,3787436043.0,16429517.0,65,54.08
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,Thanh Hoá,Miền Trung,2025-02-20,2026-02-27,7,148.0,193706159.0,3,32,3.8947368421052633,5097530.5,2,372,5,5,5,555,15,Champions,190061151.0,27672308.0,66,54.38
KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,2025-02-20,2025-03-31,5,160.0,191180000.0,3,41,2.1333333333333333,2549066.6666666665,335,39,3,5,5,355,13,Có tiềm năng,1789248718.0,38236000.0,67,54.67
KH-00360,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Thanh Hóa,Miền Trung,2026-01-13,2026-01-24,2,129.0,191129200.0,4,39,2.8043478260869565,4154982.6086956523,36,11,3,4,5,345,12,Có tiềm năng,6342014364.0,95564600.0,68,54.97
KH-00487,DOANH NGHIỆP TW TRƯỜNG THỊNH,Bắc Ninh,Miền Bắc,2026-01-27,2026-02-13,3,111.0,188365334.0,3,36,2.0555555555555554,3488246.925925926,16,17,5,5,5,555,15,Champions,4044314524.0,62788445.0,69,55.26
KH-00584,CÔNG TY TNHH CHI THÀNH,Hà Nội,Miền Bắc,2026-01-31,2026-02-27,4,125.0,187949942.0,3,40,1.358695652173913,2042934.152173913,2,27,5,5,5,555,15,Champions,2540804771.0,46987486.0,70,55.56
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,2025-01-13,2026-01-28,17,150.0,187130528.0,5,50,1.7857142857142858,2227744.380952381,32,380,4,5,5,455,14,Loyal,179743797.0,11007678.0,71,55.85
KH-00161,CÔNG TY TNHH THIÊN AN,Hà Nội,Miền Bắc,2025-02-26,2025-03-27,3,103.0,182845338.0,5,54,1.4714285714285715,2612076.257142857,339,29,2,4,5,245,11,Nguy cơ rời bỏ,2301329254.0,60948446.0,72,56.13
KH-00180,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Thanh Hoá,Miền Trung,2025-03-14,2026-02-26,4,123.0,182675520.0,1,29,2.7954545454545454,4151716.3636363638,3,349,5,5,5,555,15,Champions,191050329.0,45668880.0,73,56.42
KH-00458,HỘ KINH DOANH VẠN LỢI,Hà Tĩnh,Miền Trung,2026-01-24,2026-02-24,3,112.0,182444860.0,3,37,2.604651162790698,4242903.720930233,5,31,5,5,5,555,15,Champions,2148141094.0,60814953.0,74,56.7
KH-00350,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,2026-01-12,2026-02-13,3,109.0,180163850.0,2,21,4.037037037037037,6672735.185185186,16,32,5,5,5,555,15,Champions,2054993914.0,60054617.0,75,56.98
KH-00414,HỘ KINH DOANH ĐẠI LỢI,Hà Nội,Miền Bắc,2026-01-23,2026-02-12,4,114.0,179998377.0,2,33,2.425531914893617,3829752.7021276597,17,20,5,5,5,555,15,Champions,3284970380.0,44999594.0,76,57.26
KH-00594,DOANH NGHIỆP TW LONG PHÚ,Nghệ An,Miền Trung,2026-02-04,2026-02-04,2,141.0,171441583.0,3,24,4.862068965517241,5911778.724137931,25,0,4,4,5,445,13,Loyal,62576177795.0,85720792.0,77,57.53
KH-00380,DOANH NGHIỆP TW HÙNG CƯỜNG,Ninh Bình,Miền Bắc,2026-01-16,2026-02-26,5,116.0,171279116.0,4,42,2.0,2953088.206896552,3,41,5,5,5,555,15,Champions,1524801886.0,34255823.0,78,57.79
KH-00198,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,2025-03-19,2025-03-25,4,136.0,161705220.0,5,42,1.9154929577464788,2277538.3098591547,341,6,2,5,5,255,12,Nguy cơ rời bỏ,9837067550.0,40426305.0,79,58.04
KH-00383,HỘ KINH DOANH VẠN LỢI,Ninh Bình,Miền Bắc,2026-01-16,2026-02-12,3,98.0,159137735.0,1,20,2.5128205128205128,4080454.7435897435,17,27,5,5,5,555,15,Champions,2151306418.0,53045912.0,80,58.29
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,2025-01-10,2026-01-19,4,140.0,158743324.0,4,26,2.5925925925925926,2939691.185185185,41,374,3,5,5,355,13,Có tiềm năng,154923297.0,39685831.0,81,58.54
KH-00343,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hóa,Miền Trung,2026-01-12,2026-02-13,2,96.0,157208843.0,1,28,2.526315789473684,4137074.8157894737,16,32,5,4,5,545,14,Champions,1793163365.0,78604422.0,82,58.78
KH-00519,CÔNG TY CỔ PHẦN XUÂN MAI,Hưng Yên,Miền Bắc,2026-01-28,2026-02-27,3,96.0,155462755.0,1,25,2.742857142857143,4441793.0,2,30,5,5,5,555,15,Champions,1891463519.0,51820918.0,83,59.02
KH-00428,CỬA HÀNG XE ĐẠP NAM TIẾN,Quảng Ninh,Miền Bắc,2026-01-24,2026-02-24,2,86.0,155356897.0,4,23,3.44,6214275.88,5,31,5,4,5,545,14,Champions,1829202174.0,77678448.0,84,59.26
KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,2025-02-26,2026-02-04,4,125.0,155338390.0,4,35,2.314814814814815,2876636.8518518517,25,343,4,5,5,455,14,Loyal,165301785.0,38834598.0,85,59.51
KH-00586,CÔNG TY CỔ PHẦN THƯƠNG MẠI MINH PHƯƠNG,Phú Thọ,Miền Bắc,2026-01-31,2026-01-31,1,83.0,152828578.0,4,82,1.0121951219512195,1863763.1463414633,29,0,4,3,5,435,12,Loyal,55782430970.0,152828578.0,86,59.74
KH-00256,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,2025-03-24,2025-03-31,6,155.0,151660000.0,5,34,1.9620253164556962,1919746.835443038,335,7,3,5,5,355,13,Có tiềm năng,7907985714.0,25276667.0,87,59.98
KH-00557,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,2026-01-29,2026-02-27,4,85.0,146904319.0,4,26,3.0357142857142856,5246582.821428572,2,29,5,5,5,555,15,Champions,1848968153.0,36726080.0,88,60.21
KH-00419,DOANH NGHIỆP TW ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2026-01-23,2026-02-04,3,89.0,146841073.0,4,32,2.1707317073170733,3581489.5853658537,25,12,4,5,5,455,14,Loyal,4466415970.0,48947024.0,89,60.44
KH-00197,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,2025-03-19,2025-03-21,2,127.0,143952962.0,4,34,2.8222222222222224,3198954.711111111,345,2,2,3,5,235,10,Nguy cơ rời bỏ,26271415565.0,71976481.0,90,60.66
KH-00410,CỬA HÀNG XE ĐẠP NAM TIẾN,Nghệ An,Miền Trung,2026-01-22,2026-01-24,2,91.0,142988859.0,2,10,5.6875,8936803.6875,36,2,3,4,5,345,12,Có tiềm năng,26095466768.0,71494430.0,91,60.88
KH-00167,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Hà Nội,Miền Bắc,2025-02-26,2026-02-13,5,103.0,142484618.0,4,40,1.9807692307692308,2740088.8076923075,16,352,5,5,5,555,15,Champions,147746834.0,28496924.0,92,61.1
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,2025-02-14,2025-03-19,2,121.0,141400000.0,3,35,2.5208333333333335,2945833.3333333335,347,33,1,3,5,135,9,Ngủ đông,1563969697.0,70700000.0,93,61.32
KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,Hà Nội,Miền Bắc,2025-02-22,2025-03-28,4,126.0,140009520.0,5,35,2.9302325581395348,3256035.3488372094,338,34,2,5,5,255,12,Nguy cơ rời bỏ,1503043376.0,35002380.0,94,61.54
KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ A,Miền Bắc,2025-02-14,2025-02-14,1,115.0,138392643.0,3,18,6.388888888888889,7688480.166666667,380,0,1,1,5,115,7,Đã mất,50513314695.0,138392643.0,95,61.76
KH-00536,CỬA HÀNG XE ĐẠP LONG PHÚ,Hà Nội,Miền Bắc,2026-01-28,2026-01-28,1,82.0,135639972.0,2,29,2.7333333333333334,4521332.4,32,0,4,3,5,435,12,Loyal,49508589780.0,135639972.0,96,61.97
KH-00564,CỬA HÀNG XE ĐẠP SÁN LẠP,Thái Bình,Miền Bắc,2026-01-30,2026-02-05,3,68.0,132364973.0,3,28,1.7,3309124.325,24,6,4,5,5,455,14,Loyal,8052202524.0,44121658.0,97,62.17
KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,2025-03-24,2025-03-25,3,113.0,131871676.0,4,34,2.825,3296791.9,341,1,2,5,5,255,12,Nguy cơ rời bỏ,48133161740.0,43957225.0,98,62.38
KH-00505,CÔNG TY CỔ PHẦN TÚ ANH,Nghệ An,Miền Trung,2026-01-28,2026-02-27,3,74.0,130865894.0,3,32,1.7619047619047619,3115854.619047619,2,30,5,5,5,555,15,Champions,1592201710.0,43621965.0,99,62.58
KH-00151,CÔNG TY TNHH LÊ ANH,Hà Tĩnh,Miền Trung,2025-02-22,2025-03-20,2,91.0,130261924.0,3,36,2.116279069767442,3029347.069767442,346,26,1,3,5,135,9,Ngủ đông,1828677010.0,65130962.0,100,62.78
KH-00382,CÔNG TY TNHH LÊ ANH,Ninh Bình,Miền Bắc,2026-01-16,2026-02-24,4,78.0,130206084.0,1,20,3.25,5425253.5,5,39,5,5,5,555,15,Champions,1218595402.0,32551521.0,101,62.99
KH-00408,CÔNG TY CỔ PHẦN MINH PHƯƠNG,Thanh Hóa,Miền Trung,2026-01-22,2026-02-06,3,64.0,129384237.0,3,16,3.764705882352941,7610837.470588235,23,15,4,5,5,455,14,Loyal,3148349767.0,43128079.0,102,63.19
