province_name,q1_2025,q1_2026,yoy_pct,tang_tuyet_doi,region
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,61441481.0,0.0,-100.0,-61441481.0,Miền Bắc
Nam Định,926331599.0,0.0,-100.0,-926331599.0,Miền Bắc
Nghệ A,138392643.0,0.0,-100.0,-138392643.0,Miền Bắc
TP Hưng Yên,27978500.0,0.0,-100.0,-27978500.0,Miền Bắc
TP Hải Dương,24000000.0,0.0,-100.0,-24000000.0,Miền Bắc
Quảng NinhSố,13870000.0,0.0,-100.0,-13870000.0,Miền Bắc
Sơn La,52190000.0,0.0,-100.0,-52190000.0,Miền Bắc
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,42370000.0,0.0,-100.0,-42370000.0,Miền Bắc
Thủ Dầu Một,20750000.0,0.0,-100.0,-20750000.0,Miền Bắc
TT Hương Sơn- Phú Bình- Thái Nguyên,23350000.0,0.0,-100.0,-23350000.0,Miền Bắc
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,61750000.0,0.0,-100.0,-61750000.0,Miền Bắc
Uông Bí,31677734.0,0.0,-100.0,-31677734.0,Miền Bắc
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,23312643.0,0.0,-100.0,-23312643.0,Miền Bắc
Tỉnh Hòa Bình.,2546296.0,0.0,-100.0,-2546296.0,Miền Bắc
Tĩnh Thanh Hoá,60307929.0,0.0,-100.0,-60307929.0,Miền Bắc
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,244765884.0,0.0,-100.0,-244765884.0,Miền Bắc
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,115376430.0,0.0,-100.0,-115376430.0,Miền Bắc
Vĩnh Yên,43308059.0,0.0,-100.0,-43308059.0,Miền Bắc
Đắk Lắk,4983333.0,0.0,-100.0,-4983333.0,Miền Trung
