customer_code,customer_name,group_code,group_name,tong_sl,tong_dt,so_don,ty_trong_kh_pct
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,KIDBIKE_2,Xe trẻ em nhóm 2,72.0,51947662.0,4,18.27
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,KIDBIKE_1,Xe trẻ em nhóm 1,35.0,38250000.0,3,13.45
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,SPORTBIKE_A,Xe thể thao nhôm,7.0,19215148.0,3,6.76
KH-00011,DOANH NGHIỆP TW NAM TIẾN,CITYBIKE_P,Xe phổ thông,2.0,4611112.0,2,100.0
KH-00012,HỘ KINH DOANH THIÊN AN,CITYBIKE_P,Xe phổ thông,2.0,5185186.0,2,100.0
KH-00014,HỘ KINH DOANH LONG PHÚ,CITYBIKE_P,Xe phổ thông,88.0,108139992.0,4,78.2
KH-00014,HỘ KINH DOANH LONG PHÚ,KIDBIKE_2,Xe trẻ em nhóm 2,28.0,13640000.0,3,9.86
KH-00014,HỘ KINH DOANH LONG PHÚ,KIDBIKE_1,Xe trẻ em nhóm 1,12.0,12600000.0,3,9.11
KH-00014,HỘ KINH DOANH LONG PHÚ,SPORTBIKE_S,Xe thể thao thép,3.0,3900000.0,1,2.82
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,CITYBIKE_P,Xe phổ thông,36.0,43180000.0,2,55.41
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,SPORTBIKE_A,Xe thể thao nhôm,13.0,27950000.0,2,35.87
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,4200000.0,1,5.39
KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,SPORTBIKE_S,Xe thể thao thép,2.0,2600000.0,1,3.34
KH-00016,DOANH NGHIỆP TW VIỆT ANH,CITYBIKE_P,Xe phổ thông,61.0,73560000.0,4,90.92
KH-00016,DOANH NGHIỆP TW VIỆT ANH,KIDBIKE_1,Xe trẻ em nhóm 1,7.0,7350000.0,2,9.08
KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,CITYBIKE_P,Xe phổ thông,20.0,23350000.0,1,100.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,SPORTBIKE_S,Xe thể thao thép,75.0,90200000.0,3,41.06
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,CITYBIKE_P,Xe phổ thông,54.0,81252765.0,5,36.99
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,KIDBIKE_2,Xe trẻ em nhóm 2,32.0,24935538.0,3,11.35
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,KIDBIKE_1,Xe trẻ em nhóm 1,19.0,23282124.0,5,10.6
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,CITYBIKE_P,Xe phổ thông,439.0,844989432.0,40,37.63
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,KIDBIKE_2,Xe trẻ em nhóm 2,434.0,481506651.0,35,21.44
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,SPORTBIKE_S,Xe thể thao thép,164.0,420191859.0,29,18.71
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,KIDBIKE_1,Xe trẻ em nhóm 1,198.0,352474622.0,32,15.7
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,SPORTBIKE_A,Xe thể thao nhôm,42.0,146428334.0,2,6.52
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,CITYBIKE_P,Xe phổ thông,60.0,124583332.0,1,100.0
KH-00021,HỘ KINH DOANH XÂY DỰNG,CITYBIKE_P,Xe phổ thông,40.0,87037037.0,1,100.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,CITYBIKE_P,Xe phổ thông,66.0,85467218.0,10,49.99
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,SPORTBIKE_S,Xe thể thao thép,33.0,40950000.0,4,23.95
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,SPORTBIKE_A,Xe thể thao nhôm,7.0,19756647.0,4,11.56
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,KIDBIKE_1,Xe trẻ em nhóm 1,12.0,12900000.0,3,7.55
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,KIDBIKE_2,Xe trẻ em nhóm 2,25.0,11900000.0,6,6.96
KH-00023,CÔNG TY TNHH THANH BÌNH,CITYBIKE_P,Xe phổ thông,448.0,679434256.0,6,85.75
KH-00023,CÔNG TY TNHH THANH BÌNH,KIDBIKE_1,Xe trẻ em nhóm 1,84.0,112881481.0,1,14.25
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,CITYBIKE_P,Xe phổ thông,288.0,395031631.0,11,91.62
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,KIDBIKE_1,Xe trẻ em nhóm 1,29.0,31824998.0,7,7.38
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,SPORTBIKE_S,Xe thể thao thép,2.0,2400000.0,1,0.56
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,KIDBIKE_2,Xe trẻ em nhóm 2,2.0,1915554.0,1,0.44
KH-00025,DOANH NGHIỆP TW SƠN HÀ,CITYBIKE_P,Xe phổ thông,6.0,13277778.0,1,100.0
KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,CITYBIKE_P,Xe phổ thông,3.0,7777778.0,1,100.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,CITYBIKE_P,Xe phổ thông,61.0,87846647.0,9,61.72
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,24596662.0,6,17.28
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,SPORTBIKE_A,Xe thể thao nhôm,5.0,16113215.0,1,11.32
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,SPORTBIKE_S,Xe thể thao thép,7.0,9150000.0,3,6.43
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,KIDBIKE_2,Xe trẻ em nhóm 2,6.0,4623330.0,3,3.25
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,CITYBIKE_P,Xe phổ thông,27.0,32150000.0,2,62.98
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,SPORTBIKE_S,Xe thể thao thép,12.0,15500000.0,1,30.36
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,KIDBIKE_1,Xe trẻ em nhóm 1,2.0,2400000.0,1,4.7
KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,KIDBIKE_2,Xe trẻ em nhóm 2,2.0,1000000.0,1,1.96
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,CITYBIKE_P,Xe phổ thông,265.0,478472221.0,2,53.85
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,SPORTBIKE_S,Xe thể thao thép,155.0,401851851.0,1,45.23
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,SPORTBIKE_A,Xe thể thao nhôm,2.0,8133334.0,1,0.92
KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,CITYBIKE_P,Xe phổ thông,2.0,4907408.0,1,100.0
KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,CITYBIKE_P,Xe phổ thông,5.0,11064815.0,1,100.0
KH-00034,CÔNG TY TNHH BÌNH MINH,CITYBIKE_P,Xe phổ thông,21.0,24750000.0,2,75.57
KH-00034,CÔNG TY TNHH BÌNH MINH,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,4200000.0,1,12.82
KH-00034,CÔNG TY TNHH BÌNH MINH,SPORTBIKE_S,Xe thể thao thép,3.0,3800000.0,1,11.6
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,CITYBIKE_P,Xe phổ thông,47.0,57960000.0,4,91.71
KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,SPORTBIKE_S,Xe thể thao thép,4.0,5240000.0,1,8.29
KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,SPORTBIKE_A,Xe thể thao nhôm,7.0,46324073.0,3,100.0
KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,SPORTBIKE_S,Xe thể thao thép,1.0,3879630.0,1,100.0
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,CITYBIKE_P,Xe phổ thông,80.0,94150000.0,2,91.26
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,SPORTBIKE_A,Xe thể thao nhôm,3.0,9011361.0,1,8.74
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,SPORTBIKE_S,Xe thể thao thép,25.0,84722220.0,1,39.41
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,CITYBIKE_P,Xe phổ thông,30.0,61250010.0,1,28.49
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,48148140.0,1,22.4
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,KIDBIKE_2,Xe trẻ em nhóm 2,15.0,20833335.0,1,9.69
KH-00040,CÔNG TY TNHH VẠN LỢI,KIDBIKE_1,Xe trẻ em nhóm 1,163.0,293400000.0,3,100.0
KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,CITYBIKE_P,Xe phổ thông,5.0,11064815.0,1,100.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,CITYBIKE_P,Xe phổ thông,89.0,143781079.0,8,78.99
KH-00042,HỘ KINH DOANH MẶT TRỜI,KIDBIKE_1,Xe trẻ em nhóm 1,15.0,19387957.0,5,10.65
KH-00042,HỘ KINH DOANH MẶT TRỜI,SPORTBIKE_S,Xe thể thao thép,4.0,9485182.0,2,5.21
KH-00042,HỘ KINH DOANH MẶT TRỜI,KIDBIKE_2,Xe trẻ em nhóm 2,10.0,9372214.0,2,5.15
KH-00043,CÔNG TY TNHH LONG PHÚ,CITYBIKE_P,Xe phổ thông,17.0,20550000.0,3,67.05
KH-00043,CÔNG TY TNHH LONG PHÚ,KIDBIKE_1,Xe trẻ em nhóm 1,6.0,6300000.0,2,20.55
KH-00043,CÔNG TY TNHH LONG PHÚ,SPORTBIKE_S,Xe thể thao thép,3.0,3800000.0,1,12.4
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,CITYBIKE_P,Xe phổ thông,37.0,55725542.0,2,72.35
KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,KIDBIKE_1,Xe trẻ em nhóm 1,19.0,21300000.0,1,27.65
KH-00045,CÔNG TY TNHH AN PHÁT,SPORTBIKE_A,Xe thể thao nhôm,4.0,18111112.0,1,100.0
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,CITYBIKE_P,Xe phổ thông,157.0,256201047.0,3,92.73
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,KIDBIKE_1,Xe trẻ em nhóm 1,15.0,20071753.0,2,7.27
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,CITYBIKE_P,Xe phổ thông,30.0,36180000.0,1,100.0
KH-00048,CÔNG TY TNHH THUỶ TIÊN,CITYBIKE_P,Xe phổ thông,6.0,13277778.0,3,100.0
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,CITYBIKE_P,Xe phổ thông,31.0,49545359.0,4,48.5
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,SPORTBIKE_A,Xe thể thao nhôm,9.0,44747221.0,2,43.81
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,5151850.0,1,5.04
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,SPORTBIKE_S,Xe thể thao thép,1.0,2702314.0,1,2.65
KH-00050,CÔNG TY TNHH AN PHÁT,CITYBIKE_P,Xe phổ thông,1.0,2305556.0,1,100.0
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,CITYBIKE_P,Xe phổ thông,2.0,4611111.0,1,100.0
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,CITYBIKE_P,Xe phổ thông,1.0,2212963.0,1,100.0
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,SPORTBIKE_S,Xe thể thao thép,1.0,3694444.0,1,100.0
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,CITYBIKE_P,Xe phổ thông,1.0,2398148.0,1,100.0
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,CITYBIKE_P,Xe phổ thông,2.0,4983333.0,1,100.0
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,CITYBIKE_P,Xe phổ thông,20.0,23050000.0,1,69.66
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,KIDBIKE_1,Xe trẻ em nhóm 1,8.0,9040000.0,1,27.32
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,KIDBIKE_2,Xe trẻ em nhóm 2,2.0,1000000.0,1,3.02
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,CITYBIKE_P,Xe phổ thông,391.0,467420000.0,5,82.94
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,KIDBIKE_1,Xe trẻ em nhóm 1,58.0,61350000.0,4,10.89
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,KIDBIKE_2,Xe trẻ em nhóm 2,46.0,22790000.0,1,4.04
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,SPORTBIKE_A,Xe thể thao nhôm,4.0,12015152.0,1,2.13
KH-00058,DOANH NGHIỆP TW SÁN LẠP,CITYBIKE_P,Xe phổ thông,20.0,24000000.0,1,100.0
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,CITYBIKE_P,Xe phổ thông,35.0,41330000.0,1,84.9
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,KIDBIKE_1,Xe trẻ em nhóm 1,7.0,7350000.0,1,15.1
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,CITYBIKE_P,Xe phổ thông,21.0,25550000.0,1,100.0
KH-00061,HỘ KINH DOANH THUỶ TIÊN,CITYBIKE_P,Xe phổ thông,6.0,7030000.0,1,51.2
KH-00061,HỘ KINH DOANH THUỶ TIÊN,SPORTBIKE_A,Xe thể thao nhôm,2.0,4300000.0,1,31.32
KH-00061,HỘ KINH DOANH THUỶ TIÊN,SPORTBIKE_S,Xe thể thao thép,2.0,2400000.0,1,17.48
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,CITYBIKE_P,Xe phổ thông,54.0,64410000.0,2,53.88
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,22500000.0,2,18.82
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,SPORTBIKE_A,Xe thể thao nhôm,6.0,12900000.0,2,10.79
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,SPORTBIKE_S,Xe thể thao thép,9.0,11850000.0,1,9.91
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,KIDBIKE_2,Xe trẻ em nhóm 2,16.0,7880000.0,1,6.59
KH-00063,HỘ KINH DOANH VẠN LỢI,SPORTBIKE_A,Xe thể thao nhôm,14.0,33515148.0,2,64.81
KH-00063,HỘ KINH DOANH VẠN LỢI,SPORTBIKE_S,Xe thể thao thép,14.0,18200000.0,1,35.19
KH-00064,CÔNG TY TNHH SƠN HÀ,CITYBIKE_P,Xe phổ thông,239.0,283620000.0,6,78.12
KH-00064,CÔNG TY TNHH SƠN HÀ,SPORTBIKE_A,Xe thể thao nhôm,17.0,38607000.0,2,10.63
KH-00064,CÔNG TY TNHH SƠN HÀ,KIDBIKE_1,Xe trẻ em nhóm 1,20.0,21050000.0,3,5.8
KH-00064,CÔNG TY TNHH SƠN HÀ,SPORTBIKE_S,Xe thể thao thép,11.0,18375500.0,3,5.06
KH-00064,CÔNG TY TNHH SƠN HÀ,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,1410000.0,1,0.39
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,CITYBIKE_P,Xe phổ thông,358.0,423080000.0,8,76.84
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,KIDBIKE_1,Xe trẻ em nhóm 1,62.0,66450000.0,8,12.07
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,SPORTBIKE_A,Xe thể thao nhôm,16.0,34400000.0,4,6.25
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,SPORTBIKE_S,Xe thể thao thép,16.0,19700000.0,3,3.58
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,KIDBIKE_2,Xe trẻ em nhóm 2,14.0,7000000.0,2,1.27
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,CITYBIKE_P,Xe phổ thông,21.0,24640000.0,1,71.65
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,KIDBIKE_1,Xe trẻ em nhóm 1,9.0,9750000.0,1,28.35
KH-00067,DOANH NGHIỆP TW NGỌC ANH,CITYBIKE_P,Xe phổ thông,110.0,132740000.0,9,63.13
KH-00067,DOANH NGHIỆP TW NGỌC ANH,SPORTBIKE_S,Xe thể thao thép,17.0,28067500.0,7,13.35
KH-00067,DOANH NGHIỆP TW NGỌC ANH,SPORTBIKE_A,Xe thể thao nhôm,8.0,22844359.0,4,10.87
KH-00067,DOANH NGHIỆP TW NGỌC ANH,KIDBIKE_1,Xe trẻ em nhóm 1,17.0,19220000.0,6,9.14
KH-00067,DOANH NGHIỆP TW NGỌC ANH,KIDBIKE_2,Xe trẻ em nhóm 2,15.0,7380000.0,5,3.51
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,CITYBIKE_P,Xe phổ thông,28.0,34490000.0,3,71.84
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,KIDBIKE_2,Xe trẻ em nhóm 2,28.0,13520000.0,2,28.16
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,CITYBIKE_P,Xe phổ thông,4.0,11074074.0,2,100.0
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,CITYBIKE_P,Xe phổ thông,4.0,8851852.0,1,100.0
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,SPORTBIKE_S,Xe thể thao thép,1.0,3509259.0,1,100.0
KH-00072,DOANH NGHIỆP TW PHÚC AN,CITYBIKE_P,Xe phổ thông,3.0,3450000.0,1,100.0
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,CITYBIKE_P,Xe phổ thông,42.0,49320000.0,2,78.77
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,SPORTBIKE_S,Xe thể thao thép,5.0,13292500.0,1,21.23
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,CITYBIKE_P,Xe phổ thông,15.0,21116664.0,3,55.87
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,KIDBIKE_1,Xe trẻ em nhóm 1,11.0,12283796.0,2,32.5
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,KIDBIKE_2,Xe trẻ em nhóm 2,8.0,4396666.0,3,11.63
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,CITYBIKE_P,Xe phổ thông,190.0,237625548.0,7,69.26
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,SPORTBIKE_S,Xe thể thao thép,39.0,61568000.0,5,17.95
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,SPORTBIKE_A,Xe thể thao nhôm,14.0,30100000.0,4,8.77
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,KIDBIKE_1,Xe trẻ em nhóm 1,10.0,10200000.0,3,2.97
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,KIDBIKE_2,Xe trẻ em nhóm 2,4.0,3586664.0,1,1.05
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,CITYBIKE_P,Xe phổ thông,227.0,343933299.0,7,77.5
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,KIDBIKE_2,Xe trẻ em nhóm 2,73.0,54924962.0,4,12.38
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,KIDBIKE_1,Xe trẻ em nhóm 1,22.0,25830736.0,4,5.82
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,SPORTBIKE_A,Xe thể thao nhôm,7.0,19077573.0,2,4.3
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,CITYBIKE_P,Xe phổ thông,19.0,22720000.0,1,64.88
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,KIDBIKE_1,Xe trẻ em nhóm 1,11.0,12300000.0,1,35.12
KH-00078,HỘ KINH DOANH VĨNH PHÁT,CITYBIKE_P,Xe phổ thông,152.0,192872772.0,15,70.37
KH-00078,HỘ KINH DOANH VĨNH PHÁT,KIDBIKE_1,Xe trẻ em nhóm 1,29.0,30858240.0,9,11.26
KH-00078,HỘ KINH DOANH VĨNH PHÁT,KIDBIKE_2,Xe trẻ em nhóm 2,49.0,28019993.0,6,10.22
KH-00078,HỘ KINH DOANH VĨNH PHÁT,SPORTBIKE_S,Xe thể thao thép,12.0,14800000.0,6,5.4
KH-00078,HỘ KINH DOANH VĨNH PHÁT,SPORTBIKE_A,Xe thể thao nhôm,3.0,7522643.0,2,2.74
KH-00079,CÔNG TY TNHH ĐÔNG NAM,CITYBIKE_P,Xe phổ thông,85.0,114828883.0,5,72.41
KH-00079,CÔNG TY TNHH ĐÔNG NAM,KIDBIKE_2,Xe trẻ em nhóm 2,18.0,14752026.0,3,9.3
KH-00079,CÔNG TY TNHH ĐÔNG NAM,KIDBIKE_1,Xe trẻ em nhóm 1,12.0,14452220.0,2,9.11
KH-00079,CÔNG TY TNHH ĐÔNG NAM,SPORTBIKE_S,Xe thể thao thép,4.0,8332222.0,2,5.25
KH-00079,CÔNG TY TNHH ĐÔNG NAM,SPORTBIKE_A,Xe thể thao nhôm,2.0,6226430.0,1,3.93
KH-00080,HỘ KINH DOANH VĨNH PHÁT,CITYBIKE_P,Xe phổ thông,50.0,60020000.0,1,100.0
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,CITYBIKE_P,Xe phổ thông,28.0,33280000.0,1,73.6
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,SPORTBIKE_S,Xe thể thao thép,4.0,5200000.0,1,11.5
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,KIDBIKE_1,Xe trẻ em nhóm 1,4.0,4800000.0,1,10.61
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,KIDBIKE_2,Xe trẻ em nhóm 2,4.0,1940000.0,1,4.29
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,CITYBIKE_P,Xe phổ thông,25.0,30700000.0,1,70.41
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,SPORTBIKE_A,Xe thể thao nhôm,6.0,12900000.0,1,29.59
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,CITYBIKE_P,Xe phổ thông,75.0,89350000.0,2,63.19
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,KIDBIKE_1,Xe trẻ em nhóm 1,37.0,40850000.0,2,28.89
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,SPORTBIKE_S,Xe thể thao thép,9.0,11200000.0,1,7.92
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,CITYBIKE_P,Xe phổ thông,9.0,10660000.0,1,59.69
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,KIDBIKE_1,Xe trẻ em nhóm 1,6.0,7200000.0,1,40.31
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,CITYBIKE_P,Xe phổ thông,38.0,44380000.0,2,94.87
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,SPORTBIKE_S,Xe thể thao thép,2.0,2400000.0,1,5.13
KH-00086,CÔNG TY TNHH NGỌC ANH,CITYBIKE_P,Xe phổ thông,40.0,51048000.0,3,46.4
