customer_code,customer_name,province_name,region,so_don,tong_sl,tong_dt,ngay_dau,ngay_cuoi,so_nhom_sp,so_sku,gia_tb_chiec,span_ngay,don_tb_gia_tri
KH-00359,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,8,208.0,343228527.0,2026-01-13,2026-02-27,4,81,1650137.0,45,42903566.0
KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,4,287.0,341650000.0,2025-02-20,2025-03-28,4,37,1190418.0,36,85412500.0
KH-00387,CÔNG TY CỔ PHẦN THANH BÌNH,Bắc Ninh,Miền Bắc,2,228.0,337372776.0,2026-01-17,2026-02-10,3,86,1479705.0,24,168686388.0
KH-00181,CÔNG TY TNHH LONG PHÚ,Thừa Thiên Huế,Miền Trung,3,192.0,331016209.0,2025-03-14,2026-02-09,3,42,1724043.0,332,110338736.0
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,7,243.0,329280658.0,2025-02-14,2026-02-26,4,38,1355064.0,377,47040094.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,7,265.0,320339548.0,2025-01-09,2026-02-07,4,50,1208828.0,394,45762793.0
KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,3,260.0,302480000.0,2025-02-17,2025-03-18,2,33,1163385.0,29,100826667.0
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,17,264.0,301886045.0,2025-02-14,2026-01-31,5,56,1143508.0,351,17758003.0
KH-00386,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hà Nam,Miền Bắc,4,186.0,298647705.0,2026-01-17,2026-02-13,4,47,1605633.0,27,74661926.0
KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,3,163.0,293400000.0,2025-01-21,2025-03-29,1,1,1800000.0,67,97800000.0
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,3,181.0,292164832.0,2025-01-24,2026-02-12,2,29,1614170.0,384,97388277.0
KH-00491,CÔNG TY TNHH PHÚC AN,Vinh,Miền Bắc,2,178.0,283026601.0,2026-01-27,2026-01-28,2,26,1590037.0,1,141513300.0
KH-00374,CÔNG TY CỔ PHẦN XÂY DỰNG,Hưng Yên,Miền Bắc,5,190.0,273669448.0,2026-01-16,2026-02-27,4,44,1440366.0,42,54733890.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,6,208.0,270234859.0,2025-01-10,2026-02-12,4,51,1299206.0,398,45039143.0
KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,52,85.0,252138899.0,2025-02-25,2026-02-28,5,45,2966340.0,368,4848825.0
KH-00423,DOANH NGHIỆP TW THIÊN AN,Bắc Giang,Miền Bắc,5,143.0,248468641.0,2026-01-23,2026-02-27,3,22,1737543.0,35,49693728.0
KH-00334,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,2,170.0,244805554.0,2026-01-06,2026-01-06,2,4,1440033.0,0,122402777.0
KH-00193,CÔNG TY TNHH TÚ ANH,Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,4,204.0,244765884.0,2025-03-19,2025-03-31,4,49,1199833.0,12,61191471.0
KH-00219,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,Ninh Bình,Miền Bắc,5,157.0,239920519.0,2025-03-20,2026-02-06,5,34,1528156.0,323,47984104.0
KH-00277,CÔNG TY CỔ PHẦN THƯƠNG MẠI VĨNH PHÁT,Vinh,Miền Bắc,2,200.0,232490000.0,2025-03-25,2025-03-25,2,31,1162450.0,0,116245000.0
KH-00194,CỬA HÀNG XE ĐẠP SÁN LẠP,Hà Nội,Miền Bắc,3,179.0,227427256.0,2025-03-19,2026-02-12,5,65,1270543.0,330,75809085.0
KH-00426,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Thái Nguyên,Miền Bắc,3,138.0,227020711.0,2026-01-24,2026-02-27,2,26,1645078.0,34,75673570.0
KH-00453,CÔNG TY TNHH YÊN BÌNH,Ninh Bình,Miền Bắc,4,143.0,226995509.0,2026-01-24,2026-02-26,1,33,1587381.0,33,56748877.0
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,3,185.0,226215286.0,2025-02-19,2025-03-25,3,36,1222785.0,34,75405095.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,10,140.0,222053507.0,2025-01-13,2026-02-04,5,48,1586096.0,387,22205351.0
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,2,90.0,214953705.0,2025-01-21,2026-01-20,4,7,2388374.0,364,107476852.0
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,9,170.0,213946302.0,2025-02-10,2025-03-31,5,63,1258508.0,49,23771811.0
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,6,152.0,212673064.0,2025-02-14,2026-02-11,5,54,1399165.0,362,35445511.0
KH-00404,HỘ KINH DOANH PHÚ THỊNH,Thanh Hóa,Miền Trung,5,129.0,211169406.0,2026-01-22,2026-02-27,4,16,1636972.0,36,42233881.0
KH-00488,CÔNG TY TNHH TRƯỜNG THỊNH,Ninh Bình,Miền Bắc,5,140.0,203177562.0,2026-01-27,2026-02-27,4,40,1451268.0,31,40635512.0
KH-00377,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,3,120.0,202712911.0,2026-01-16,2026-02-12,4,53,1689274.0,27,67570970.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,8,128.0,200660317.0,2025-01-22,2026-02-12,4,47,1567659.0,386,25082540.0
KH-00385,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Hải Dương,Miền Bắc,4,115.0,200372170.0,2026-01-16,2026-02-27,3,18,1742367.0,42,50093042.0
KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,8,167.0,199350113.0,2025-02-17,2025-03-31,5,60,1193713.0,42,24918764.0
KH-00605,CÔNG TY CỔ PHẦN VĨNH PHÁT,TP Hải Phòng,Miền Bắc,12,127.0,197154205.0,2026-02-05,2026-02-24,4,34,1552395.0,19,16429517.0
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,Thanh Hoá,Miền Trung,7,148.0,193706159.0,2025-02-20,2026-02-27,3,32,1308825.0,372,27672308.0
KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,5,160.0,191180000.0,2025-02-20,2025-03-31,3,41,1194875.0,39,38236000.0
KH-00360,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Thanh Hóa,Miền Trung,2,129.0,191129200.0,2026-01-13,2026-01-24,4,39,1481622.0,11,95564600.0
KH-00487,DOANH NGHIỆP TW TRƯỜNG THỊNH,Bắc Ninh,Miền Bắc,3,111.0,188365334.0,2026-01-27,2026-02-13,3,36,1696985.0,17,62788445.0
KH-00584,CÔNG TY TNHH CHI THÀNH,Hà Nội,Miền Bắc,4,125.0,187949942.0,2026-01-31,2026-02-27,3,40,1503600.0,27,46987486.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,17,150.0,187130528.0,2025-01-13,2026-01-28,5,50,1247537.0,380,11007678.0
KH-00161,CÔNG TY TNHH THIÊN AN,Hà Nội,Miền Bắc,3,103.0,182845338.0,2025-02-26,2025-03-27,5,54,1775197.0,29,60948446.0
KH-00180,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Thanh Hoá,Miền Trung,4,123.0,182675520.0,2025-03-14,2026-02-26,1,29,1485167.0,349,45668880.0
KH-00458,HỘ KINH DOANH VẠN LỢI,Hà Tĩnh,Miền Trung,3,112.0,182444860.0,2026-01-24,2026-02-24,3,37,1628972.0,31,60814953.0
KH-00350,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,3,109.0,180163850.0,2026-01-12,2026-02-13,2,21,1652879.0,32,60054617.0
KH-00414,HỘ KINH DOANH ĐẠI LỢI,Hà Nội,Miền Bắc,4,114.0,179998377.0,2026-01-23,2026-02-12,2,33,1578933.0,20,44999594.0
KH-00594,DOANH NGHIỆP TW LONG PHÚ,Nghệ An,Miền Trung,2,141.0,171441583.0,2026-02-04,2026-02-04,3,24,1215898.0,0,85720792.0
KH-00380,DOANH NGHIỆP TW HÙNG CƯỜNG,Ninh Bình,Miền Bắc,5,116.0,171279116.0,2026-01-16,2026-02-26,4,42,1476544.0,41,34255823.0
KH-00198,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,4,136.0,161705220.0,2025-03-19,2025-03-25,5,42,1189009.0,6,40426305.0
KH-00383,HỘ KINH DOANH VẠN LỢI,Ninh Bình,Miền Bắc,3,98.0,159137735.0,2026-01-16,2026-02-12,1,20,1623854.0,27,53045912.0
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,4,140.0,158743324.0,2025-01-10,2026-01-19,4,26,1133881.0,374,39685831.0
KH-00343,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hóa,Miền Trung,2,96.0,157208843.0,2026-01-12,2026-02-13,1,28,1637592.0,32,78604422.0
KH-00519,CÔNG TY CỔ PHẦN XUÂN MAI,Hưng Yên,Miền Bắc,3,96.0,155462755.0,2026-01-28,2026-02-27,1,25,1619404.0,30,51820918.0
KH-00428,CỬA HÀNG XE ĐẠP NAM TIẾN,Quảng Ninh,Miền Bắc,2,86.0,155356897.0,2026-01-24,2026-02-24,4,23,1806476.0,31,77678448.0
KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,4,125.0,155338390.0,2025-02-26,2026-02-04,4,35,1242707.0,343,38834598.0
KH-00586,CÔNG TY CỔ PHẦN THƯƠNG MẠI MINH PHƯƠNG,Phú Thọ,Miền Bắc,1,83.0,152828578.0,2026-01-31,2026-01-31,4,82,1841308.0,0,152828578.0
KH-00256,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,6,155.0,151660000.0,2025-03-24,2025-03-31,5,34,978452.0,7,25276667.0
KH-00557,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,4,85.0,146904319.0,2026-01-29,2026-02-27,4,26,1728286.0,29,36726080.0
KH-00419,DOANH NGHIỆP TW ĐẠI DƯƠNG,Hà Nội,Miền Bắc,3,89.0,146841073.0,2026-01-23,2026-02-04,4,32,1649900.0,12,48947024.0
KH-00197,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,2,127.0,143952962.0,2025-03-19,2025-03-21,4,34,1133488.0,2,71976481.0
KH-00410,CỬA HÀNG XE ĐẠP NAM TIẾN,Nghệ An,Miền Trung,2,91.0,142988859.0,2026-01-22,2026-01-24,2,10,1571306.0,2,71494430.0
KH-00167,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Hà Nội,Miền Bắc,5,103.0,142484618.0,2025-02-26,2026-02-13,4,40,1383346.0,352,28496924.0
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,2,121.0,141400000.0,2025-02-14,2025-03-19,3,35,1168595.0,33,70700000.0
KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,Hà Nội,Miền Bắc,4,126.0,140009520.0,2025-02-22,2025-03-28,5,35,1111187.0,34,35002380.0
KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ A,Miền Bắc,1,115.0,138392643.0,2025-02-14,2025-02-14,3,18,1203414.0,0,138392643.0
KH-00536,CỬA HÀNG XE ĐẠP LONG PHÚ,Hà Nội,Miền Bắc,1,82.0,135639972.0,2026-01-28,2026-01-28,2,29,1654146.0,0,135639972.0
KH-00564,CỬA HÀNG XE ĐẠP SÁN LẠP,Thái Bình,Miền Bắc,3,68.0,132364973.0,2026-01-30,2026-02-05,3,28,1946544.0,6,44121658.0
KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,3,113.0,131871676.0,2025-03-24,2025-03-25,4,34,1167006.0,1,43957225.0
KH-00505,CÔNG TY CỔ PHẦN TÚ ANH,Nghệ An,Miền Trung,3,74.0,130865894.0,2026-01-28,2026-02-27,3,32,1768458.0,30,43621965.0
KH-00151,CÔNG TY TNHH LÊ ANH,Hà Tĩnh,Miền Trung,2,91.0,130261924.0,2025-02-22,2025-03-20,3,36,1431450.0,26,65130962.0
KH-00382,CÔNG TY TNHH LÊ ANH,Ninh Bình,Miền Bắc,4,78.0,130206084.0,2026-01-16,2026-02-24,1,20,1669309.0,39,32551521.0
KH-00408,CÔNG TY CỔ PHẦN MINH PHƯƠNG,Thanh Hóa,Miền Trung,3,64.0,129384237.0,2026-01-22,2026-02-06,3,16,2021629.0,15,43128079.0
KH-00484,CÔNG TY CỔ PHẦN THƯƠNG MẠI HOÀ BÌNH,Bắc Ninh,Miền Bắc,2,81.0,128189783.0,2026-01-27,2026-02-26,3,32,1582590.0,30,64094892.0
KH-00558,CÔNG TY CỔ PHẦN THƯƠNG MẠI SƠN HÀ,Hà Nội,Miền Bắc,5,73.0,127875525.0,2026-01-30,2026-01-31,2,32,1751720.0,1,25575105.0
KH-00247,HỘ KINH DOANH NGỌC ANH,Hưng Yên,Miền Bắc,1,108.0,126890000.0,2025-03-22,2025-03-22,3,19,1174907.0,0,126890000.0
KH-00477,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,2,79.0,126257935.0,2026-01-26,2026-02-26,3,27,1598202.0,31,63128968.0
KH-00444,CÔNG TY TNHH THƯƠNG MẠI SÁN LẠP,Hà Nội,Miền Bắc,2,74.0,125997747.0,2026-01-24,2026-02-27,3,40,1702672.0,34,62998874.0
KH-00469,CỬA HÀNG XE ĐẠP HOÀ BÌNH,Nghệ An,Miền Trung,2,73.0,125293492.0,2026-01-26,2026-02-27,4,37,1716349.0,32,62646746.0
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,5,54.0,125206740.0,2025-02-07,2026-02-26,4,27,2318643.0,384,25041348.0
KH-00466,HỘ KINH DOANH HÙNG CƯỜNG,Quảng Ninh,Miền Bắc,2,77.0,124908761.0,2026-01-26,2026-02-24,3,26,1622192.0,29,62454380.0
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,1,60.0,124583332.0,2025-01-11,2025-01-11,1,2,2076389.0,0,124583332.0
KH-00139,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,3,83.0,124298146.0,2025-02-22,2025-03-31,3,39,1497568.0,37,41432715.0
KH-00390,HỘ KINH DOANH ĐẠI LỢI,Hà Nội,Miền Bắc,2,76.0,123865987.0,2026-01-19,2026-02-13,3,39,1629816.0,25,61932994.0
KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,5,99.0,121615286.0,2025-03-20,2025-03-25,4,32,1228437.0,5,24323057.0
KH-00441,CỬA HÀNG XE ĐẠP NGỌC ANH,Hà Tĩnh,Miền Trung,3,79.0,121261822.0,2026-01-24,2026-02-27,2,16,1534960.0,34,40420607.0
KH-00425,CỬA HÀNG XE ĐẠP MINH PHƯƠNG,Thanh Hóa,Miền Trung,2,72.0,121008860.0,2026-01-23,2026-02-05,4,37,1680679.0,13,60504430.0
KH-00529,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Nghệ An,Miền Trung,1,75.0,120795166.0,2026-01-28,2026-01-28,2,27,1610602.0,0,120795166.0
KH-00353,CỬA HÀNG XE ĐẠP THANH BÌNH,Hà Nội,Miền Bắc,4,73.0,120052383.0,2026-01-13,2026-02-26,3,28,1644553.0,44,30013096.0
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,2,105.0,119540000.0,2025-02-10,2025-03-31,5,47,1138476.0,49,59770000.0
KH-00396,CÔNG TY CỔ PHẦN VIỆT ANH,Bắc Ninh,Miền Bắc,2,82.0,119042822.0,2026-01-19,2026-02-13,3,19,1451742.0,25,59521411.0
KH-00251,HỘ KINH DOANH KHẢI HOÀN,Hưng Yên,Miền Bắc,3,109.0,119020000.0,2025-03-22,2025-03-28,3,24,1091927.0,6,39673333.0
KH-00476,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Hưng Yên,Miền Bắc,3,80.0,118397370.0,2026-01-26,2026-02-24,3,22,1479967.0,29,39465790.0
KH-00357,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Sầm Sơn,Miền Bắc,3,80.0,117056538.0,2026-01-13,2026-02-26,3,34,1463207.0,44,39018846.0
KH-00420,CÔNG TY CỔ PHẦN QUANG VINH,Đà Nẵng,Miền Trung,3,73.0,116915536.0,2026-01-23,2026-02-09,4,27,1601583.0,17,38971845.0
KH-00265,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,2,94.0,115376430.0,2025-03-24,2025-03-25,4,38,1227409.0,1,57688215.0
KH-00495,CÔNG TY CỔ PHẦN THƯƠNG MẠI HOÀ BÌNH,Hà Nội,Miền Bắc,3,65.0,113821086.0,2026-01-27,2026-02-27,2,24,1751094.0,31,37940362.0
KH-00568,DOANH NGHIỆP TW NGỌC ANH,TP Hải Phòng,Miền Bắc,2,72.0,113385524.0,2026-01-30,2026-02-24,3,21,1574799.0,25,56692762.0
KH-00483,HỘ KINH DOANH VẠN LỢI,Bắc Ninh,Miền Bắc,2,71.0,113284416.0,2026-01-27,2026-02-27,2,27,1595555.0,31,56642208.0
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,4,102.0,112430000.0,2025-02-17,2025-03-25,4,36,1102255.0,36,28107500.0
KH-00403,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,Thanh Hóa,Miền Trung,2,74.0,112403036.0,2026-01-22,2026-02-26,2,17,1518960.0,35,56201518.0
KH-00427,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Hà Nội,Miền Bắc,1,50.0,110648148.0,2026-01-24,2026-01-24,1,1,2212963.0,0,110648148.0
KH-00086,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,3,95.0,110019361.0,2025-02-14,2025-03-24,4,35,1158099.0,38,36673120.0
KH-00363,HỘ KINH DOANH ĐẠI LỢI,Hải Phòng,Miền Bắc,3,64.0,109147287.0,2026-01-16,2026-01-28,4,24,1705426.0,12,36382429.0
KH-00141,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN TIẾN,Hải Phòng,Miền Bắc,1,120.0,108820000.0,2025-02-22,2025-02-22,3,40,906833.0,0,108820000.0
KH-00231,CÔNG TY CỔ PHẦN THANH BÌNH,Hưng Yên,Miền Bắc,3,92.0,107772500.0,2025-03-21,2025-03-27,5,38,1171440.0,6,35924167.0
KH-00347,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Vĩnh Phúc,Miền Bắc,3,68.0,107256459.0,2026-01-12,2026-02-26,2,25,1577301.0,45,35752153.0
KH-00551,CÔNG TY CỔ PHẦN THƯƠNG MẠI SÁN LẠP,Phú Thọ,Miền Bắc,2,54.0,106954977.0,2026-01-29,2026-02-04,3,25,1980648.0,6,53477488.0
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,2,86.0,106679035.0,2025-01-20,2025-02-21,2,21,1240454.0,32,53339518.0
KH-00486,CÔNG TY TNHH VẠN LỢI,Bắc Ninh,Miền Bắc,2,59.0,106184231.0,2026-01-27,2026-02-12,2,16,1799733.0,16,53092116.0
KH-00126,HỘ KINH DOANH HOÀ BÌNH,Thanh Hoá,Miền Trung,3,97.0,106170000.0,2025-02-20,2025-03-24,4,30,1094536.0,32,35390000.0
KH-00497,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,Hưng Yên,Miền Bắc,3,68.0,105593859.0,2026-01-27,2026-02-10,2,18,1552851.0,14,35197953.0
KH-00207,CỬA HÀNG XE ĐẠP VẠN LỢI,Bắc Giang,Miền Bắc,3,65.0,101357296.0,2025-03-20,2025-03-29,4,23,1559343.0,9,33785765.0
KH-00393,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,Thanh Hóa,Miền Trung,2,60.0,101101636.0,2026-01-19,2026-01-28,2,40,1685027.0,9,50550818.0
KH-00447,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hà Nội,Miền Bắc,3,61.0,100676644.0,2026-01-24,2026-02-26,3,33,1650437.0,33,33558881.0
KH-00248,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Nghệ An,Miền Trung,2,73.0,100482859.0,2025-03-22,2025-03-28,4,27,1376478.0,6,50241430.0
KH-00405,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Thanh Hóa,Miền Trung,1,56.0,100248865.0,2026-01-22,2026-01-22,3,20,1790158.0,0,100248865.0
KH-00489,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phủ Lý,Miền Bắc,3,61.0,100172198.0,2026-01-27,2026-02-27,1,23,1642167.0,31,33390733.0
