customer_code,customer_name,province_name,region,segment,tong_dt,so_don,recency,rank_dt,cumul_dt,cumul_pct,pareto_group
KH-00217,DOANH NGHIỆP TW ĐẠI DƯƠNG,Thái Bình,Miền Bắc,Champions,428521619.0,8,5,19,21691299761.0,33.72,Top 50%
KH-00463,CÔNG TY TNHH THƯƠNG MẠI YÊN BÌNH,Hà Nội,Miền Bắc,Champions,420589919.0,5,16,20,22111889680.0,34.37,Top 50%
KH-00415,DOANH NGHIỆP TW KHẢI HOÀN,Thanh Hóa,Miền Trung,Champions,408331186.0,5,3,21,22520220866.0,35.01,Top 50%
KH-00553,CÔNG TY CỔ PHẦN SƠN HÀ,Hà Nội,Miền Bắc,Champions,378472401.0,7,2,22,22898693267.0,35.6,Top 50%
KH-00349,HỘ KINH DOANH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,Champions,370238430.0,5,3,23,23268931697.0,36.17,Top 50%
KH-00402,CÔNG TY CỔ PHẦN ĐẠI LỢI,Hà Nội,Miền Bắc,Champions,369750882.0,6,5,24,23638682579.0,36.75,Top 50%
KH-00342,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,Champions,368069456.0,5,3,25,24006752035.0,37.32,Top 50%
KH-00364,DOANH NGHIỆP TW XUÂN MAI,TP Hải Phòng,Miền Bắc,Champions,367860667.0,4,2,26,24374612702.0,37.89,Top 50%
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,Có tiềm năng,367627614.0,7,34,27,24742240316.0,38.46,Top 50%
KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,Nguy cơ rời bỏ,363062500.0,6,338,28,25105302816.0,39.03,Top 50%
KH-00169,CÔNG TY TNHH THƯƠNG MẠI VĨNH PHÁT,Ninh Bình,Miền Bắc,Champions,361208822.0,5,16,29,25466511638.0,39.59,Top 50%
KH-00172,CỬA HÀNG XE ĐẠP XÂY DỰNG,Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,Champions,352444443.0,3,1,30,25818956081.0,40.14,Top 50%
KH-00359,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,Champions,343228527.0,8,2,31,26162184608.0,40.67,Top 50%
KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,Nguy cơ rời bỏ,341650000.0,4,338,32,26503834608.0,41.2,Top 50%
KH-00387,CÔNG TY CỔ PHẦN THANH BÌNH,Bắc Ninh,Miền Bắc,Champions,337372776.0,2,19,33,26841207384.0,41.73,Top 50%
KH-00181,CÔNG TY TNHH LONG PHÚ,Thừa Thiên Huế,Miền Trung,Loyal,331016209.0,3,20,34,27172223593.0,42.24,Top 50%
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,Champions,329280658.0,7,3,35,27501504251.0,42.75,Top 50%
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,Loyal,320339548.0,7,22,36,27821843799.0,43.25,Top 50%
KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,Không thể mất,302480000.0,3,348,37,28124323799.0,43.72,Top 50%
KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,Loyal,301886045.0,17,29,38,28426209844.0,44.19,Top 50%
KH-00386,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hà Nam,Miền Bắc,Champions,298647705.0,4,16,39,28724857549.0,44.65,Top 50%
KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,Nguy cơ rời bỏ,293400000.0,3,337,40,29018257549.0,45.11,Top 50%
KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,Champions,292164832.0,3,17,41,29310422381.0,45.56,Top 50%
KH-00491,CÔNG TY TNHH PHÚC AN,Vinh,Miền Bắc,Loyal,283026601.0,2,32,42,29593448982.0,46.0,Top 50%
KH-00374,CÔNG TY CỔ PHẦN XÂY DỰNG,Hưng Yên,Miền Bắc,Champions,273669448.0,5,2,43,29867118430.0,46.43,Top 50%
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,Champions,270234859.0,6,17,44,30137353289.0,46.85,Top 50%
KH-00157,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Hà Nội,Miền Bắc,Champions,252138899.0,52,1,45,30389492188.0,47.24,Top 50%
KH-00423,DOANH NGHIỆP TW THIÊN AN,Bắc Giang,Miền Bắc,Champions,248468641.0,5,2,46,30637960829.0,47.63,Top 50%
KH-00334,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,Có tiềm năng,244805554.0,2,54,47,30882766383.0,48.01,Top 50%
KH-00193,CÔNG TY TNHH TÚ ANH,Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,Có tiềm năng,244765884.0,4,335,48,31127532267.0,48.39,Top 50%
KH-00219,CÔNG TY CỔ PHẦN THƯƠNG MẠI PHÚ THỊNH,Ninh Bình,Miền Bắc,Loyal,239920519.0,5,23,49,31367452786.0,48.76,Top 50%
KH-00277,CÔNG TY CỔ PHẦN THƯƠNG MẠI VĨNH PHÁT,Vinh,Miền Bắc,Nguy cơ rời bỏ,232490000.0,2,341,50,31599942786.0,49.12,Top 50%
KH-00194,CỬA HÀNG XE ĐẠP SÁN LẠP,Hà Nội,Miền Bắc,Champions,227427256.0,3,17,51,31827370042.0,49.48,Top 50%
KH-00426,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Thái Nguyên,Miền Bắc,Champions,227020711.0,3,2,52,32054390753.0,49.83,Top 50%
KH-00453,CÔNG TY TNHH YÊN BÌNH,Ninh Bình,Miền Bắc,Champions,226995509.0,4,3,53,32281386262.0,50.18,50-80%
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,Nguy cơ rời bỏ,226215286.0,3,341,54,32507601548.0,50.53,50-80%
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,Loyal,222053507.0,10,25,55,32729655055.0,50.88,50-80%
KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,Trung bình,214953705.0,2,40,56,32944608760.0,51.21,50-80%
KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,Có tiềm năng,213946302.0,9,335,57,33158555062.0,51.55,50-80%
KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,Champions,212673064.0,6,18,58,33371228126.0,51.88,50-80%
KH-00404,HỘ KINH DOANH PHÚ THỊNH,Thanh Hóa,Miền Trung,Champions,211169406.0,5,2,59,33582397532.0,52.2,50-80%
KH-00488,CÔNG TY TNHH TRƯỜNG THỊNH,Ninh Bình,Miền Bắc,Champions,203177562.0,5,2,60,33785575094.0,52.52,50-80%
KH-00377,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,Champions,202712911.0,3,17,61,33988288005.0,52.84,50-80%
KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,Champions,200660317.0,8,17,62,34188948322.0,53.15,50-80%
KH-00385,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Hải Dương,Miền Bắc,Champions,200372170.0,4,2,63,34389320492.0,53.46,50-80%
KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,Có tiềm năng,199350113.0,8,335,64,34588670605.0,53.77,50-80%
KH-00605,CÔNG TY CỔ PHẦN VĨNH PHÁT,TP Hải Phòng,Miền Bắc,Champions,197154205.0,12,5,65,34785824810.0,54.08,50-80%
KH-00133,DOANH NGHIỆP TW YÊN BÌNH,Thanh Hoá,Miền Trung,Champions,193706159.0,7,2,66,34979530969.0,54.38,50-80%
KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,Có tiềm năng,191180000.0,5,335,67,35170710969.0,54.67,50-80%
KH-00360,CÔNG TY TNHH THƯƠNG MẠI LONG PHÚ,Thanh Hóa,Miền Trung,Có tiềm năng,191129200.0,2,36,68,35361840169.0,54.97,50-80%
KH-00487,DOANH NGHIỆP TW TRƯỜNG THỊNH,Bắc Ninh,Miền Bắc,Champions,188365334.0,3,16,69,35550205503.0,55.26,50-80%
KH-00584,CÔNG TY TNHH CHI THÀNH,Hà Nội,Miền Bắc,Champions,187949942.0,4,2,70,35738155445.0,55.56,50-80%
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,Loyal,187130528.0,17,32,71,35925285973.0,55.85,50-80%
KH-00161,CÔNG TY TNHH THIÊN AN,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,182845338.0,3,339,72,36108131311.0,56.13,50-80%
KH-00180,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Thanh Hoá,Miền Trung,Champions,182675520.0,4,3,73,36290806831.0,56.42,50-80%
KH-00458,HỘ KINH DOANH VẠN LỢI,Hà Tĩnh,Miền Trung,Champions,182444860.0,3,5,74,36473251691.0,56.7,50-80%
KH-00350,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,Champions,180163850.0,3,16,75,36653415541.0,56.98,50-80%
KH-00414,HỘ KINH DOANH ĐẠI LỢI,Hà Nội,Miền Bắc,Champions,179998377.0,4,17,76,36833413918.0,57.26,50-80%
KH-00594,DOANH NGHIỆP TW LONG PHÚ,Nghệ An,Miền Trung,Loyal,171441583.0,2,25,77,37004855501.0,57.53,50-80%
KH-00380,DOANH NGHIỆP TW HÙNG CƯỜNG,Ninh Bình,Miền Bắc,Champions,171279116.0,5,3,78,37176134617.0,57.79,50-80%
KH-00198,CÔNG TY TNHH TRÍ ĐỨC,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,161705220.0,4,341,79,37337839837.0,58.04,50-80%
KH-00383,HỘ KINH DOANH VẠN LỢI,Ninh Bình,Miền Bắc,Champions,159137735.0,3,17,80,37496977572.0,58.29,50-80%
KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,Có tiềm năng,158743324.0,4,41,81,37655720896.0,58.54,50-80%
KH-00343,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hóa,Miền Trung,Champions,157208843.0,2,16,82,37812929739.0,58.78,50-80%
KH-00519,CÔNG TY CỔ PHẦN XUÂN MAI,Hưng Yên,Miền Bắc,Champions,155462755.0,3,2,83,37968392494.0,59.02,50-80%
KH-00428,CỬA HÀNG XE ĐẠP NAM TIẾN,Quảng Ninh,Miền Bắc,Champions,155356897.0,2,5,84,38123749391.0,59.26,50-80%
KH-00168,DOANH NGHIỆP TW ĐẠI LỢI,Hà Nội,Miền Bắc,Loyal,155338390.0,4,25,85,38279087781.0,59.51,50-80%
KH-00586,CÔNG TY CỔ PHẦN THƯƠNG MẠI MINH PHƯƠNG,Phú Thọ,Miền Bắc,Loyal,152828578.0,1,29,86,38431916359.0,59.74,50-80%
KH-00256,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,Có tiềm năng,151660000.0,6,335,87,38583576359.0,59.98,50-80%
KH-00557,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,Champions,146904319.0,4,2,88,38730480678.0,60.21,50-80%
KH-00419,DOANH NGHIỆP TW ĐẠI DƯƠNG,Hà Nội,Miền Bắc,Loyal,146841073.0,3,25,89,38877321751.0,60.44,50-80%
KH-00197,CÔNG TY TNHH THƯƠNG MẠI MINH PHƯƠNG,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,143952962.0,2,345,90,39021274713.0,60.66,50-80%
KH-00410,CỬA HÀNG XE ĐẠP NAM TIẾN,Nghệ An,Miền Trung,Có tiềm năng,142988859.0,2,36,91,39164263572.0,60.88,50-80%
KH-00167,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,Hà Nội,Miền Bắc,Champions,142484618.0,5,16,92,39306748190.0,61.1,50-80%
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,Ngủ đông,141400000.0,2,347,93,39448148190.0,61.32,50-80%
KH-00155,DOANH NGHIỆP TW HÙNG CƯỜNG,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,140009520.0,4,338,94,39588157710.0,61.54,50-80%
KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ A,Miền Bắc,Đã mất,138392643.0,1,380,95,39726550353.0,61.76,50-80%
KH-00536,CỬA HÀNG XE ĐẠP LONG PHÚ,Hà Nội,Miền Bắc,Loyal,135639972.0,1,32,96,39862190325.0,61.97,50-80%
KH-00564,CỬA HÀNG XE ĐẠP SÁN LẠP,Thái Bình,Miền Bắc,Loyal,132364973.0,3,24,97,39994555298.0,62.17,50-80%
KH-00264,DOANH NGHIỆP TW NGỌC ANH,Thanh Hoá,Miền Trung,Nguy cơ rời bỏ,131871676.0,3,341,98,40126426974.0,62.38,50-80%
KH-00505,CÔNG TY CỔ PHẦN TÚ ANH,Nghệ An,Miền Trung,Champions,130865894.0,3,2,99,40257292868.0,62.58,50-80%
KH-00151,CÔNG TY TNHH LÊ ANH,Hà Tĩnh,Miền Trung,Ngủ đông,130261924.0,2,346,100,40387554792.0,62.78,50-80%
KH-00382,CÔNG TY TNHH LÊ ANH,Ninh Bình,Miền Bắc,Champions,130206084.0,4,5,101,40517760876.0,62.99,50-80%
KH-00408,CÔNG TY CỔ PHẦN MINH PHƯƠNG,Thanh Hóa,Miền Trung,Loyal,129384237.0,3,23,102,40647145113.0,63.19,50-80%
KH-00484,CÔNG TY CỔ PHẦN THƯƠNG MẠI HOÀ BÌNH,Bắc Ninh,Miền Bắc,Champions,128189783.0,2,3,103,40775334896.0,63.39,50-80%
KH-00558,CÔNG TY CỔ PHẦN THƯƠNG MẠI SƠN HÀ,Hà Nội,Miền Bắc,Loyal,127875525.0,5,29,104,40903210421.0,63.59,50-80%
KH-00247,HỘ KINH DOANH NGỌC ANH,Hưng Yên,Miền Bắc,Trung bình,126890000.0,1,344,105,41030100421.0,63.78,50-80%
KH-00477,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,Champions,126257935.0,2,3,106,41156358356.0,63.98,50-80%
KH-00444,CÔNG TY TNHH THƯƠNG MẠI SÁN LẠP,Hà Nội,Miền Bắc,Champions,125997747.0,2,2,107,41282356103.0,64.17,50-80%
KH-00469,CỬA HÀNG XE ĐẠP HOÀ BÌNH,Nghệ An,Miền Trung,Champions,125293492.0,2,2,108,41407649595.0,64.37,50-80%
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,Champions,125206740.0,5,3,109,41532856335.0,64.56,50-80%
KH-00466,HỘ KINH DOANH HÙNG CƯỜNG,Quảng Ninh,Miền Bắc,Champions,124908761.0,2,5,110,41657765096.0,64.76,50-80%
KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,Đã mất,124583332.0,1,414,111,41782348428.0,64.95,50-80%
KH-00139,HỘ KINH DOANH YÊN BÌNH,Hà Nội,Miền Bắc,Có tiềm năng,124298146.0,3,335,112,41906646574.0,65.15,50-80%
KH-00390,HỘ KINH DOANH ĐẠI LỢI,Hà Nội,Miền Bắc,Champions,123865987.0,2,16,113,42030512561.0,65.34,50-80%
KH-00208,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,121615286.0,5,341,114,42152127847.0,65.53,50-80%
KH-00441,CỬA HÀNG XE ĐẠP NGỌC ANH,Hà Tĩnh,Miền Trung,Champions,121261822.0,3,2,115,42273389669.0,65.72,50-80%
KH-00425,CỬA HÀNG XE ĐẠP MINH PHƯƠNG,Thanh Hóa,Miền Trung,Loyal,121008860.0,2,24,116,42394398529.0,65.9,50-80%
KH-00529,CÔNG TY CỔ PHẦN THƯƠNG MẠI THIÊN AN,Nghệ An,Miền Trung,Trung bình,120795166.0,1,32,117,42515193695.0,66.09,50-80%
KH-00353,CỬA HÀNG XE ĐẠP THANH BÌNH,Hà Nội,Miền Bắc,Champions,120052383.0,4,3,118,42635246078.0,66.28,50-80%
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,Trung bình,119540000.0,2,335,119,42754786078.0,66.46,50-80%
KH-00396,CÔNG TY CỔ PHẦN VIỆT ANH,Bắc Ninh,Miền Bắc,Champions,119042822.0,2,16,120,42873828900.0,66.65,50-80%
KH-00251,HỘ KINH DOANH KHẢI HOÀN,Hưng Yên,Miền Bắc,Nguy cơ rời bỏ,119020000.0,3,338,121,42992848900.0,66.83,50-80%
KH-00476,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Hưng Yên,Miền Bắc,Champions,118397370.0,3,5,122,43111246270.0,67.02,50-80%
KH-00357,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Sầm Sơn,Miền Bắc,Champions,117056538.0,3,3,123,43228302808.0,67.2,50-80%
KH-00420,CÔNG TY CỔ PHẦN QUANG VINH,Đà Nẵng,Miền Trung,Loyal,116915536.0,3,20,124,43345218344.0,67.38,50-80%
KH-00265,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,Nguy cơ rời bỏ,115376430.0,2,341,125,43460594774.0,67.56,50-80%
KH-00495,CÔNG TY CỔ PHẦN THƯƠNG MẠI HOÀ BÌNH,Hà Nội,Miền Bắc,Champions,113821086.0,3,2,126,43574415860.0,67.74,50-80%
KH-00568,DOANH NGHIỆP TW NGỌC ANH,TP Hải Phòng,Miền Bắc,Champions,113385524.0,2,5,127,43687801384.0,67.91,50-80%
KH-00483,HỘ KINH DOANH VẠN LỢI,Bắc Ninh,Miền Bắc,Champions,113284416.0,2,2,128,43801085800.0,68.09,50-80%
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,112430000.0,4,341,129,43913515800.0,68.26,50-80%
KH-00403,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,Thanh Hóa,Miền Trung,Champions,112403036.0,2,3,130,44025918836.0,68.44,50-80%
KH-00427,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Hà Nội,Miền Bắc,Trung bình,110648148.0,1,36,131,44136566984.0,68.61,50-80%
KH-00086,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,110019361.0,3,342,132,44246586345.0,68.78,50-80%
KH-00363,HỘ KINH DOANH ĐẠI LỢI,Hải Phòng,Miền Bắc,Loyal,109147287.0,3,32,133,44355733632.0,68.95,50-80%
KH-00141,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÂN TIẾN,Hải Phòng,Miền Bắc,Đã mất,108820000.0,1,372,134,44464553632.0,69.12,50-80%
KH-00231,CÔNG TY CỔ PHẦN THANH BÌNH,Hưng Yên,Miền Bắc,Nguy cơ rời bỏ,107772500.0,3,339,135,44572326132.0,69.29,50-80%
KH-00347,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Vĩnh Phúc,Miền Bắc,Champions,107256459.0,3,3,136,44679582591.0,69.46,50-80%
KH-00551,CÔNG TY CỔ PHẦN THƯƠNG MẠI SÁN LẠP,Phú Thọ,Miền Bắc,Loyal,106954977.0,2,25,137,44786537568.0,69.62,50-80%
KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,Ngủ đông,106679035.0,2,373,138,44893216603.0,69.79,50-80%
KH-00486,CÔNG TY TNHH VẠN LỢI,Bắc Ninh,Miền Bắc,Champions,106184231.0,2,17,139,44999400834.0,69.95,50-80%
KH-00126,HỘ KINH DOANH HOÀ BÌNH,Thanh Hoá,Miền Trung,Nguy cơ rời bỏ,106170000.0,3,342,140,45105570834.0,70.12,50-80%
KH-00497,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,Hưng Yên,Miền Bắc,Champions,105593859.0,3,19,141,45211164693.0,70.28,50-80%
KH-00207,CỬA HÀNG XE ĐẠP VẠN LỢI,Bắc Giang,Miền Bắc,Nguy cơ rời bỏ,101357296.0,3,337,142,45312521989.0,70.44,50-80%
KH-00393,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,Thanh Hóa,Miền Trung,Loyal,101101636.0,2,32,143,45413623625.0,70.6,50-80%
KH-00447,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hà Nội,Miền Bắc,Champions,100676644.0,3,3,144,45514300269.0,70.75,50-80%
KH-00248,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Nghệ An,Miền Trung,Nguy cơ rời bỏ,100482859.0,2,338,145,45614783128.0,70.91,50-80%
KH-00405,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Thanh Hóa,Miền Trung,Trung bình,100248865.0,1,38,146,45715031993.0,71.07,50-80%
KH-00489,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phủ Lý,Miền Bắc,Champions,100172198.0,3,2,147,45815204191.0,71.22,50-80%
KH-00212,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,99322643.0,4,344,148,45914526834.0,71.38,50-80%
KH-00140,CÔNG TY TNHH XÂY DỰNG,Hải Dương,Miền Bắc,Nguy cơ rời bỏ,98910000.0,3,345,149,46013436834.0,71.53,50-80%
KH-00565,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,Hải Phòng,Miền Bắc,Loyal,98196457.0,1,30,150,46111633291.0,71.68,50-80%
KH-00513,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐÔNG NAM,Hà Nội,Miền Bắc,Champions,98181923.0,3,19,151,46209815214.0,71.83,50-80%
KH-00356,CÔNG TY TNHH THƯƠNG MẠI QUANG VINH,Thanh Hóa,Miền Trung,Loyal,96440808.0,2,32,152,46306256022.0,71.98,50-80%
KH-00499,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Hưng Yên,Miền Bắc,Trung bình,96427756.0,1,33,153,46402683778.0,72.13,50-80%
KH-00298,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐÔNG NAM,Hà Nội,Miền Bắc,Nguy cơ rời bỏ,96307574.0,2,338,154,46498991352.0,72.28,50-80%
KH-00250,DOANH NGHIỆP TW XUÂN MAI,Hà Nội,Miền Bắc,Có tiềm năng,95971481.0,4,335,155,46594962833.0,72.43,50-80%
KH-00521,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Ninh Bình,Miền Bắc,Champions,94796087.0,2,17,156,46689758920.0,72.58,50-80%
KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,Nguy cơ rời bỏ,93910000.0,4,340,157,46783668920.0,72.73,50-80%
KH-00562,CÔNG TY CỔ PHẦN THƯƠNG MẠI NAM TIẾN,Hà Nội,Miền Bắc,Loyal,93588502.0,2,25,158,46877257422.0,72.87,50-80%
KH-00556,DOANH NGHIỆP TW THIÊN AN,Hà Nội,Miền Bắc,Champions,93325151.0,5,2,159,46970582573.0,73.02,50-80%
KH-00461,CÔNG TY TNHH THUỶ TIÊN,Hải Dương,Miền Bắc,Loyal,90740740.0,2,23,160,47061323313.0,73.16,50-80%
KH-00407,DOANH NGHIỆP TW LONG PHÚ,Đà Nẵng,Miền Trung,Champions,90396643.0,3,19,161,47151719956.0,73.3,50-80%
KH-00503,DOANH NGHIỆP TW PHÚ THỊNH,Hà Nội,Miền Bắc,Champions,89774988.0,2,3,162,47241494944.0,73.44,50-80%
KH-00152,HỘ KINH DOANH TRÍ ĐỨC,Nghệ An,Miền Trung,Có tiềm năng,89045116.0,3,335,163,47330540060.0,73.58,50-80%
KH-00009,CỬA HÀNG XE ĐẠP THIÊN AN,Hà Nội,Miền Bắc,Loyal,88888888.0,2,20,164,47419428948.0,73.71,50-80%
KH-00241,HỘ KINH DOANH PHÚ THỊNH,Thái Nguyên,Miền Bắc,Nguy cơ rời bỏ,88600000.0,2,341,165,47508028948.0,73.85,50-80%
