so_number,so_dong,so_sku_khac_nhau,so_nhom_sp,tong_sl,tong_tien,ngay_dat,ma_dai_ly,aov,ym,is_cross_sell
BH26.0606,11,11,0,39.0,102683313.0,2026-02-09,KH-00181,9334847.0,2026-02,0
BH26.0843,22,22,2,58.0,102644415.0,2026-02-26,KH-00658,4665655.0,2026-02,1
BH25.0330,34,34,3,87.0,101950000.0,2025-03-19,KH-00083,2998529.0,2025-03,1
BH26.0150,20,20,3,56.0,100248865.0,2026-01-22,KH-00405,5012443.0,2026-01,1
BH26.0002,4,4,2,70.0,99749999.0,2026-01-06,KH-00334,24937500.0,2026-01,1
BH26.0373,12,12,3,58.0,98625346.0,2026-01-28,KH-00366,8218779.0,2026-01,1
BH26.0144,27,25,3,59.0,98614425.0,2026-01-22,KH-00024,3652386.0,2026-01,1
BH26.0025,12,12,1,59.0,98596082.0,2026-01-12,KH-00350,8216340.0,2026-01,0
BH26.0298,9,7,1,61.0,98378862.0,2026-01-27,KH-00491,10930985.0,2026-01,0
BH26.0434,28,28,2,64.0,98196457.0,2026-01-30,KH-00565,3507016.0,2026-01,1
BH26.0713,31,24,3,60.0,97913309.0,2026-02-13,KH-00342,3158494.0,2026-02,1
BH26.0313,45,45,2,51.0,96427756.0,2026-01-27,KH-00499,2142839.0,2026-01,1
BH26.0583,29,18,1,56.0,95727208.0,2026-02-07,KH-00624,3300938.0,2026-02,0
BH26.0884,10,10,1,55.0,95455535.0,2026-02-27,KH-00553,9545554.0,2026-02,0
BH26.0823,18,16,3,60.0,95224982.0,2026-02-25,KH-00687,5290277.0,2026-02,1
BH25.0586,31,31,4,68.0,94268000.0,2025-03-27,KH-00075,3040903.0,2025-03,1
BH25.0365,18,18,2,79.0,93740000.0,2025-03-20,KH-00132,5207778.0,2025-03,1
BH25.0135,13,13,1,80.0,93690000.0,2025-02-17,KH-00098,7206923.0,2025-02,0
BH25.0248,12,12,3,54.0,93419538.0,2025-03-01,KH-00173,7784962.0,2025-03,1
BH26.0462,13,13,1,54.0,93409978.0,2026-01-31,KH-00169,7185383.0,2026-01,0
BH25.0643,28,28,4,78.0,93303006.0,2025-03-29,KH-00147,3332250.0,2025-03,1
BH26.0117,16,16,3,57.0,93184508.0,2026-01-19,KH-00396,5824032.0,2026-01,1
BH25.0510,6,6,2,56.0,92709244.0,2025-03-25,KH-00134,15451541.0,2025-03,1
BH26.0069,21,20,2,54.0,92652204.0,2026-01-16,KH-00364,4412010.0,2026-01,1
BH26.0838,26,26,2,59.0,92160534.0,2026-02-26,KH-00690,3544636.0,2026-02,1
BH26.0824,15,14,2,60.0,91918866.0,2026-02-25,KH-00624,6127924.0,2026-02,1
BH26.0158,9,9,2,55.0,91880535.0,2026-01-22,KH-00410,10208948.0,2026-01,1
BH25.0311,32,32,4,76.0,91470000.0,2025-03-19,KH-00065,2858438.0,2025-03,1
BH26.0852,27,24,3,60.0,90232015.0,2026-02-26,KH-00342,3341926.0,2026-02,1
BH25.0449,35,35,4,77.0,89710000.0,2025-03-24,KH-00065,2563143.0,2025-03,1
BH25.0241,24,24,3,77.0,89420000.0,2025-02-26,KH-00169,3725833.0,2025-02,1
BH25.0146,11,11,2,70.0,88360000.0,2025-02-19,KH-00106,8032727.0,2025-02,1
BH26.0523,16,16,2,50.0,88254980.0,2026-02-04,KH-00426,5515936.0,2026-02,1
BH26.0027,13,12,1,54.0,88007574.0,2026-01-12,KH-00352,6769813.0,2026-01,0
BH25.0350,20,20,3,55.0,87961924.0,2025-03-20,KH-00151,4398096.0,2025-03,1
BH25.0021,1,1,1,40.0,87037037.0,2025-01-11,KH-00021,87037037.0,2025-01,0
BH26.0502,20,20,2,46.0,86966648.0,2026-02-04,KH-00551,4348332.0,2026-02,1
BH26.0755,15,13,1,51.0,86467208.0,2026-02-13,KH-00463,5764481.0,2026-02,0
BH26.0737,32,32,3,63.0,86289695.0,2026-02-13,KH-00666,2696553.0,2026-02,1
BH25.0550,31,31,5,47.0,86224051.0,2025-03-26,KH-00161,2781421.0,2025-03,1
BH25.0417,30,29,4,77.0,85882962.0,2025-03-21,KH-00197,2862765.0,2025-03,1
BH26.0933,1,1,1,50.0,84722222.0,2026-02-28,KH-00172,84722222.0,2026-02,0
BH26.0318,8,7,2,47.0,84487214.0,2026-01-28,KH-00076,10560902.0,2026-01,1
BH26.0655,25,25,4,50.0,84404971.0,2026-02-11,KH-00646,3376199.0,2026-02,1
BH25.0289,17,17,5,41.0,84357777.0,2025-03-17,KH-00173,4962222.0,2025-03,1
BH26.0647,4,4,1,40.0,84074072.0,2026-02-11,KH-00641,21018518.0,2026-02,0
BH26.0285,24,24,2,52.0,83684423.0,2026-01-27,KH-00483,3486851.0,2026-01,1
BH26.0492,26,24,4,54.0,83676273.0,2026-02-04,KH-00168,3218318.0,2026-02,1
BH25.0479,31,31,2,70.0,83590000.0,2025-03-24,KH-00266,2696452.0,2025-03,1
BH26.0782,3,3,1,30.0,83274075.0,2026-02-24,KH-00019,27758025.0,2026-02,0
BH26.0259,12,11,1,51.0,83166655.0,2026-01-26,KH-00463,6930555.0,2026-01,0
BH26.0319,18,17,3,50.0,83015809.0,2026-01-28,KH-00181,4611989.0,2026-01,1
BH26.0300,19,16,1,50.0,83015536.0,2026-01-27,KH-00458,4369239.0,2026-01,0
BH26.0633,20,18,2,62.0,82732932.0,2026-02-10,KH-00349,4136647.0,2026-02,1
BH26.0152,21,21,2,50.0,82642778.0,2026-01-22,KH-00406,3935370.0,2026-01,1
BH26.0773,31,31,3,83.0,82540000.0,2026-02-23,KH-00091,2662581.0,2026-02,1
BH25.0029,14,14,3,48.0,82525463.0,2025-01-13,KH-00019,5894676.0,2025-01,1
BH25.0451,24,24,4,71.0,82460000.0,2025-03-24,KH-00193,3435833.0,2025-03,1
BH26.0724,17,13,2,53.0,82456644.0,2026-02-13,KH-00415,4850391.0,2026-02,1
BH26.0243,20,18,2,49.0,82253317.0,2026-01-24,KH-00455,4112666.0,2026-01,1
BH26.0780,3,3,2,42.0,81762592.0,2026-02-24,KH-00019,27254197.0,2026-02,1
BH26.0667,27,22,3,55.0,81484230.0,2026-02-12,KH-00018,3017934.0,2026-02,1
BH26.0675,21,20,2,50.0,81344610.0,2026-02-12,KH-00024,3873553.0,2026-02,1
BH26.0569,15,15,2,62.0,81211454.0,2026-02-07,KH-00010,5414097.0,2026-02,1
BH26.0495,4,4,0,26.0,80999999.0,2026-02-04,KH-00157,20250000.0,2026-02,0
BH25.0309,32,32,3,68.0,80740000.0,2025-03-19,KH-00065,2523125.0,2025-03,1
BH26.0825,35,35,3,76.0,80570000.0,2026-02-25,KH-00091,2302000.0,2026-02,1
BH25.0313,26,26,2,68.0,80386498.0,2025-03-19,KH-00193,3091788.0,2025-03,1
BH26.0474,16,15,2,51.0,80300542.0,2026-01-31,KH-00134,5018784.0,2026-01,1
BH26.0328,22,22,2,42.0,80052762.0,2026-01-28,KH-00349,3638762.0,2026-01,1
BH26.0735,27,27,2,46.0,79700538.0,2026-02-13,KH-00665,2951872.0,2026-02,1
BH25.0371,13,13,2,68.0,78680000.0,2025-03-20,KH-00057,6052308.0,2025-03,1
BH26.0666,11,11,1,45.0,78322761.0,2026-02-12,KH-00046,7120251.0,2026-02,0
BH26.0191,29,29,4,49.0,78216095.0,2026-01-23,KH-00425,2697107.0,2026-01,1
BH25.0106,21,21,3,60.0,78090000.0,2025-02-14,KH-00075,3718571.0,2025-02,1
BH26.0894,18,14,1,46.0,78068870.0,2026-02-27,KH-00495,4337159.0,2026-02,0
BH25.0489,5,5,3,30.0,77898332.0,2025-03-25,KH-00173,15579666.0,2025-03,1
BH26.0629,10,10,1,65.0,77455335.0,2026-02-10,KH-00379,7745534.0,2026-02,0
BH26.0031,30,30,3,45.0,77331372.0,2026-01-13,KH-00354,2577712.0,2026-01,1
BH26.0413,18,16,3,48.0,77016645.0,2026-01-29,KH-00386,4278702.0,2026-01,1
BH26.0603,10,10,4,44.0,76472407.0,2026-02-09,KH-00019,7647241.0,2026-02,1
BH26.0678,35,34,3,47.0,76427574.0,2026-02-12,KH-00377,2183645.0,2026-02,1
BH26.0284,23,22,2,46.0,76147943.0,2026-01-27,KH-00377,3310780.0,2026-01,1
BH26.0186,27,25,3,40.0,75644986.0,2026-01-23,KH-00421,2801666.0,2026-01,1
BH25.0590,26,26,5,43.0,75424072.0,2025-03-27,KH-00161,2900926.0,2025-03,1
BH26.0726,32,29,3,45.0,75352759.0,2026-02-13,KH-00390,2354774.0,2026-02,1
BH26.0145,24,18,2,42.0,75334150.0,2026-01-22,KH-00402,3138923.0,2026-01,1
BH26.0310,17,17,4,49.0,75275537.0,2026-01-27,KH-00374,4427973.0,2026-01,1
BH26.0784,4,4,1,28.0,75231853.0,2026-02-24,KH-00019,18807963.0,2026-02,0
BH25.0515,22,22,2,64.0,75190000.0,2025-03-25,KH-00217,3417727.0,2025-03,1
BH26.0057,2,2,1,26.0,74960927.0,2026-01-15,KH-00019,37480464.0,2026-01,0
BH26.0868,11,9,1,48.0,74542205.0,2026-02-26,KH-00453,6776564.0,2026-02,0
BH25.0183,16,16,2,59.0,74329035.0,2025-02-21,KH-00038,4645565.0,2025-02,1
BH26.0934,26,26,2,45.0,74234242.0,2026-02-28,KH-00702,2855163.0,2026-02,1
BH26.0676,14,12,1,46.0,73937759.0,2026-02-12,KH-00383,5281268.0,2026-02,0
BH25.0180,14,14,2,61.0,73740000.0,2025-02-20,KH-00132,5267143.0,2025-02,1
BH25.0195,34,34,3,50.0,73572860.0,2025-02-22,KH-00139,2163908.0,2025-02,1
BH26.0783,3,3,1,63.0,73342499.0,2026-02-24,KH-00019,24447500.0,2026-02,0
BH25.0370,14,14,1,63.0,73330000.0,2025-03-20,KH-00217,5237857.0,2025-03,0
BH26.0160,15,15,2,40.0,73304793.0,2026-01-22,KH-00027,4886986.0,2026-01,1
BH26.0785,7,7,3,53.0,73057315.0,2026-02-24,KH-00019,10436759.0,2026-02,1
BH26.0662,25,25,1,64.0,72601255.0,2026-02-12,KH-00194,2904050.0,2026-02,0
BH26.0111,8,8,3,49.0,72584440.0,2026-01-19,KH-00088,9073055.0,2026-01,1
BH26.0908,26,26,3,40.0,72564430.0,2026-02-27,KH-00469,2790940.0,2026-02,1
BH26.0162,15,12,1,42.0,72395541.0,2026-01-22,KH-00219,4826369.0,2026-01,0
BH26.0795,23,22,2,46.0,72031096.0,2026-02-24,KH-00680,3131787.0,2026-02,1
BH25.0038,1,1,1,60.0,72000000.0,2025-01-15,KH-00018,72000000.0,2025-01,0
BH26.0756,16,15,3,47.0,71912762.0,2026-02-13,KH-00169,4494548.0,2026-02,1
BH26.0541,6,6,1,46.0,71896645.0,2026-02-05,KH-00088,11982774.0,2026-02,0
BH25.0083,39,39,5,68.0,71840000.0,2025-02-10,KH-00062,1842051.0,2025-02,1
BH26.0115,17,17,1,45.0,71822204.0,2026-01-19,KH-00394,4224836.0,2026-01,0
BH26.0355,15,15,2,46.0,71704244.0,2026-01-28,KH-00520,4780283.0,2026-01,1
BH25.0030,15,15,4,41.0,71160834.0,2025-01-13,KH-00019,4744056.0,2025-01,1
BH25.0431,23,23,4,55.0,70953786.0,2025-03-22,KH-00248,3084947.0,2025-03,1
BH25.0199,14,14,1,60.0,70780000.0,2025-02-22,KH-00064,5055714.0,2025-02,0
BH25.0631,21,21,2,61.0,70640000.0,2025-03-28,KH-00314,3363810.0,2025-03,1
BH26.0912,5,4,1,43.0,70201657.0,2026-02-27,KH-00404,14040331.0,2026-02,0
BH26.0157,9,8,1,41.0,70166638.0,2026-01-22,KH-00385,7796293.0,2026-01,0
BH26.0654,29,29,3,47.0,69796832.0,2026-02-11,KH-00646,2406787.0,2026-02,1
BH26.0058,1,1,0,20.0,69727778.0,2026-01-15,KH-00019,69727778.0,2026-01,0
BH26.0053,1,1,0,20.0,69727778.0,2026-01-15,KH-00019,69727778.0,2026-01,0
BH26.0059,1,1,0,20.0,69727778.0,2026-01-15,KH-00019,69727778.0,2026-01,0
BH25.0140,6,6,1,60.0,69700000.0,2025-02-17,KH-00102,11616667.0,2025-02,0
BH25.0625,13,13,1,59.0,69440000.0,2025-03-28,KH-00132,5341538.0,2025-03,0
BH26.0882,28,22,2,44.0,69403870.0,2026-02-27,KH-00444,2478710.0,2026-02,1
BH26.0389,21,21,3,60.0,69100000.0,2026-01-28,KH-00091,3290476.0,2026-01,1
BH26.0288,15,12,2,36.0,69087021.0,2026-01-27,KH-00486,4605801.0,2026-01,1
BH26.0278,13,13,2,38.0,69020445.0,2026-01-26,KH-00477,5309265.0,2026-01,1
BH26.0078,11,11,2,37.0,68896093.0,2026-01-16,KH-00367,6263281.0,2026-01,1
BH25.0615,16,16,3,50.0,68880000.0,2025-03-28,KH-00064,4305000.0,2025-03,1
BH26.0757,9,7,1,39.0,68846094.0,2026-02-13,KH-00024,7649566.0,2026-02,0
BH26.0612,6,6,2,40.0,68781463.0,2026-02-09,KH-00423,11463577.0,2026-02,1
BH26.0428,12,11,1,38.0,68735540.0,2026-01-30,KH-00463,5727962.0,2026-01,0
BH26.0561,7,7,3,36.0,68715361.0,2026-02-06,KH-00408,9816480.0,2026-02,1
BH26.0804,13,12,2,45.0,68679428.0,2026-02-24,KH-00217,5283033.0,2026-02,1
BH26.0418,10,9,2,40.0,68628317.0,2026-01-29,KH-00557,6862832.0,2026-01,1
BH26.0810,17,17,3,46.0,68603868.0,2026-02-24,KH-00568,4035522.0,2026-02,1
BH26.0793,16,15,2,45.0,68568961.0,2026-02-24,KH-00466,4285560.0,2026-02,1
BH25.0322,20,20,3,52.0,68567405.0,2025-03-19,KH-00075,3428370.0,2025-03,1
BH26.0798,35,34,4,44.0,68428502.0,2026-02-24,KH-00338,1955100.0,2026-02,1
BH26.0049,4,4,1,24.0,68415926.0,2026-01-15,KH-00019,17103982.0,2026-01,0
BH26.0387,25,25,2,39.0,68250264.0,2026-01-28,KH-00538,2730011.0,2026-01,1
BH26.0563,2,2,1,30.0,68055555.0,2026-02-06,KH-00461,34027778.0,2026-02,0
BH26.0114,35,35,2,38.0,67906094.0,2026-01-19,KH-00393,1940174.0,2026-01,1
BH26.0743,13,9,2,51.0,67848217.0,2026-02-13,KH-00147,5219094.0,2026-02,1
BH26.0266,13,13,3,44.0,67682949.0,2026-01-26,KH-00007,5206381.0,2026-01,1
BH26.0879,10,9,1,40.0,67602202.0,2026-02-27,KH-00423,6760220.0,2026-02,0
BH26.0166,6,3,1,36.0,67516656.0,2026-01-22,KH-00076,11252776.0,2026-01,0
BH26.0650,27,27,3,42.0,67435354.0,2026-02-11,KH-00079,2497606.0,2026-02,1
BH26.0877,26,21,2,41.0,67236193.0,2026-02-27,KH-00696,2586007.0,2026-02,1
BH26.0179,10,10,4,32.0,67096944.0,2026-01-23,KH-00019,6709694.0,2026-01,1
BH26.0066,7,7,3,32.0,67061295.0,2026-01-15,KH-00019,9580185.0,2026-01,1
BH25.0485,17,17,5,32.0,67032778.0,2025-03-25,KH-00173,3943105.0,2025-03,1
BH26.0453,26,26,3,38.0,66969336.0,2026-01-31,KH-00577,2575744.0,2026-01,1
BH25.0323,28,28,5,59.0,66855229.0,2025-03-19,KH-00198,2387687.0,2025-03,1
BH26.0342,17,17,2,39.0,66789991.0,2026-01-28,KH-00513,3928823.0,2026-01,1
BH26.0178,5,5,1,26.0,66711945.0,2026-01-23,KH-00019,13342389.0,2026-01,0
BH25.0411,14,14,2,57.0,66650000.0,2025-03-21,KH-00057,4760714.0,2025-03,1
BH26.0874,18,17,2,41.0,66327206.0,2026-02-26,KH-00484,3684845.0,2026-02,1
BH26.0904,18,17,3,42.0,66312104.0,2026-02-27,KH-00553,3684006.0,2026-02,1
BH26.0257,21,21,3,57.0,66120000.0,2026-01-26,KH-00091,3148571.0,2026-01,1
BH26.0900,13,13,1,40.0,66049993.0,2026-02-27,KH-00519,5080769.0,2026-02,0
BH26.0685,24,24,2,45.0,65963408.0,2026-02-12,KH-00414,2748475.0,2026-02,1
BH26.0797,19,19,3,42.0,65442108.0,2026-02-24,KH-00458,3444321.0,2026-02,1
BH26.0472,35,33,3,39.0,65415539.0,2026-01-31,KH-00584,1869015.0,2026-01,1
BH26.0688,14,14,2,41.0,65398689.0,2026-02-12,KH-00386,4671335.0,2026-02,1
BH25.0144,14,14,3,50.0,65335286.0,2025-02-19,KH-00104,4666806.0,2025-02,1
BH25.0477,24,24,3,54.0,65262643.0,2025-03-24,KH-00265,2719277.0,2025-03,1
BH25.0206,22,22,3,53.0,64955042.0,2025-02-22,KH-00147,2952502.0,2025-02,1
BH25.0602,14,14,1,56.0,64940000.0,2025-03-28,KH-00301,4638571.0,2025-03,0
BH26.0433,22,22,2,32.0,64938322.0,2026-01-30,KH-00564,2951742.0,2026-01,1
BH25.0269,5,5,3,25.0,64915277.0,2025-03-13,KH-00173,12983055.0,2025-03,1
BH26.0584,15,14,2,40.0,64901093.0,2026-02-07,KH-00625,4326740.0,2026-02,1
BH26.0048,2,2,1,20.0,64737038.0,2026-01-15,KH-00019,32368519.0,2026-01,0
BH26.0542,18,18,2,35.0,64569432.0,2026-02-05,KH-00608,3587191.0,2026-02,1
BH26.0330,22,20,3,35.0,64177024.0,2026-01-28,KH-00505,2917137.0,2026-01,1
BH26.0148,13,13,2,43.0,64112490.0,2026-01-22,KH-00403,4931730.0,2026-01,1
BH26.0198,9,9,4,29.0,63845832.0,2026-01-24,KH-00019,7093981.0,2026-01,1
BH26.0244,15,12,2,45.0,63827764.0,2026-01-24,KH-00456,4255184.0,2026-01,1
BH25.0583,20,20,3,48.0,63562500.0,2025-03-27,KH-00231,3178125.0,2025-03,1
BH26.0044,4,4,2,24.0,63539259.0,2026-01-14,KH-00019,15884815.0,2026-01,1
BH26.0427,12,12,1,36.0,63440545.0,2026-01-30,KH-00560,5286712.0,2026-01,0
