customer_code,customer_name,product_code,product_name,color,tong_sl,tong_dt
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,17.0,25818977.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,8.0,12488885.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,3.0,4706664.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,10.0,13494440.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,5.0,7844440.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,7.0,11410000.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,10.0,14050000.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,5.0,8150000.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,2.0,3370370.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,2.0,3394444.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,11.0,19946663.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,10.0,18133330.0
KH-00007,CÔNG TY TNHH THƯƠNG MẠI ĐẠI LỢI,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,2.0,2600000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,10.0,10500000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,6.0,6300000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,4.0,4200000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,3.0,3600000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,1.0,1200000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,6.0,9193053.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,2.0,2400000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,1.0,1200000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,1.0,1250000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,1.0,1250000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,6.0,6780000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,11.0,16273980.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,5.0,5650000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,16.0,21060555.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,16.0,23255460.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,29.0,38595460.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,9.0,10620000.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,3.0,5439999.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,1.0,1813333.0
KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,3.0,4591665.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,4.0,4200000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,3.0,3150000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,2.0,2100000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,8.0,10000000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,2.0,2500000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,11.0,13746664.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,10.0,12177776.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,11.0,14185552.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,10.0,11800000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,13.0,15340000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,19.0,23770000.0
KH-00014,HỘ KINH DOANH LONG PHÚ,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,2.0,2360000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,4.0,5023332.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,2.0,2100000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,2.0,2648888.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,1.0,1183796.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,1.0,1183796.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,1.0,1544444.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,1.0,1605555.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,3.0,4816665.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,3.0,4253888.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,2.0,3137776.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,1.0,1130000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,6.0,8416111.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,3.0,3990000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,6.0,7952222.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,1.0,1180000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,7.0,10347221.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,3.0,3600000.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,2.0,3366666.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,5.0,8997220.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,4.0,6689999.0
KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,1.0,1200000.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,61.0,95244726.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,89.0,164345086.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,123.0,235898050.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,11.0,21096574.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,28.0,55896297.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,109.0,217596295.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,97.0,241359360.0
KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen,21.0,73214167.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,3.0,3150000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,1.0,1050000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,2.0,2100000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,2.0,2400000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,1.0,1200000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,3.0,3600000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,3.0,3750000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,4.0,5000000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,2.0,2260000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,1.0,1130000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,7.0,8710000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,1.0,1630000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,8.0,10340000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,4.0,4720000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,5.0,6497222.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,1.0,1813333.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,1.0,1250000.0
KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,3.0,3750000.0
KH-00023,CÔNG TY TNHH THANH BÌNH,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,49.0,63200926.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,1.0,1050000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,2.0,2100000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,2.0,2100000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,4.0,4767592.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,18.0,23902775.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,11.0,14566664.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,7.0,8750000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,6.0,7888888.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,4.0,5488888.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,3.0,4461110.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,3.0,4461110.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,3.0,3390000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,3.0,4706664.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,1.0,1130000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,10.0,14458333.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,8.0,10790000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,5.0,7208333.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,6.0,7683333.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,6.0,8194444.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,4.0,4800000.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,14.0,19286110.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,6.0,10838331.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,49.0,72349992.0
KH-00024,CÔNG TY TNHH MINH PHƯƠNG,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,52.0,66126666.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,4.0,4748888.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,3.0,3671110.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,4.0,5023332.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,8.0,10869443.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,2.0,2300000.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,7.0,9311110.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,3.0,3750000.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,2.0,3211110.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,6.0,9413328.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,6.0,9413328.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,5.0,8122222.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,4.0,5592222.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,2.0,3394444.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,2.0,3366666.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,1.0,1200000.0
KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,4.0,6177776.0
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,35.0,63194445.0
KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,40.0,72222222.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,4.0,5277498.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000125002023000,Xe đạp Thống Nhất Puppy 20 Kem,Kem,2.0,2642499.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,2.0,2367592.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,4.0,6026388.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,2.0,2876850.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,4.0,6040277.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,2.0,3127684.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,5.0,7800276.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,1.0,1568888.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,2.0,3237962.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,4.0,6475924.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,14.0,22698792.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,5.0,8103054.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,2.0,3380555.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,5.0,8437962.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,3.0,5051851.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,9.0,16223332.0
KH-00042,HỘ KINH DOANH MẶT TRỜI,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,1.0,1813333.0
