province_name,region,group_code,tong_dt,tong_sl,so_don,year
Hà Tĩnh,Miền Trung,SPORTBIKE_S,61036000.0,31.0,4,2025
Hòa Bình,Miền Bắc,CITYBIKE_P,47710000.0,40.0,4,2025
Hòa Bình,Miền Bắc,KIDBIKE_1,11100000.0,10.0,1,2025
Hòa Bình,Miền Bắc,KIDBIKE_2,3500000.0,7.0,2,2025
Hòa Bình,Miền Bắc,SPORTBIKE_A,4300000.0,2.0,1,2025
Hòa Bình,Miền Bắc,SPORTBIKE_S,2400000.0,2.0,1,2025
Hưng Yên,Miền Bắc,CITYBIKE_P,637638519.0,531.0,26,2025
Hưng Yên,Miền Bắc,KIDBIKE_1,179600000.0,161.0,19,2025
Hưng Yên,Miền Bắc,KIDBIKE_2,23400000.0,48.0,6,2025
Hưng Yên,Miền Bắc,SPORTBIKE_A,21490572.0,8.0,4,2025
Hưng Yên,Miền Bắc,SPORTBIKE_S,57140648.0,36.0,8,2025
Hưng yên,Miền Bắc,CITYBIKE_P,30340000.0,26.0,2,2025
Hưng yên,Miền Bắc,KIDBIKE_1,18150000.0,16.0,2,2025
Hạ Long,Miền Bắc,CITYBIKE_P,93856468.0,67.0,2,2025
Hạ Long,Miền Bắc,KIDBIKE_1,14100000.0,13.0,1,2025
Hạ Long,Miền Bắc,KIDBIKE_2,5500000.0,11.0,1,2025
Hạ Long,Miền Bắc,SPORTBIKE_S,5240000.0,4.0,1,2025
Hải Dươn,Miền Bắc,CITYBIKE_P,68710000.0,58.0,4,2025
Hải Dươn,Miền Bắc,KIDBIKE_1,8100000.0,7.0,2,2025
Hải Dươn,Miền Bắc,SPORTBIKE_A,3222643.0,1.0,1,2025
Hải Dươn,Miền Bắc,SPORTBIKE_S,2750000.0,2.0,2,2025
Hải Dương,Miền Bắc,CITYBIKE_P,305785556.0,256.0,15,2025
Hải Dương,Miền Bắc,KIDBIKE_1,54450000.0,51.0,10,2025
Hải Dương,Miền Bắc,KIDBIKE_2,16850000.0,34.0,7,2025
Hải Dương,Miền Bắc,SPORTBIKE_A,59748146.0,25.0,5,2025
Hải Dương,Miền Bắc,SPORTBIKE_S,34165500.0,24.0,7,2025
Hải Phòng,Miền Bắc,CITYBIKE_P,239025556.0,203.0,6,2025
Hải Phòng,Miền Bắc,KIDBIKE_1,22050000.0,19.0,4,2025
Hải Phòng,Miền Bắc,KIDBIKE_2,24260000.0,49.0,1,2025
Hội An,Miền Bắc,CITYBIKE_P,40550000.0,26.0,2,2025
Hội An,Miền Bắc,SPORTBIKE_A,12807000.0,5.0,1,2025
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,CITYBIKE_P,50880000.0,42.0,2,2025
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_1,7830000.0,7.0,1,2025
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,KIDBIKE_2,1500000.0,3.0,1,2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,CITYBIKE_P,283620000.0,239.0,6,2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_1,21050000.0,20.0,3,2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,KIDBIKE_2,1410000.0,3.0,1,2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_A,38607000.0,17.0,2,2025
Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,SPORTBIKE_S,18375500.0,11.0,3,2025
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,CITYBIKE_P,213457593.0,141.0,3,2025
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_1,17965278.0,15.0,1,2025
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_A,47088889.0,16.0,1,2025
Lạng Sơn,Miền Bắc,CITYBIKE_P,64410000.0,54.0,2,2025
Lạng Sơn,Miền Bắc,KIDBIKE_1,22500000.0,20.0,2,2025
Lạng Sơn,Miền Bắc,KIDBIKE_2,7880000.0,16.0,1,2025
Lạng Sơn,Miền Bắc,SPORTBIKE_A,12900000.0,6.0,2,2025
Lạng Sơn,Miền Bắc,SPORTBIKE_S,11850000.0,9.0,1,2025
Nam Định,Miền Bắc,CITYBIKE_P,745014074.0,616.0,14,2025
Nam Định,Miền Bắc,KIDBIKE_1,92550000.0,86.0,6,2025
Nam Định,Miền Bắc,KIDBIKE_2,25140000.0,51.0,2,2025
Nam Định,Miền Bắc,SPORTBIKE_A,47483081.0,19.0,6,2025
Nam Định,Miền Bắc,SPORTBIKE_S,1200000.0,1.0,1,2025
Nghệ A,Miền Bắc,CITYBIKE_P,75770000.0,63.0,1,2025
Nghệ A,Miền Bắc,KIDBIKE_1,59400000.0,51.0,1,2025
Nghệ A,Miền Bắc,SPORTBIKE_A,3222643.0,1.0,1,2025
Nghệ An,Miền Trung,CITYBIKE_P,883070000.0,747.0,20,2025
Nghệ An,Miền Trung,KIDBIKE_1,101900000.0,93.0,11,2025
Nghệ An,Miền Trung,KIDBIKE_2,8000000.0,16.0,4,2025
Nghệ An,Miền Trung,SPORTBIKE_A,44045502.0,17.0,5,2025
Nghệ An,Miền Trung,SPORTBIKE_S,6300000.0,5.0,2,2025
Ninh Bình,Miền Bắc,CITYBIKE_P,431720000.0,355.0,12,2025
Ninh Bình,Miền Bắc,KIDBIKE_1,70700000.0,65.0,9,2025
Ninh Bình,Miền Bắc,KIDBIKE_2,3440000.0,7.0,2,2025
Ninh Bình,Miền Bắc,SPORTBIKE_A,14400000.0,6.0,1,2025
Ninh Bình,Miền Bắc,SPORTBIKE_S,21100000.0,17.0,4,2025
Phú Quốc,Miền Bắc,KIDBIKE_1,48148140.0,20.0,1,2025
Phú Quốc,Miền Bắc,KIDBIKE_2,20833335.0,15.0,1,2025
Phú Quốc,Miền Bắc,SPORTBIKE_S,84722220.0,25.0,1,2025
Phú Thọ,Miền Bắc,CITYBIKE_P,223025556.0,189.0,11,2025
Phú Thọ,Miền Bắc,KIDBIKE_1,54450000.0,50.0,7,2025
Phú Thọ,Miền Bắc,KIDBIKE_2,6880000.0,14.0,2,2025
Phú Thọ,Miền Bắc,SPORTBIKE_A,36501143.0,16.0,4,2025
Phú Thọ,Miền Bắc,SPORTBIKE_S,29133500.0,22.0,5,2025
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,CITYBIKE_P,15600000.0,12.0,1,2025
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,KIDBIKE_2,500000.0,1.0,1,2025
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,SPORTBIKE_A,6450000.0,3.0,1,2025
Quảng Nam,Miền Trung,CITYBIKE_P,226044214.0,146.0,3,2025
Quảng Nam,Miền Trung,SPORTBIKE_A,28745833.0,7.0,2,2025
Quảng Ngãi,Miền Trung,CITYBIKE_P,7300000.0,6.0,1,2025
Quảng Ngãi,Miền Trung,KIDBIKE_1,3600000.0,3.0,1,2025
Quảng Ngãi,Miền Trung,KIDBIKE_2,3440000.0,7.0,1,2025
Quảng Ngãi,Miền Trung,SPORTBIKE_A,8600000.0,4.0,1,2025
Quảng Ninh,Miền Bắc,CITYBIKE_P,141320000.0,121.0,5,2025
Quảng Ninh,Miền Bắc,KIDBIKE_1,6900000.0,6.0,1,2025
Quảng Ninh,Miền Bắc,KIDBIKE_2,500000.0,1.0,1,2025
Quảng Ninh,Miền Bắc,SPORTBIKE_A,25357574.0,11.0,3,2025
Quảng Ninh,Miền Bắc,SPORTBIKE_S,11100000.0,9.0,3,2025
Quảng NinhSố,Miền Bắc,CITYBIKE_P,8070000.0,7.0,1,2025
Quảng NinhSố,Miền Bắc,KIDBIKE_1,4800000.0,4.0,1,2025
Quảng NinhSố,Miền Bắc,KIDBIKE_2,1000000.0,2.0,1,2025
Quảng Trị,Miền Trung,CITYBIKE_P,73560000.0,61.0,4,2025
Quảng Trị,Miền Trung,KIDBIKE_1,7350000.0,7.0,2,2025
Sơn La,Miền Bắc,CITYBIKE_P,2540000.0,2.0,1,2025
Sơn La,Miền Bắc,KIDBIKE_1,45350000.0,41.0,2,2025
Sơn La,Miền Bắc,SPORTBIKE_A,4300000.0,2.0,1,2025
TP Hưng Yên,Miền Bắc,CITYBIKE_P,16470000.0,14.0,1,2025
TP Hưng Yên,Miền Bắc,KIDBIKE_1,4200000.0,4.0,1,2025
TP Hưng Yên,Miền Bắc,SPORTBIKE_A,2150000.0,1.0,1,2025
TP Hưng Yên,Miền Bắc,SPORTBIKE_S,5158500.0,3.0,1,2025
TP Hải Dương,Miền Bắc,CITYBIKE_P,24000000.0,20.0,1,2025
TP Hải Phòng,Miền Bắc,CITYBIKE_P,28880000.0,24.0,2,2025
TP Hải Phòng,Miền Bắc,KIDBIKE_1,4200000.0,4.0,2,2025
TP Hải Phòng,Miền Bắc,KIDBIKE_2,4230000.0,9.0,2,2025
TP Hải Phòng,Miền Bắc,SPORTBIKE_A,7522643.0,3.0,1,2025
TP Đà Nẵng,Miền Bắc,CITYBIKE_P,20550000.0,17.0,3,2025
TP Đà Nẵng,Miền Bắc,KIDBIKE_1,6300000.0,6.0,2,2025
TP Đà Nẵng,Miền Bắc,SPORTBIKE_S,3800000.0,3.0,1,2025
TP. Hồ Chí Minh,Miền Nam,CITYBIKE_P,714798391.0,369.0,40,2025
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_1,137088519.0,80.0,11,2025
TP. Hồ Chí Minh,Miền Nam,KIDBIKE_2,339912270.0,303.0,35,2025
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_A,146428334.0,42.0,2,2025
TP. Hồ Chí Minh,Miền Nam,SPORTBIKE_S,245634165.0,93.0,17,2025
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,CITYBIKE_P,23350000.0,20.0,1,2025
Tam Kỳ,Miền Bắc,CITYBIKE_P,7950000.0,7.0,1,2025
Tam Kỳ,Miền Bắc,KIDBIKE_1,21300000.0,19.0,1,2025
Thanh Hoá,Miền Trung,CITYBIKE_P,670516297.0,554.0,26,2025
Thanh Hoá,Miền Trung,KIDBIKE_1,90090000.0,79.0,12,2025
Thanh Hoá,Miền Trung,KIDBIKE_2,21940000.0,44.0,6,2025
Thanh Hoá,Miền Trung,SPORTBIKE_A,6445286.0,2.0,1,2025
Thanh Hoá,Miền Trung,SPORTBIKE_S,53392500.0,37.0,8,2025
Thanh Hóa,Miền Trung,CITYBIKE_P,445303056.0,355.0,12,2025
Thanh Hóa,Miền Trung,KIDBIKE_1,47310185.0,37.0,6,2025
Thanh Hóa,Miền Trung,KIDBIKE_2,8168241.0,13.0,3,2025
Thanh Hóa,Miền Trung,SPORTBIKE_A,41309176.0,12.0,3,2025
Thanh Hóa,Miền Trung,SPORTBIKE_S,23641203.0,14.0,5,2025
Thái Bình,Miền Bắc,CITYBIKE_P,290780000.0,248.0,7,2025
Thái Bình,Miền Bắc,KIDBIKE_1,22050000.0,20.0,4,2025
Thái Bình,Miền Bắc,KIDBIKE_2,4000000.0,8.0,1,2025
Thái Nguyên,Miền Bắc,CITYBIKE_P,319246381.0,264.0,9,2025
Thái Nguyên,Miền Bắc,KIDBIKE_1,51000000.0,46.0,4,2025
Thái Nguyên,Miền Bắc,KIDBIKE_2,31154903.0,49.0,3,2025
Thái Nguyên,Miền Bắc,SPORTBIKE_A,28226509.0,10.0,4,2025
Thái Nguyên,Miền Bắc,SPORTBIKE_S,5200000.0,4.0,1,2025
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,CITYBIKE_P,43000000.0,35.0,2,2025
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,KIDBIKE_1,9750000.0,9.0,2,2025
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,SPORTBIKE_S,9000000.0,7.0,1,2025
Thủ Dầu Một,Miền Bắc,CITYBIKE_P,20750000.0,9.0,2,2025
Thừa Thiên Huế,Miền Trung,CITYBIKE_P,69176837.0,44.0,1,2025
Thừa Thiên Huế,Miền Trung,KIDBIKE_1,76140250.0,59.0,1,2025
Tuyên Quang,Miền Bắc,CITYBIKE_P,13140000.0,11.0,2,2025
Tuyên Quang,Miền Bắc,KIDBIKE_1,9180000.0,8.0,2,2025
Tuyên Quang,Miền Bắc,KIDBIKE_2,16850000.0,34.0,2,2025
Tuyên Quang,Miền Bắc,SPORTBIKE_A,14400000.0,6.0,1,2025
Tuyên Quang,Miền Bắc,SPORTBIKE_S,3900000.0,3.0,1,2025
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,CITYBIKE_P,17840000.0,15.0,1,2025
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,KIDBIKE_1,10660000.0,10.0,1,2025
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,KIDBIKE_2,1470000.0,3.0,1,2025
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,SPORTBIKE_S,12400000.0,10.0,1,2025
Tĩnh Thanh Hoá,Miền Bắc,CITYBIKE_P,40230000.0,33.0,1,2025
Tĩnh Thanh Hoá,Miền Bắc,KIDBIKE_1,5410000.0,5.0,1,2025
Tĩnh Thanh Hoá,Miền Bắc,KIDBIKE_2,5000000.0,10.0,1,2025
Tĩnh Thanh Hoá,Miền Bắc,SPORTBIKE_A,9667929.0,3.0,1,2025
Tỉnh Hòa Bình.,Miền Bắc,CITYBIKE_P,2546296.0,1.0,1,2025
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,CITYBIKE_P,17690000.0,15.0,1,2025
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,SPORTBIKE_A,3222643.0,1.0,1,2025
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,SPORTBIKE_S,2400000.0,2.0,1,2025
Uông Bí,Miền Bắc,CITYBIKE_P,3600000.0,3.0,1,2025
Uông Bí,Miền Bắc,KIDBIKE_1,4200000.0,4.0,1,2025
Uông Bí,Miền Bắc,KIDBIKE_2,5410000.0,11.0,1,2025
Uông Bí,Miền Bắc,SPORTBIKE_S,2750000.0,2.0,1,2025
Vinh,Miền Bắc,CITYBIKE_P,211490000.0,180.0,2,2025
Vinh,Miền Bắc,KIDBIKE_1,314400000.0,183.0,5,2025
Vĩnh Phúc,Miền Bắc,CITYBIKE_P,370848240.0,285.0,18,2025
Vĩnh Phúc,Miền Bắc,KIDBIKE_1,24150000.0,23.0,4,2025
Vĩnh Phúc,Miền Bắc,KIDBIKE_2,15520000.0,32.0,3,2025
Vĩnh Phúc,Miền Bắc,SPORTBIKE_A,32250000.0,15.0,3,2025
Vĩnh Phúc,Miền Bắc,SPORTBIKE_S,3900000.0,3.0,1,2025
Vĩnh Yên,Miền Bắc,CITYBIKE_P,14390000.0,12.0,2,2025
Vĩnh Yên,Miền Bắc,KIDBIKE_1,13650000.0,13.0,2,2025
Vĩnh Yên,Miền Bắc,KIDBIKE_2,500000.0,1.0,1,2025
Vĩnh Yên,Miền Bắc,SPORTBIKE_A,2150000.0,1.0,1,2025
Vĩnh Yên,Miền Bắc,SPORTBIKE_S,6578500.0,4.0,2,2025
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,CITYBIKE_P,91550000.0,77.0,2,2025
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,KIDBIKE_1,12300000.0,11.0,2,2025
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,KIDBIKE_2,1000000.0,2.0,1,2025
phố số 6 - Thị trấn Diêm Điền - Huyện Thái Thụy - Thái Bình.,Miền Bắc,SPORTBIKE_A,10526430.0,4.0,2,2025
Điện Biên,Miền Bắc,CITYBIKE_P,3440000.0,3.0,1,2025
Điện Biên,Miền Bắc,KIDBIKE_1,4200000.0,4.0,1,2025
Điện Biên,Miền Bắc,SPORTBIKE_A,4300000.0,2.0,1,2025
Điện Biên,Miền Bắc,SPORTBIKE_S,6700000.0,5.0,1,2025
Đà Nẵng,Miền Trung,CITYBIKE_P,106010000.0,88.0,7,2025
Đà Nẵng,Miền Trung,KIDBIKE_1,4200000.0,4.0,1,2025
Đà Nẵng,Miền Trung,SPORTBIKE_S,9040000.0,7.0,2,2025
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,CITYBIKE_P,195790500.0,161.0,4,2025
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,KIDBIKE_1,6020000.0,6.0,2,2025
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,KIDBIKE_2,2350000.0,5.0,1,2025
Đường Nguyễn Trải - P Ba Đình TP Thanh Hoá,Miền Bắc,SPORTBIKE_S,30400000.0,24.0,2,2025
Đường Trang Quan - Xã An Đồng - Huyện An Dương - Hải Phòng.,Miền Bắc,CITYBIKE_P,267722221.0,158.0,2,2025
Đắk Lắk,Miền Trung,CITYBIKE_P,4983333.0,2.0,1,2025
Đồng Hới,Miền Bắc,CITYBIKE_P,189836061.0,118.0,2,2025
Đồng Hới,Miền Bắc,KIDBIKE_1,20071753.0,15.0,2,2025
Bắc Giang,Miền Bắc,CITYBIKE_P,684822152.0,395.0,13,2026
Bắc Giang,Miền Bắc,KIDBIKE_1,30914990.0,24.0,5,2026
Bắc Giang,Miền Bắc,KIDBIKE_2,54126988.0,59.0,3,2026
Bắc Giang,Miền Bắc,SPORTBIKE_S,17471107.0,7.0,2,2026
Bắc Kạn,Miền Bắc,KIDBIKE_1,10595552.0,8.0,1,2026
Bắc Ninh,Miền Bắc,CITYBIKE_P,726581326.0,447.0,29,2026
Bắc Ninh,Miền Bắc,KIDBIKE_1,141943006.0,112.0,18,2026
Bắc Ninh,Miền Bắc,KIDBIKE_2,61850873.0,66.0,7,2026
Cao Bằng,Miền Bắc,CITYBIKE_P,6788888.0,4.0,1,2026
Cao Bằng,Miền Bắc,KIDBIKE_1,19627494.0,15.0,1,2026
Hà Nam,Miền Bắc,CITYBIKE_P,210762171.0,132.0,4,2026
Hà Nam,Miền Bắc,KIDBIKE_1,18233142.0,14.0,2,2026
Hà Nam,Miền Bắc,KIDBIKE_2,2702591.0,3.0,2,2026
Hà Nam,Miền Bắc,SPORTBIKE_S,5460000.0,2.0,1,2026
Hà Nội,Miền Bắc,CITYBIKE_P,5514102449.0,3514.0,243,2026
Hà Nội,Miền Bắc,KIDBIKE_1,1289376089.0,1074.0,140,2026
Hà Nội,Miền Bắc,KIDBIKE_2,524039418.0,630.0,100,2026
Hà Nội,Miền Bắc,SPORTBIKE_A,6400000.0,4.0,1,2026
Hà Nội,Miền Bắc,SPORTBIKE_S,183757016.0,91.0,35,2026
Hà Tĩnh,Miền Trung,CITYBIKE_P,366121582.0,227.0,12,2026
Hà Tĩnh,Miền Trung,KIDBIKE_1,92546915.0,73.0,9,2026
Hà Tĩnh,Miền Trung,KIDBIKE_2,10466102.0,11.0,2,2026
Hà Tĩnh,Miền Trung,SPORTBIKE_A,2664259.0,1.0,1,2026
Hòa Bình,Miền Bắc,CITYBIKE_P,39711103.0,25.0,2,2026
Hòa Bình,Miền Bắc,KIDBIKE_1,12541200.0,10.0,2,2026
Hòa Bình,Miền Bắc,KIDBIKE_2,896666.0,1.0,1,2026
Hòa Bình,Miền Bắc,SPORTBIKE_A,2664259.0,1.0,1,2026
Hưng Yên,Miền Bắc,CITYBIKE_P,1084687353.0,673.0,44,2026
Hưng Yên,Miền Bắc,KIDBIKE_1,199570030.0,154.0,25,2026
Hưng Yên,Miền Bắc,KIDBIKE_2,60369953.0,66.0,13,2026
Hưng Yên,Miền Bắc,SPORTBIKE_A,15985554.0,6.0,2,2026
Hưng Yên,Miền Bắc,SPORTBIKE_S,4237776.0,2.0,1,2026
Hải Dương,Miền Bắc,CITYBIKE_P,197872928.0,106.0,6,2026
Hải Dương,Miền Bắc,KIDBIKE_1,12893699.0,10.0,2,2026
Hải Dương,Miền Bắc,KIDBIKE_2,4719440.0,5.0,1,2026
Hải Phòng,Miền Bắc,CITYBIKE_P,252831606.0,155.0,10,2026
Hải Phòng,Miền Bắc,KIDBIKE_1,27788602.0,22.0,6,2026
Hải Phòng,Miền Bắc,KIDBIKE_2,13916655.0,15.0,4,2026
Hải Phòng,Miền Bắc,SPORTBIKE_S,13935552.0,6.0,2,2026
Lào Cai,Miền Bắc,CITYBIKE_P,14558886.0,9.0,4,2026
Lào Cai,Miền Bắc,KIDBIKE_1,38604152.0,29.0,5,2026
Lào Cai,Miền Bắc,KIDBIKE_2,21153870.0,23.0,3,2026
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,CITYBIKE_P,191304401.0,116.0,2,2026
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_1,42041846.0,37.0,2,2026
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,KIDBIKE_2,2361111.0,3.0,1,2026
Lê Hoàn - Thị trấn Thọ Xuân - Huyện Thọ Xuân - Thanh Hoá,Miền Bắc,SPORTBIKE_S,6356664.0,3.0,1,2026
Lạng Sơn,Miền Bắc,CITYBIKE_P,2361111.0,1.0,1,2026
Nghệ An,Miền Trung,CITYBIKE_P,1105479789.0,700.0,24,2026
Nghệ An,Miền Trung,KIDBIKE_1,121761262.0,100.0,13,2026
Nghệ An,Miền Trung,KIDBIKE_2,74752154.0,81.0,5,2026
Nghệ An,Miền Trung,SPORTBIKE_A,29306849.0,11.0,3,2026
Nghệ An,Miền Trung,SPORTBIKE_S,51347762.0,24.0,5,2026
Ninh Bình,Miền Bắc,CITYBIKE_P,2111168430.0,1324.0,46,2026
Ninh Bình,Miền Bắc,KIDBIKE_1,177220874.0,145.0,19,2026
Ninh Bình,Miền Bắc,KIDBIKE_2,30924419.0,34.0,8,2026
Ninh Bình,Miền Bắc,SPORTBIKE_A,7992777.0,3.0,1,2026
Ninh Bình,Miền Bắc,SPORTBIKE_S,6315000.0,3.0,1,2026
Phú Quốc,Miền Bắc,CITYBIKE_P,61250010.0,30.0,1,2026
Phú Thọ,Miền Bắc,CITYBIKE_P,302655489.0,187.0,22,2026
Phú Thọ,Miền Bắc,KIDBIKE_1,82318491.0,62.0,17,2026
Phú Thọ,Miền Bắc,KIDBIKE_2,16726096.0,18.0,4,2026
Phú Thọ,Miền Bắc,SPORTBIKE_S,50578880.0,23.0,6,2026
Phủ Lý,Miền Bắc,CITYBIKE_P,67874427.0,43.0,3,2026
Quảng Nam,Miền Trung,CITYBIKE_P,341703823.0,207.0,5,2026
Quảng Nam,Miền Trung,KIDBIKE_1,15893328.0,12.0,1,2026
Quảng Ngãi,Miền Trung,CITYBIKE_P,40919437.0,26.0,3,2026
Quảng Ngãi,Miền Trung,KIDBIKE_1,13333332.0,12.0,1,2026
Quảng Ninh,Miền Bắc,CITYBIKE_P,337181581.0,207.0,14,2026
Quảng Ninh,Miền Bắc,KIDBIKE_1,80911545.0,61.0,10,2026
Quảng Ninh,Miền Bắc,KIDBIKE_2,26888126.0,29.0,4,2026
Quảng Ninh,Miền Bắc,SPORTBIKE_S,29622768.0,14.0,5,2026
