province_name,region,so_dai_ly,so_don,tong_sl,tong_dt,so_sku,so_nhom_sp,ngay_dau,ngay_cuoi,dt_tb_dai_ly,dt_tb_don,rank_dt
Cao Bằng,Miền Bắc,1,1,39.0,68250264.0,25,2,2026-01-28,2026-01-28,68250264.0,68250264.0,47
Thân Nhân Trung - TT Bích Động - Việt Yên - Bắc Giang,Miền Bắc,1,2,51.0,61750000.0,12,3,2025-02-26,2025-03-21,61750000.0,30875000.0,48
Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,1,2,53.0,61441481.0,31,3,2025-02-19,2025-03-19,61441481.0,30720740.0,49
Tĩnh Thanh Hoá,Miền Bắc,1,1,51.0,60307929.0,22,4,2025-02-20,2025-02-20,60307929.0,60307929.0,50
Bắc Kạn,Miền Bắc,2,3,66.0,56455548.0,18,3,2025-03-21,2026-01-28,28227774.0,18818516.0,51
Hội An,Miền Bắc,2,2,31.0,53357000.0,10,2,2025-03-21,2025-03-21,26678500.0,26678500.0,52
Sơn La,Miền Bắc,2,2,45.0,52190000.0,13,3,2025-03-14,2025-03-21,26095000.0,26095000.0,53
Hưng yên,Miền Bắc,1,2,42.0,48490000.0,11,2,2025-02-19,2025-03-31,48490000.0,24245000.0,54
TP Huế,Miền Bắc,1,2,33.0,45522665.0,18,3,2026-01-30,2026-02-13,45522665.0,22761332.0,55
Vĩnh Yên,Miền Bắc,2,2,36.0,43308059.0,23,5,2025-02-22,2025-03-28,21654030.0,21654030.0,56
Tây Bình Cách - Xã Đông Xá - Huyện Đông Hưng - Thái Bình.,Miền Bắc,1,1,38.0,42370000.0,25,4,2025-02-22,2025-02-22,42370000.0,42370000.0,57
Cường Tráng - An Thịnh - Lương Tài - Bắc Ninh,Miền Bắc,1,1,31.0,38840000.0,20,4,2025-03-28,2025-03-28,38840000.0,38840000.0,58
Hà Nộ,Miền Bắc,1,1,30.0,34390000.0,19,2,2025-02-10,2025-02-10,34390000.0,34390000.0,59
Uông Bí,Miền Bắc,1,1,33.0,31677734.0,23,4,2025-03-20,2025-03-20,31677734.0,31677734.0,60
TP Hưng Yên,Miền Bắc,1,1,22.0,27978500.0,17,4,2025-03-29,2025-03-29,27978500.0,27978500.0,61
Hoà Bình,Miền Bắc,1,2,21.0,24742962.0,13,5,2025-03-17,2025-03-31,24742962.0,12371481.0,62
TP Hải Dương,Miền Bắc,1,1,20.0,24000000.0,4,1,2025-02-10,2025-02-10,24000000.0,24000000.0,63
TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,1,1,20.0,23350000.0,6,1,2025-01-10,2025-01-10,23350000.0,23350000.0,64
Tổ 1 - Phường Mường Thanh - TP Điện Biên Phủ,Miền Bắc,1,1,18.0,23312643.0,10,3,2025-02-26,2025-02-26,23312643.0,23312643.0,65
Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,1,1,16.0,22550000.0,5,3,2025-02-19,2025-02-19,22550000.0,22550000.0,66
Thủ Dầu Một,Miền Bắc,1,2,9.0,20750000.0,1,1,2025-02-25,2025-03-07,20750000.0,10375000.0,67
Quảng NinhSố,Miền Bắc,1,1,13.0,13870000.0,7,3,2025-03-31,2025-03-31,13870000.0,13870000.0,68
Đắk Lắk,Miền Trung,1,1,2.0,4983333.0,1,1,2025-02-10,2025-02-10,4983333.0,4983333.0,69
Đồng Nai,Miền Nam,1,1,1.0,4527778.0,1,0,2026-01-21,2026-01-21,4527778.0,4527778.0,70
Phan Thiết,Miền Bắc,1,1,2.0,4055556.0,1,0,2025-01-16,2025-01-16,4055556.0,4055556.0,71
Tỉnh Hòa Bình.,Miền Bắc,1,1,1.0,2546296.0,1,1,2025-03-17,2025-03-17,2546296.0,2546296.0,72
Chí Linh,Miền Bắc,1,1,1.0,2212963.0,1,1,2025-02-07,2025-02-07,2212963.0,2212963.0,73
