customer_code,customer_name,fiscal_year,fiscal_month,ym,so_don,tong_sl,tong_dt,so_nhom_sp,so_sku
KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,2025,2,2025-02,1,30.0,36180000.0,1,10
KH-00048,CÔNG TY TNHH THUỶ TIÊN,2025,2,2025-02,3,6.0,13277778.0,1,1
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,2025,2,2025-02,2,17.0,58662032.0,3,9
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,2025,3,2025-03,1,19.0,29268048.0,2,12
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,2026,1,2026-01,1,6.0,16416664.0,1,2
KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,2026,2,2026-02,1,12.0,20859996.0,1,9
KH-00050,CÔNG TY TNHH AN PHÁT,2025,2,2025-02,1,1.0,2305556.0,1,1
KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,2025,2,2025-02,1,2.0,4611111.0,1,1
KH-00052,DOANH NGHIỆP TW TÂN TIẾN,2025,2,2025-02,1,1.0,2212963.0,1,1
KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,2025,2,2025-02,1,1.0,3694444.0,1,1
KH-00054,HỘ KINH DOANH TRÍ ĐỨC,2025,2,2025-02,1,1.0,2398148.0,1,1
KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,2025,2,2025-02,1,2.0,4983333.0,1,1
KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,2025,2,2025-02,1,30.0,33090000.0,3,12
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,2025,2,2025-02,1,149.0,152555152.0,4,18
KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,2025,3,2025-03,4,350.0,411020000.0,2,33
KH-00058,DOANH NGHIỆP TW SÁN LẠP,2025,2,2025-02,1,20.0,24000000.0,1,4
KH-00059,CÔNG TY TNHH TRÍ ĐỨC,2025,2,2025-02,1,42.0,48680000.0,2,15
KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,2025,2,2025-02,1,21.0,25550000.0,1,3
KH-00061,HỘ KINH DOANH THUỶ TIÊN,2025,2,2025-02,1,10.0,13730000.0,3,7
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,2025,2,2025-02,1,68.0,71840000.0,5,39
KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,2025,3,2025-03,1,37.0,47700000.0,3,14
KH-00063,HỘ KINH DOANH VẠN LỢI,2025,2,2025-02,1,8.0,20615148.0,1,4
KH-00063,HỘ KINH DOANH VẠN LỢI,2025,3,2025-03,1,20.0,31100000.0,2,6
KH-00064,CÔNG TY TNHH SƠN HÀ,2025,2,2025-02,2,111.0,130900000.0,3,24
KH-00064,CÔNG TY TNHH SƠN HÀ,2025,3,2025-03,4,179.0,232162500.0,5,31
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,2025,2,2025-02,2,69.0,82180000.0,4,29
KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,2025,3,2025-03,6,397.0,468450000.0,5,60
KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,2025,2,2025-02,1,30.0,34390000.0,2,19
KH-00067,DOANH NGHIỆP TW NGỌC ANH,2025,2,2025-02,2,61.0,68891481.0,5,35
KH-00067,DOANH NGHIỆP TW NGỌC ANH,2025,3,2025-03,7,109.0,145054821.0,5,44
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,2025,2,2025-02,2,34.0,30520000.0,2,10
KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,2025,3,2025-03,1,22.0,17490000.0,2,8
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,2025,2,2025-02,2,4.0,11074074.0,1,1
KH-00069,CÔNG TY TNHH MINH PHƯƠNG,2026,1,2026-01,1,2.0,5537037.0,0,1
KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,2025,2,2025-02,1,4.0,8851852.0,1,1
KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,2025,2,2025-02,1,1.0,3509259.0,1,1
KH-00072,DOANH NGHIỆP TW PHÚC AN,2025,2,2025-02,1,3.0,3450000.0,1,1
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,2025,2,2025-02,1,30.0,35060000.0,1,14
KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,2025,3,2025-03,1,17.0,27552500.0,2,8
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,2025,2,2025-02,1,16.0,15431481.0,3,14
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,2025,3,2025-03,1,10.0,10400000.0,2,9
KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,2026,1,2026-01,1,9.0,13197126.0,3,9
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,2025,2,2025-02,2,81.0,102990000.0,4,28
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,2025,3,2025-03,3,157.0,209865405.0,4,52
KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,2026,1,2026-01,2,34.0,54772209.0,2,10
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2025,2,2025-02,2,72.0,80159073.0,4,20
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2025,3,2025-03,1,56.0,61858500.0,3,13
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2026,1,2026-01,3,206.0,362784570.0,2,26
KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2026,2,2026-02,1,189.0,270117118.0,2,23
KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,2025,2,2025-02,1,30.0,35020000.0,2,18
KH-00078,HỘ KINH DOANH VĨNH PHÁT,2025,2,2025-02,5,88.0,98797405.0,4,33
KH-00078,HỘ KINH DOANH VĨNH PHÁT,2025,3,2025-03,7,126.0,127574124.0,5,35
KH-00078,HỘ KINH DOANH VĨNH PHÁT,2026,1,2026-01,5,50.0,75514516.0,3,20
KH-00079,CÔNG TY TNHH ĐÔNG NAM,2025,2,2025-02,1,50.0,60146430.0,5,27
KH-00079,CÔNG TY TNHH ĐÔNG NAM,2025,3,2025-03,1,19.0,22170000.0,1,7
KH-00079,CÔNG TY TNHH ĐÔNG NAM,2026,1,2026-01,2,28.0,47852213.0,2,15
KH-00079,CÔNG TY TNHH ĐÔNG NAM,2026,2,2026-02,2,55.0,82504421.0,3,34
KH-00080,HỘ KINH DOANH VĨNH PHÁT,2025,2,2025-02,1,50.0,60020000.0,1,19
KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,2025,2,2025-02,1,40.0,45220000.0,4,20
KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,2025,2,2025-02,1,31.0,43600000.0,2,11
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,2025,2,2025-02,1,34.0,39450000.0,2,14
KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,2025,3,2025-03,1,87.0,101950000.0,3,34
KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,2025,2,2025-02,1,15.0,17860000.0,2,11
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,2025,2,2025-02,1,20.0,23760000.0,1,8
KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,2025,3,2025-03,1,20.0,23020000.0,2,6
KH-00086,CÔNG TY TNHH NGỌC ANH,2025,2,2025-02,1,31.0,33647574.0,4,18
KH-00086,CÔNG TY TNHH NGỌC ANH,2025,3,2025-03,2,64.0,76371787.0,4,26
KH-00087,CỬA HÀNG XE ĐẠP SÁN LẠP,2025,2,2025-02,1,20.0,24200000.0,1,3
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,2025,2,2025-02,1,31.0,37992643.0,3,10
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,2025,3,2025-03,3,77.0,87890000.0,3,21
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,2026,1,2026-01,1,49.0,72584440.0,3,8
KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,2026,2,2026-02,2,86.0,130813575.0,2,11
KH-00089,HỘ KINH DOANH TOÀN THẮNG,2025,2,2025-02,1,115.0,138392643.0,3,18
KH-00090,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,2025,2,2025-02,1,4.0,8518519.0,1,1
KH-00091,CÔNG TY TNHH BÌNH MINH,2025,2,2025-02,1,77.0,141519023.0,1,9
KH-00091,CÔNG TY TNHH BÌNH MINH,2025,3,2025-03,6,2214.0,2547090608.0,5,85
KH-00091,CÔNG TY TNHH BÌNH MINH,2026,1,2026-01,14,1035.0,1237280000.0,5,84
KH-00091,CÔNG TY TNHH BÌNH MINH,2026,2,2026-02,8,935.0,1052970000.0,4,92
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,2025,2,2025-02,1,12.0,14260000.0,1,5
KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,2025,3,2025-03,2,28.0,37222643.0,2,9
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,2025,2,2025-02,1,30.0,33570000.0,3,16
KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,2025,3,2025-03,3,72.0,78860000.0,4,33
KH-00094,HỘ KINH DOANH SÁN LẠP,2025,2,2025-02,1,20.0,23330000.0,2,10
KH-00094,HỘ KINH DOANH SÁN LẠP,2025,3,2025-03,1,16.0,18460000.0,2,9
KH-00095,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,2025,2,2025-02,1,30.0,34730000.0,3,18
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,2025,2,2025-02,1,21.0,24340000.0,3,11
KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,2025,3,2025-03,1,21.0,27787000.0,2,15
KH-00097,CÔNG TY TNHH XUÂN MAI,2025,2,2025-02,3,110.0,132045605.0,4,39
KH-00097,CÔNG TY TNHH XUÂN MAI,2025,3,2025-03,5,57.0,67304508.0,5,33
KH-00098,HỘ KINH DOANH MẶT TRỜI,2025,2,2025-02,2,130.0,151780000.0,2,28
KH-00098,HỘ KINH DOANH MẶT TRỜI,2025,3,2025-03,1,130.0,150700000.0,2,13
KH-00099,CÔNG TY TNHH NGỌC ANH,2025,2,2025-02,1,39.0,43710000.0,4,24
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2025,2,2025-02,2,31.0,38569522.0,3,12
KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,2025,3,2025-03,1,52.0,48725580.0,2,14
KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,2025,2,2025-02,1,1.0,1180000.0,1,1
KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,2025,3,2025-03,2,28.0,34240000.0,3,11
KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,2025,2,2025-02,1,60.0,69700000.0,1,6
KH-00103,CÔNG TY CỔ PHẦN AN PHÁT,2025,2,2025-02,1,10.0,18680556.0,1,1
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,2025,2,2025-02,1,50.0,65335286.0,3,14
KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,2025,3,2025-03,2,135.0,160880000.0,2,26
KH-00105,CỬA HÀNG XE ĐẠP PHÚC AN,2025,2,2025-02,1,30.0,34910000.0,2,11
KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,2025,2,2025-02,1,70.0,88360000.0,2,11
KH-00107,CÔNG TY TNHH LONG PHÚ,2025,2,2025-02,1,20.0,21760000.0,2,4
KH-00107,CÔNG TY TNHH LONG PHÚ,2025,3,2025-03,2,50.0,61070000.0,2,12
KH-00108,HỘ KINH DOANH LÊ ANH,2025,2,2025-02,1,30.0,35900000.0,3,14
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,2025,2,2025-02,1,10.0,11900000.0,1,7
KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,2025,3,2025-03,2,58.0,68890000.0,3,14
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,2025,2,2025-02,1,17.0,19750000.0,3,13
KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,2025,3,2025-03,1,32.0,38150000.0,3,20
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,2025,2,2025-02,1,23.0,26040000.0,3,16
KH-00111,DOANH NGHIỆP TW MẶT TRỜI,2025,3,2025-03,1,36.0,46588500.0,3,21
KH-00112,HỘ KINH DOANH TÚ ANH,2025,2,2025-02,1,31.0,35180000.0,2,19
KH-00112,HỘ KINH DOANH TÚ ANH,2025,3,2025-03,1,22.0,26261481.0,2,13
KH-00113,DOANH NGHIỆP TW XÂY DỰNG,2025,2,2025-02,1,15.0,17790000.0,1,8
KH-00113,DOANH NGHIỆP TW XÂY DỰNG,2026,1,2026-01,1,15.0,23649439.0,1,6
KH-00114,CỬA HÀNG XE ĐẠP NGỌC ANH,2025,2,2025-02,1,16.0,22550000.0,3,5
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,2025,2,2025-02,1,30.0,32360000.0,3,23
KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,2025,3,2025-03,1,20.0,19890000.0,3,15
KH-00116,HỘ KINH DOANH TOÀN THẮNG,2025,2,2025-02,1,50.0,57090000.0,2,14
KH-00117,HỘ KINH DOANH YÊN BÌNH,2025,2,2025-02,1,21.0,23960000.0,2,7
KH-00117,HỘ KINH DOANH YÊN BÌNH,2025,3,2025-03,1,21.0,24530000.0,2,8
KH-00118,HỘ KINH DOANH HÙNG CƯỜNG,2025,2,2025-02,1,3.0,7361111.0,1,1
KH-00119,DOANH NGHIỆP TW MẶT TRỜI,2025,2,2025-02,1,24.0,28372558.0,3,19
KH-00119,DOANH NGHIỆP TW MẶT TRỜI,2025,3,2025-03,1,21.0,25141039.0,4,16
KH-00120,CÔNG TY TNHH THANH BÌNH,2025,2,2025-02,1,31.0,30742643.0,4,13
KH-00120,CÔNG TY TNHH THANH BÌNH,2025,3,2025-03,1,36.0,47177500.0,4,18
KH-00121,CÔNG TY TNHH CHI THÀNH,2025,2,2025-02,1,19.0,25527929.0,4,17
KH-00122,CÔNG TY TNHH CHI THÀNH,2025,2,2025-02,1,30.0,28520000.0,3,16
KH-00123,CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ,2025,2,2025-02,1,20.0,17390000.0,2,8
KH-00124,CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT,2025,2,2025-02,1,30.0,36220000.0,2,14
KH-00125,HỘ KINH DOANH BÌNH MINH,2025,2,2025-02,1,17.0,21860000.0,1,2
KH-00126,HỘ KINH DOANH HOÀ BÌNH,2025,2,2025-02,1,32.0,37970000.0,3,15
KH-00126,HỘ KINH DOANH HOÀ BÌNH,2025,3,2025-03,2,65.0,68200000.0,3,16
