product_code,product_name,color,group_code,fiscal_year,fiscal_month,ym,tong_sl,tong_dt
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,KIDBIKE_1,2026,1,2026-01,169.0,205160901.0
000131002001002,Xe đạp Thống Nhất GN 06 20 2024 Đen,Đen,KIDBIKE_1,2026,2,2026-02,132.0,156175697.0
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,KIDBIKE_1,2025,1,2025-01,2.0,2400000.0
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,KIDBIKE_1,2025,2,2025-02,55.0,66000000.0
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,KIDBIKE_1,2025,3,2025-03,156.0,187179165.0
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,KIDBIKE_1,2026,1,2026-01,107.0,127384701.0
000131002008001,Xe đạp Thống Nhất GN 06 20 2024 Ghi,Ghi,KIDBIKE_1,2026,2,2026-02,120.0,143749589.0
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,CITYBIKE_P,2025,1,2025-01,15.0,19993056.0
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,CITYBIKE_P,2025,2,2025-02,178.0,259193055.0
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,CITYBIKE_P,2025,3,2025-03,319.0,434765276.0
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,CITYBIKE_P,2026,1,2026-01,113.0,175338839.0
000207004000000,Xe đạp Thống Nhất 219-05-26,219-05-26,CITYBIKE_P,2026,2,2026-02,316.0,492119298.0
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,CITYBIKE_P,2025,1,2025-01,2.0,2300000.0
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,CITYBIKE_P,2025,2,2025-02,92.0,110051852.0
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,CITYBIKE_P,2025,3,2025-03,204.0,235112961.0
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,CITYBIKE_P,2026,1,2026-01,133.0,198853661.0
000209002025000,Xe đạp Thống Nhất 219-26 Xanh Tím,Xanh Tím,CITYBIKE_P,2026,2,2026-02,87.0,135832373.0
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,CITYBIKE_P,2025,1,2025-01,11.0,16297223.0
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,CITYBIKE_P,2025,2,2025-02,69.0,89665278.0
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,CITYBIKE_P,2025,3,2025-03,193.0,260066667.0
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,CITYBIKE_P,2026,1,2026-01,144.0,214316618.0
000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,CITYBIKE_P,2026,2,2026-02,67.0,106424970.0
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,CITYBIKE_P,2025,1,2025-01,5.0,6000000.0
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,CITYBIKE_P,2025,2,2025-02,78.0,93600000.0
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,CITYBIKE_P,2025,3,2025-03,153.0,183934722.0
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,CITYBIKE_P,2026,1,2026-01,190.0,289435477.0
000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,CITYBIKE_P,2026,2,2026-02,145.0,219827145.0
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,CITYBIKE_P,2025,1,2025-01,5.0,6000000.0
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,CITYBIKE_P,2025,2,2025-02,40.0,48000000.0
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,CITYBIKE_P,2025,3,2025-03,78.0,93934722.0
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,CITYBIKE_P,2026,1,2026-01,223.0,344411013.0
000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,CITYBIKE_P,2026,2,2026-02,186.0,284683230.0
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,CITYBIKE_P,2025,1,2025-01,27.0,48055370.0
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,CITYBIKE_P,2025,2,2025-02,133.0,170426018.0
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,CITYBIKE_P,2025,3,2025-03,336.0,421974535.0
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,CITYBIKE_P,2026,1,2026-01,380.0,614015755.0
000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,CITYBIKE_P,2026,2,2026-02,314.0,505298976.0
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,CITYBIKE_P,2025,1,2025-01,6.0,8703704.0
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,CITYBIKE_P,2025,2,2025-02,122.0,152844907.0
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,CITYBIKE_P,2025,3,2025-03,269.0,337629628.0
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,CITYBIKE_P,2026,1,2026-01,309.0,493957251.0
000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,CITYBIKE_P,2026,2,2026-02,204.0,325589680.0
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,CITYBIKE_P,2025,1,2025-01,7.0,8338796.0
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,CITYBIKE_P,2025,2,2025-02,83.0,111604800.0
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,CITYBIKE_P,2025,3,2025-03,228.0,259783980.0
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,CITYBIKE_P,2026,1,2026-01,139.0,218630805.0
000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,CITYBIKE_P,2026,2,2026-02,119.0,181371296.0
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,CITYBIKE_P,2025,1,2025-01,4.0,4520000.0
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,CITYBIKE_P,2025,2,2025-02,84.0,99636756.0
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,CITYBIKE_P,2025,3,2025-03,326.0,371810368.0
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,CITYBIKE_P,2026,1,2026-01,203.0,318484264.0
000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,CITYBIKE_P,2026,2,2026-02,204.0,317803148.0
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,CITYBIKE_P,2025,1,2025-01,9.0,10598796.0
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,CITYBIKE_P,2025,2,2025-02,204.0,241946288.0
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,CITYBIKE_P,2025,3,2025-03,583.0,664496940.0
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,CITYBIKE_P,2026,1,2026-01,371.0,562585174.0
000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,CITYBIKE_P,2026,2,2026-02,546.0,840846296.0
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,CITYBIKE_P,2025,1,2025-01,3.0,3390000.0
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,CITYBIKE_P,2025,2,2025-02,90.0,101700000.0
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,CITYBIKE_P,2025,3,2025-03,200.0,228711572.0
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,CITYBIKE_P,2026,1,2026-01,128.0,195989897.0
000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,CITYBIKE_P,2026,2,2026-02,152.0,244046018.0
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,CITYBIKE_P,2025,1,2025-01,60.0,97084255.0
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,CITYBIKE_P,2025,2,2025-02,145.0,193859718.0
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,CITYBIKE_P,2025,3,2025-03,468.0,600618815.0
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,CITYBIKE_P,2026,1,2026-01,253.0,430522957.0
000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,CITYBIKE_P,2026,2,2026-02,212.0,356222480.0
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,CITYBIKE_P,2025,1,2025-01,67.0,116371660.0
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,CITYBIKE_P,2025,2,2025-02,114.0,149245079.0
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,CITYBIKE_P,2025,3,2025-03,482.0,583761543.0
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,CITYBIKE_P,2026,1,2026-01,298.0,486027870.0
000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,CITYBIKE_P,2026,2,2026-02,291.0,475793857.0
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,CITYBIKE_P,2025,1,2025-01,51.0,70276564.0
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,CITYBIKE_P,2025,2,2025-02,314.0,391190538.0
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,CITYBIKE_P,2025,3,2025-03,938.0,1157854741.0
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,CITYBIKE_P,2026,1,2026-01,525.0,856898611.0
000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,CITYBIKE_P,2026,2,2026-02,655.0,1060988539.0
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,CITYBIKE_P,2025,1,2025-01,19.0,27248791.0
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,CITYBIKE_P,2025,2,2025-02,138.0,173232404.0
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,CITYBIKE_P,2025,3,2025-03,317.0,384471455.0
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,CITYBIKE_P,2026,1,2026-01,155.0,252937870.0
000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,CITYBIKE_P,2026,2,2026-02,203.0,334179607.0
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,CITYBIKE_P,2025,1,2025-01,1.0,1200000.0
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,CITYBIKE_P,2025,2,2025-02,72.0,101466666.0
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,CITYBIKE_P,2025,3,2025-03,213.0,259316296.0
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,CITYBIKE_P,2026,1,2026-01,111.0,172480538.0
000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,CITYBIKE_P,2026,2,2026-02,113.0,184333302.0
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,CITYBIKE_P,2025,1,2025-01,1.0,1200000.0
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,CITYBIKE_P,2025,2,2025-02,51.0,69218518.0
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,CITYBIKE_P,2025,3,2025-03,166.0,209511110.0
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,CITYBIKE_P,2026,1,2026-01,73.0,123897206.0
000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,CITYBIKE_P,2026,2,2026-02,67.0,102918504.0
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,CITYBIKE_P,2025,1,2025-01,52.0,105466667.0
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,CITYBIKE_P,2025,2,2025-02,29.0,36474074.0
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,CITYBIKE_P,2025,3,2025-03,151.0,185018518.0
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,CITYBIKE_P,2026,1,2026-01,79.0,125627764.0
000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,CITYBIKE_P,2026,2,2026-02,47.0,78264801.0
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,CITYBIKE_P,2025,1,2025-01,1.0,1200000.0
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,CITYBIKE_P,2025,2,2025-02,150.0,204933333.0
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,CITYBIKE_P,2025,3,2025-03,373.0,487225926.0
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,CITYBIKE_P,2026,1,2026-01,401.0,691980488.0
000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,CITYBIKE_P,2026,2,2026-02,286.0,469823073.0
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,CITYBIKE_P,2026,1,2026-01,384.0,674978684.0
000230002023000,Xe đạp Thống Nhất LD 26 Kem,Kem,CITYBIKE_P,2026,2,2026-02,386.0,687636970.0
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,CITYBIKE_P,2025,1,2025-01,47.0,84640740.0
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,CITYBIKE_P,2025,2,2025-02,87.0,115923148.0
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,CITYBIKE_P,2025,3,2025-03,275.0,349235186.0
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,CITYBIKE_P,2026,1,2026-01,238.0,450696798.0
000331002008000,Xe đạp Thống Nhất MTB 26-02 Ghi,Ghi,CITYBIKE_P,2026,2,2026-02,248.0,443846191.0
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,CITYBIKE_P,2025,1,2025-01,46.0,82291666.0
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,CITYBIKE_P,2025,2,2025-02,69.0,90251852.0
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,CITYBIKE_P,2025,3,2025-03,147.0,189119445.0
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,CITYBIKE_P,2026,1,2026-01,77.0,138599975.0
000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,CITYBIKE_P,2026,2,2026-02,63.0,110423864.0
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,SPORTBIKE_S,2025,1,2025-01,1.0,1200000.0
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,SPORTBIKE_S,2025,2,2025-02,28.0,33600000.0
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,SPORTBIKE_S,2025,3,2025-03,156.0,301465644.0
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,SPORTBIKE_S,2026,1,2026-01,114.0,251563107.0
000335002001000,Xe đạp Thống Nhất Super 24 Đen,Đen,SPORTBIKE_S,2026,2,2026-02,59.0,130384261.0
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,CITYBIKE_P,2025,2,2025-02,133.0,173116666.0
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,CITYBIKE_P,2025,3,2025-03,126.0,163800000.0
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,CITYBIKE_P,2026,1,2026-01,416.0,643305371.0
000401002016000,"Xe đạp Thống Nhất Nữ Truyền thống Lốp đỏ, Ngọc",Ngọc,CITYBIKE_P,2026,2,2026-02,211.0,328011925.0
1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen,SPORTBIKE_A,2025,2,2025-02,23.0,49450000.0
1000310050010000,Xe đạp Thống Nhất Road RPD 700C Đen,Đen,SPORTBIKE_A,2025,3,2025-03,155.0,452438337.0
