line_id,line_name,group_code,group_name,so_don,tong_sl,tong_dt,so_sku,so_dai_ly,gia_tb,ty_trong_nhom
39.0,Xe TE Super 20,KIDBIKE_1,Xe trẻ em nhóm 1,138,523.0,802855741.0,3,80,1476268.8138009051,10.35
7.0,Xe GN 06-24,CITYBIKE_P,Xe phổ thông,51,543.0,784571722.0,3,40,1315892.96721519,2.04
46.0,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,249,960.0,781981871.0,2,154,806930.83768546,28.09
17.0,Xe MTB 24-03,CITYBIKE_P,Xe phổ thông,187,600.0,769033140.0,2,118,1268286.034607143,2.0
27.0,Xe MTB 20-05,KIDBIKE_1,Xe trẻ em nhóm 1,105,556.0,709091663.0,2,73,1075628.9183018866,9.14
41.0,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,241,913.0,704723509.0,3,155,797936.4008139535,25.32
5.0,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,153,484.0,686770756.0,1,118,1452858.2403870968,1.79
28.0,Xe Neo 20-02,KIDBIKE_1,Xe trẻ em nhóm 1,50,505.0,553434425.0,4,37,1080439.9944554456,7.13
11.0,Xe GN 06-27,CITYBIKE_P,Xe phổ thông,55,340.0,487183219.0,3,48,1409059.8230434782,1.27
68.0,Xe MTB 26-07,SPORTBIKE_S,Xe thể thao thép,1,155.0,401851851.0,2,1,2592592.59,12.15
6.0,Xe GN 05-27,CITYBIKE_P,Xe phổ thông,81,248.0,360359486.0,1,57,1512277.291707317,0.94
70.0,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,84,269.0,356101758.0,2,68,1348133.522706767,10.76
77.0,Xe Touring Blade 700C,SPORTBIKE_A,Xe thể thao nhôm,46,105.0,346037493.0,2,35,3266212.537878788,14.16
64.0,Xe M2601,SPORTBIKE_S,Xe thể thao thép,51,150.0,337691937.0,4,29,1916518.7948387098,10.21
12.0,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,57,239.0,305961572.0,3,40,1298274.0965116278,0.8
59.0,Xe GN 06-26 2.0 Pro,SPORTBIKE_S,Xe thể thao thép,27,178.0,304748055.0,3,11,1979752.1488235295,9.21
40.0,Xe Bunny 12,KIDBIKE_2,Xe trẻ em nhóm 2,125,406.0,286913076.0,1,94,718558.7096923077,10.31
44.0,Xe Robot 16,KIDBIKE_2,Xe trẻ em nhóm 2,120,346.0,284131020.0,2,67,801256.4272560976,10.21
45.0,Xe Spaceboy 12,KIDBIKE_2,Xe trẻ em nhóm 2,102,373.0,280669161.0,1,69,702840.1327619047,10.08
43.0,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,92,305.0,259606623.0,3,45,814678.6026086956,9.33
67.0,Xe MTB 26-05_2023,SPORTBIKE_S,Xe thể thao thép,44,153.0,240618311.0,3,34,1703251.4210294117,7.27
63.0,Xe Highway 27.5,SPORTBIKE_S,Xe thể thao thép,44,118.0,213440830.0,4,35,1989432.3133333335,6.45
31.0,Xe Neo 2004,KIDBIKE_1,Xe trẻ em nhóm 1,36,144.0,185529986.0,3,24,1197576.7621276595,2.39
42.0,Xe Love 12,KIDBIKE_2,Xe trẻ em nhóm 2,64,201.0,185495352.0,1,28,885731.90953125,6.66
65.0,Xe M2601 Shimano,SPORTBIKE_S,Xe thể thao thép,18,69.0,183436500.0,4,17,2658500.0,5.54
73.0,Xe MTB Cyber 27.5 2024,SPORTBIKE_A,Xe thể thao nhôm,29,52.0,158160944.0,2,24,3047566.979473684,6.47
71.0,"Xe GRX AT 27,5_2.0",SPORTBIKE_A,Xe thể thao nhôm,23,44.0,157844444.0,5,20,3421652.421538462,6.46
26.0,Xe MTB 20-04,KIDBIKE_1,Xe trẻ em nhóm 1,7,90.0,133754620.0,4,3,1791805.475,1.72
29.0,Xe Neo 20-02 Bubble,KIDBIKE_1,Xe trẻ em nhóm 1,31,65.0,85748878.0,2,15,1356801.975609756,1.11
30.0,Xe Neo 20-03,KIDBIKE_1,Xe trẻ em nhóm 1,6,69.0,76029723.0,3,4,1241770.83375,0.98
14.0,Xe LD 24-02,CITYBIKE_P,Xe phổ thông,13,39.0,71369813.0,1,3,1796837.6030769232,0.19
4.0,Xe đạp đôi 26,CITYBIKE_P,Xe phổ thông,11,32.0,48995833.0,3,10,1547222.2105263157,0.13
24.0,Xe GN 06 20,KIDBIKE_1,Xe trẻ em nhóm 1,5,34.0,42120556.0,2,4,1187076.6957142858,0.54
61.0,Xe GN 06-27 2.0 Pro,SPORTBIKE_S,Xe thể thao thép,9,22.0,34999444.0,3,9,1657760.9154545455,1.06
66.0,Xe MTB 24-04,SPORTBIKE_S,Xe thể thao thép,5,19.0,31042128.0,3,4,1929567.58,0.94
60.0,Xe GN 06-26 2.0 Pro Shimano,SPORTBIKE_S,Xe thể thao thép,8,12.0,28002000.0,2,7,2333500.0,0.85
72.0,Xe MTB Cyber 27.5,SPORTBIKE_A,Xe thể thao nhôm,5,7.0,22389771.0,2,5,3276439.0439999998,0.92
37.0,Xe TE 16-04,KIDBIKE_1,Xe trẻ em nhóm 1,3,9.0,9000000.0,1,3,1000000.0,0.12
62.0,Xe GN 06-27 2.0 Pro Shimano,SPORTBIKE_S,Xe thể thao thép,2,3.0,7195500.0,1,2,2398500.0,0.22
16.0,Xe M 27-01,CITYBIKE_P,Xe phổ thông,1,5.0,6250000.0,2,1,1250000.0,0.02
