so_number,order_date,fiscal_year,fiscal_month,fiscal_quarter,customer_code,customer_name,province_name,region,tong_dong,tong_sl,tong_tien,so_nhom_sp,so_sku
BH25.0017,2025-01-10,2025,1,1,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,6,20.0,23350000.0,1,6
BH25.0015,2025-01-10,2025,1,1,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,10,15.0,23210000.0,2,9
BH25.0016,2025-01-10,2025,1,1,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,10,30.0,36730000.0,1,10
BH25.0013,2025-01-10,2025,1,1,KH-00013,DOANH NGHIỆP TW THANH BÌNH,Hưng Yên,Miền Bắc,1,1.0,2490741.0,0,1
BH25.0012,2025-01-10,2025,1,1,KH-00012,HỘ KINH DOANH THIÊN AN,Hà Nội,Miền Bắc,1,1.0,2592593.0,1,1
BH25.0014,2025-01-10,2025,1,1,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,19,45.0,42780000.0,4,19
BH25.0019,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,13,35.0,61229258.0,4,13
BH25.0020,2025-01-11,2025,1,1,KH-00020,DOANH NGHIỆP TW TRƯỜNG THỊNH,Hà Nội,Miền Bắc,2,60.0,124583332.0,1,2
BH25.0021,2025-01-11,2025,1,1,KH-00021,HỘ KINH DOANH XÂY DỰNG,Hà Nội,Miền Bắc,1,40.0,87037037.0,1,1
BH25.0022,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,14,22.0,36218519.0,4,14
BH25.0023,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,12,33.0,56131573.0,4,12
BH25.0024,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,11,21.0,36353979.0,4,11
BH25.0025,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,19,80.0,133373979.0,4,19
BH25.0026,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,7,8.0,14466018.0,4,7
BH25.0027,2025-01-11,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,2,15.0,29395463.0,1,2
BH25.0034,2025-01-13,2025,1,1,KH-00025,DOANH NGHIỆP TW SƠN HÀ,Thanh Hoá,Miền Trung,1,6.0,13277778.0,1,1
BH25.0036,2025-01-13,2025,1,1,KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,7,13.0,24583215.0,4,7
BH25.0035,2025-01-13,2025,1,1,KH-00026,CÔNG TY CỔ PHẦN LÊ ANH,Thanh Hóa,Miền Trung,1,3.0,7777778.0,1,1
BH25.0033,2025-01-13,2025,1,1,KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,6,45.0,55900000.0,1,6
BH25.0029,2025-01-13,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,14,48.0,82525463.0,3,14
BH25.0031,2025-01-13,2025,1,1,KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,3,5.0,7250000.0,1,3
BH25.0030,2025-01-13,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,15,41.0,71160834.0,4,15
BH25.0028,2025-01-13,2025,1,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,10,16.0,28276112.0,3,10
BH25.0032,2025-01-13,2025,1,1,KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,2,190.0,284648146.0,1,2
BH25.0037,2025-01-15,2025,1,1,KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,1,25.0,30000000.0,1,1
BH25.0038,2025-01-15,2025,1,1,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,1,60.0,72000000.0,1,1
BH25.0039,2025-01-15,2025,1,1,KH-00028,DOANH NGHIỆP TW PHÚ THỊNH,Phú Thọ,Miền Bắc,12,28.0,34510000.0,2,12
BH25.0046,2025-01-16,2025,1,1,KH-00032,HỘ KINH DOANH CHI THÀNH,Hà Nội,Miền Bắc,1,1.0,1935185.0,0,1
BH25.0045,2025-01-16,2025,1,1,KH-00031,CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG,Hà Nội,Miền Bắc,2,2.0,4907408.0,1,2
BH25.0043,2025-01-16,2025,1,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,4,13.0,20065922.0,2,4
BH25.0044,2025-01-16,2025,1,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,1,13.0,26481481.0,1,1
BH25.0041,2025-01-16,2025,1,1,KH-00030,CỬA HÀNG XE ĐẠP BÌNH MINH,Bắc Giang,Miền Bắc,8,307.0,680818519.0,3,8
BH25.0040,2025-01-16,2025,1,1,KH-00029,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Phan Thiết,Miền Bắc,1,2.0,4055556.0,0,1
BH25.0042,2025-01-16,2025,1,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,3,5.0,6885740.0,1,3
BH25.0047,2025-01-17,2025,1,1,KH-00033,CỬA HÀNG XE ĐẠP HÙNG CƯỜNG,Hà Nội,Miền Bắc,1,5.0,11064815.0,1,1
BH25.0048,2025-01-18,2025,1,1,KH-00034,CÔNG TY TNHH BÌNH MINH,Đà Nẵng,Miền Trung,8,10.0,11750000.0,3,8
BH25.0049,2025-01-18,2025,1,1,KH-00035,CỬA HÀNG XE ĐẠP TÂY BẮC,Đà Nẵng,Miền Trung,9,12.0,15000000.0,2,9
BH25.0050,2025-01-20,2025,1,1,KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,1,2.0,14981481.0,1,1
BH25.0051,2025-01-20,2025,1,1,KH-00037,CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH,Hà Nội,Miền Bắc,1,1.0,3879630.0,1,1
BH25.0052,2025-01-20,2025,1,1,KH-00038,DOANH NGHIỆP TW TÂN TIẾN,Thái Nguyên,Miền Bắc,11,27.0,32350000.0,1,11
BH25.0053,2025-01-21,2025,1,1,KH-00039,CÔNG TY CỔ PHẦN ĐÔNG NAM,Phú Quốc,Miền Bắc,6,60.0,153703695.0,3,6
BH25.0054,2025-01-21,2025,1,1,KH-00040,CÔNG TY TNHH VẠN LỢI,Vinh,Miền Bắc,1,103.0,185400000.0,1,1
BH25.0058,2025-01-22,2025,1,1,KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,1,3.0,16361111.0,1,1
BH25.0057,2025-01-22,2025,1,1,KH-00043,CÔNG TY TNHH LONG PHÚ,TP Đà Nẵng,Miền Bắc,1,2.0,2360000.0,1,1
BH25.0056,2025-01-22,2025,1,1,KH-00042,HỘ KINH DOANH MẶT TRỜI,Hà Nội,Miền Bắc,11,15.0,23315739.0,2,11
BH25.0055,2025-01-22,2025,1,1,KH-00041,CỬA HÀNG XE ĐẠP ĐÔNG NAM,Thanh Hóa,Miền Trung,1,5.0,11064815.0,1,1
BH25.0059,2025-01-23,2025,1,1,KH-00044,CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH,Tam Kỳ,Miền Bắc,15,26.0,29250000.0,2,15
BH25.0060,2025-01-23,2025,1,1,KH-00045,CÔNG TY TNHH AN PHÁT,Quảng Nam,Miền Trung,1,4.0,18111112.0,1,1
BH25.0061,2025-01-24,2025,1,1,KH-00046,CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI,Đồng Hới,Miền Bắc,11,68.0,105677282.0,2,11
BH25.0062,2025-02-04,2025,2,1,KH-00047,CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH,Vĩnh Phúc,Miền Bắc,10,30.0,36180000.0,1,10
BH25.0063,2025-02-05,2025,2,1,KH-00048,CÔNG TY TNHH THUỶ TIÊN,Hà Nội,Miền Bắc,1,2.0,4425926.0,1,1
BH25.0071,2025-02-07,2025,2,1,KH-00053,CÔNG TY TNHH TRƯỜNG THỊNH,Hà Nội,Miền Bắc,1,1.0,3694444.0,1,1
BH25.0070,2025-02-07,2025,2,1,KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,8,10.0,11520000.0,2,8
BH25.0069,2025-02-07,2025,2,1,KH-00052,DOANH NGHIỆP TW TÂN TIẾN,Chí Linh,Miền Bắc,1,1.0,2212963.0,1,1
BH25.0068,2025-02-07,2025,2,1,KH-00051,CÔNG TY CỔ PHẦN KHẢI HOÀN,Hưng Yên,Miền Bắc,1,2.0,4611111.0,1,1
BH25.0066,2025-02-07,2025,2,1,KH-00050,CÔNG TY TNHH AN PHÁT,Hải Dương,Miền Bắc,1,1.0,2305556.0,1,1
BH25.0065,2025-02-07,2025,2,1,KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,7,10.0,20162032.0,3,7
BH25.0064,2025-02-07,2025,2,1,KH-00049,CÔNG TY CỔ PHẦN THUỶ TIÊN,Bắc Ninh,Miền Bắc,2,7.0,38500000.0,1,2
BH25.0067,2025-02-07,2025,2,1,KH-00036,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Hà Nội,Miền Bắc,1,2.0,14981481.0,1,1
BH25.0082,2025-02-10,2025,2,1,KH-00061,HỘ KINH DOANH THUỶ TIÊN,Hòa Bình,Miền Bắc,7,10.0,13730000.0,3,7
BH25.0089,2025-02-10,2025,2,1,KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,Vĩnh Phúc,Miền Bắc,1,2.0,2600000.0,1,1
BH25.0088,2025-02-10,2025,2,1,KH-00067,DOANH NGHIỆP TW NGỌC ANH,Hà Nội,Miền Bắc,19,30.0,32560000.0,4,19
BH25.0087,2025-02-10,2025,2,1,KH-00066,CÔNG TY CỔ PHẦN NGỌC ANH,Hà Nộ,Miền Bắc,19,30.0,34390000.0,2,19
BH25.0086,2025-02-10,2025,2,1,KH-00065,CÔNG TY CỔ PHẦN QUANG VINH,Hà Nội,Miền Bắc,14,40.0,47590000.0,3,14
BH25.0085,2025-02-10,2025,2,1,KH-00064,CÔNG TY TNHH SƠN HÀ,Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương,Miền Bắc,13,51.0,60120000.0,3,13
BH25.0083,2025-02-10,2025,2,1,KH-00062,CÔNG TY CỔ PHẦN YÊN BÌNH,Lạng Sơn,Miền Bắc,39,68.0,71840000.0,5,39
BH25.0081,2025-02-10,2025,2,1,KH-00060,CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI,Hà Nam,Miền Bắc,3,21.0,25550000.0,1,3
BH25.0084,2025-02-10,2025,2,1,KH-00063,HỘ KINH DOANH VẠN LỢI,Bắc Giang,Miền Bắc,4,8.0,20615148.0,1,4
BH25.0079,2025-02-10,2025,2,1,KH-00058,DOANH NGHIỆP TW SÁN LẠP,TP Hải Dương,Miền Bắc,4,20.0,24000000.0,1,4
BH25.0078,2025-02-10,2025,2,1,KH-00057,CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG,Nam Định,Miền Bắc,18,149.0,152555152.0,4,18
BH25.0077,2025-02-10,2025,2,1,KH-00056,DOANH NGHIỆP TW ĐÔNG NAM,Hà Nam,Miền Bắc,12,30.0,33090000.0,3,12
BH25.0076,2025-02-10,2025,2,1,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,12,30.0,31330000.0,3,12
BH25.0075,2025-02-10,2025,2,1,KH-00024,CÔNG TY TNHH MINH PHƯƠNG,Ninh Bình,Miền Bắc,8,30.0,35700000.0,3,8
BH25.0074,2025-02-10,2025,2,1,KH-00055,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Đắk Lắk,Miền Trung,1,2.0,4983333.0,1,1
BH25.0073,2025-02-10,2025,2,1,KH-00054,HỘ KINH DOANH TRÍ ĐỨC,Hà Nội,Miền Bắc,1,1.0,2398148.0,1,1
BH25.0072,2025-02-10,2025,2,1,KH-00010,CỬA HÀNG XE ĐẠP QUANG VINH,Thái Nguyên,Miền Bắc,7,38.0,48521284.0,2,7
BH25.0080,2025-02-10,2025,2,1,KH-00059,CÔNG TY TNHH TRÍ ĐỨC,Hải Dương,Miền Bắc,15,42.0,48680000.0,2,15
BH25.0098,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,4,19.0,30760737.0,2,4
BH25.0097,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,1,2.0,4074074.0,1,1
BH25.0096,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,5,17.0,32373054.0,3,5
BH25.0094,2025-02-11,2025,2,1,KH-00069,CÔNG TY TNHH MINH PHƯƠNG,Hà Nội,Miền Bắc,1,2.0,5537037.0,1,1
BH25.0095,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,3,7.0,12449813.0,3,3
BH25.0092,2025-02-11,2025,2,1,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,12,95.0,146970185.0,4,12
BH25.0091,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,5,14.0,23885923.0,2,5
BH25.0090,2025-02-11,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,2,10.0,15038146.0,2,2
BH25.0093,2025-02-11,2025,2,1,KH-00048,CÔNG TY TNHH THUỶ TIÊN,Hà Nội,Miền Bắc,1,2.0,4425926.0,1,1
BH25.0099,2025-02-13,2025,2,1,KH-00070,CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,1,4.0,8851852.0,1,1
BH25.0113,2025-02-14,2025,2,1,KH-00082,CÔNG TY TNHH THƯƠNG MẠI PHÚC AN,Vĩnh Phúc,Miền Bắc,11,31.0,43600000.0,2,11
BH25.0122,2025-02-14,2025,2,1,KH-00089,HỘ KINH DOANH TOÀN THẮNG,Nghệ A,Miền Bắc,18,115.0,138392643.0,3,18
BH25.0121,2025-02-14,2025,2,1,KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,1,1.0,1150000.0,1,1
BH25.0120,2025-02-14,2025,2,1,KH-00088,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,10,31.0,37992643.0,3,10
BH25.0119,2025-02-14,2025,2,1,KH-00087,CỬA HÀNG XE ĐẠP SÁN LẠP,Nghệ An,Miền Trung,3,20.0,24200000.0,1,3
BH25.0118,2025-02-14,2025,2,1,KH-00086,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,18,31.0,33647574.0,4,18
BH25.0117,2025-02-14,2025,2,1,KH-00085,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,8,20.0,23760000.0,1,8
BH25.0116,2025-02-14,2025,2,1,KH-00084,CỬA HÀNG XE ĐẠP TOÀN THẮNG,Hưng Yên,Miền Bắc,11,15.0,17860000.0,2,11
BH25.0115,2025-02-14,2025,2,1,KH-00083,CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH,Hưng Yên,Miền Bắc,14,34.0,39450000.0,2,14
BH25.0114,2025-02-14,2025,2,1,KH-00022,CÔNG TY CỔ PHẦN VIỆT ANH,Hà Nội,Miền Bắc,9,10.0,11590000.0,2,9
BH25.0112,2025-02-14,2025,2,1,KH-00081,CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN,Hưng Yên,Miền Bắc,20,40.0,45220000.0,4,20
BH25.0100,2025-02-14,2025,2,1,KH-00071,CỬA HÀNG XE ĐẠP BÌNH MINH,Hà Nội,Miền Bắc,1,1.0,3509259.0,1,1
BH25.0110,2025-02-14,2025,2,1,KH-00079,CÔNG TY TNHH ĐÔNG NAM,Bắc Giang,Miền Bắc,27,50.0,60146430.0,5,27
BH25.0111,2025-02-14,2025,2,1,KH-00080,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,19,50.0,60020000.0,1,19
BH25.0102,2025-02-14,2025,2,1,KH-00006,CÔNG TY TNHH CHI THÀNH,TP. Hồ Chí Minh,Miền Nam,4,11.0,14825552.0,2,4
BH25.0103,2025-02-14,2025,2,1,KH-00043,CÔNG TY TNHH LONG PHÚ,TP Đà Nẵng,Miền Bắc,8,10.0,11750000.0,3,8
BH25.0104,2025-02-14,2025,2,1,KH-00073,CỬA HÀNG XE ĐẠP KHẢI HOÀN,Thanh Hoá,Miền Trung,14,30.0,35060000.0,1,14
BH25.0101,2025-02-14,2025,2,1,KH-00072,DOANH NGHIỆP TW PHÚC AN,Hà Tĩnh,Miền Trung,1,3.0,3450000.0,1,1
BH25.0106,2025-02-14,2025,2,1,KH-00075,CÔNG TY CỔ PHẦN ĐÔNG NAM,Hà Nội,Miền Bắc,21,60.0,78090000.0,3,21
BH25.0107,2025-02-14,2025,2,1,KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,11,52.0,57190000.0,3,11
BH25.0108,2025-02-14,2025,2,1,KH-00077,CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH,Hà Nội,Miền Bắc,18,30.0,35020000.0,2,18
BH25.0109,2025-02-14,2025,2,1,KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,9,11.0,13090000.0,2,9
BH25.0105,2025-02-14,2025,2,1,KH-00074,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Hòa Bình,Miền Bắc,14,16.0,15431481.0,3,14
BH25.0123,2025-02-15,2025,2,1,KH-00090,CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC,Thanh Hoá,Miền Trung,1,4.0,8518519.0,1,1
BH25.0133,2025-02-17,2025,2,1,KH-00078,HỘ KINH DOANH VĨNH PHÁT,Hà Nội,Miền Bắc,14,20.0,21251481.0,4,14
BH25.0140,2025-02-17,2025,2,1,KH-00102,CỬA HÀNG XE ĐẠP AN PHÁT,Bắc Ninh,Miền Bắc,6,60.0,69700000.0,1,6
BH25.0139,2025-02-17,2025,2,1,KH-00101,CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH,Hà Nội,Miền Bắc,1,1.0,1180000.0,1,1
BH25.0138,2025-02-17,2025,2,1,KH-00100,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Hà Nội,Miền Bắc,1,1.0,2400000.0,1,1
BH25.0137,2025-02-17,2025,2,1,KH-00099,CÔNG TY TNHH NGỌC ANH,Hà Nội,Miền Bắc,24,39.0,43710000.0,4,24
BH25.0135,2025-02-17,2025,2,1,KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,13,80.0,93690000.0,1,13
BH25.0134,2025-02-17,2025,2,1,KH-00098,HỘ KINH DOANH MẶT TRỜI,Nghệ An,Miền Trung,18,50.0,58090000.0,2,18
BH25.0132,2025-02-17,2025,2,1,KH-00097,CÔNG TY TNHH XUÂN MAI,Hà Nội,Miền Bắc,15,32.0,39582643.0,3,15
BH25.0130,2025-02-17,2025,2,1,KH-00095,CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN,Hà Nội,Miền Bắc,18,30.0,34730000.0,3,18
BH25.0129,2025-02-17,2025,2,1,KH-00094,HỘ KINH DOANH SÁN LẠP,Phú Thọ,Miền Bắc,10,20.0,23330000.0,2,10
BH25.0128,2025-02-17,2025,2,1,KH-00068,CÔNG TY CỔ PHẦN SÁN LẠP,Vĩnh Phúc,Miền Bắc,9,32.0,27920000.0,2,9
BH25.0127,2025-02-17,2025,2,1,KH-00093,CÔNG TY CỔ PHẦN PHÚC AN,Hà Nội,Miền Bắc,16,30.0,33570000.0,3,16
BH25.0126,2025-02-17,2025,2,1,KH-00092,CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI,Hà Nội,Miền Bắc,5,12.0,14260000.0,1,5
BH25.0125,2025-02-17,2025,2,1,KH-00091,CÔNG TY TNHH BÌNH MINH,Hà Nội,Miền Bắc,9,77.0,141519023.0,1,9
BH25.0124,2025-02-17,2025,2,1,KH-00023,CÔNG TY TNHH THANH BÌNH,Hà Nội,Miền Bắc,4,184.0,261307407.0,2,4
BH25.0131,2025-02-17,2025,2,1,KH-00096,CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ,Hà Nội,Miền Bắc,11,21.0,24340000.0,3,11
BH25.0141,2025-02-18,2025,2,1,KH-00027,HỘ KINH DOANH ĐẠI DƯƠNG,Hà Nội,Miền Bắc,1,5.0,6250000.0,1,1
BH25.0142,2025-02-18,2025,2,1,KH-00069,CÔNG TY TNHH MINH PHƯƠNG,Hà Nội,Miền Bắc,1,2.0,5537037.0,1,1
BH25.0152,2025-02-19,2025,2,1,KH-00111,DOANH NGHIỆP TW MẶT TRỜI,Hà Nội,Miền Bắc,16,23.0,26040000.0,3,16
BH25.0157,2025-02-19,2025,2,1,KH-00116,HỘ KINH DOANH TOÀN THẮNG,Hưng Yên,Miền Bắc,14,50.0,57090000.0,2,14
BH25.0158,2025-02-19,2025,2,1,KH-00117,HỘ KINH DOANH YÊN BÌNH,Hưng yên,Miền Bắc,7,21.0,23960000.0,2,7
BH25.0155,2025-02-19,2025,2,1,KH-00114,CỬA HÀNG XE ĐẠP NGỌC ANH,Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá,Miền Bắc,5,16.0,22550000.0,3,5
BH25.0154,2025-02-19,2025,2,1,KH-00113,DOANH NGHIỆP TW XÂY DỰNG,Thanh Hoá,Miền Trung,8,15.0,17790000.0,1,8
BH25.0153,2025-02-19,2025,2,1,KH-00112,HỘ KINH DOANH TÚ ANH,Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa,Miền Bắc,19,31.0,35180000.0,2,19
BH25.0151,2025-02-19,2025,2,1,KH-00110,CỬA HÀNG XE ĐẠP TÂY BẮC,Hà Nội,Miền Bắc,13,17.0,19750000.0,3,13
BH25.0156,2025-02-19,2025,2,1,KH-00115,CÔNG TY CỔ PHẦN YÊN BÌNH,Thanh Hóa,Miền Trung,23,30.0,32360000.0,3,23
BH25.0149,2025-02-19,2025,2,1,KH-00108,HỘ KINH DOANH LÊ ANH,Hà Nội,Miền Bắc,14,30.0,35900000.0,3,14
BH25.0148,2025-02-19,2025,2,1,KH-00076,CỬA HÀNG XE ĐẠP ĐẠI LỢI,Bắc Giang,Miền Bắc,11,20.0,22969073.0,4,11
BH25.0147,2025-02-19,2025,2,1,KH-00107,CÔNG TY TNHH LONG PHÚ,Bắc Ninh,Miền Bắc,4,20.0,21760000.0,2,4
BH25.0146,2025-02-19,2025,2,1,KH-00106,CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG,Thanh Hóa,Miền Trung,11,70.0,88360000.0,2,11
BH25.0145,2025-02-19,2025,2,1,KH-00105,CỬA HÀNG XE ĐẠP PHÚC AN,Bắc Ninh,Miền Bắc,11,30.0,34910000.0,2,11
BH25.0144,2025-02-19,2025,2,1,KH-00104,DOANH NGHIỆP TW THUỶ TIÊN,Thanh Hóa,Miền Trung,14,50.0,65335286.0,3,14
BH25.0143,2025-02-19,2025,2,1,KH-00103,CÔNG TY CỔ PHẦN AN PHÁT,Bắc Giang,Miền Bắc,1,10.0,18680556.0,1,1
BH25.0150,2025-02-19,2025,2,1,KH-00109,CÔNG TY CỔ PHẦN VẠN LỢI,Hà Nội,Miền Bắc,7,10.0,11900000.0,1,7
BH25.0173,2025-02-20,2025,2,1,KH-00129,CÔNG TY CỔ PHẦN LÊ ANH,Tĩnh Thanh Hoá,Miền Bắc,22,51.0,60307929.0,4,22
BH25.0174,2025-02-20,2025,2,1,KH-00130,CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN,Thanh Hoá,Miền Trung,9,30.0,36600000.0,1,9
BH25.0175,2025-02-20,2025,2,1,KH-00131,CÔNG TY TNHH QUANG VINH,Hà Nam,Miền Bắc,14,30.0,35090000.0,2,14
BH25.0180,2025-02-20,2025,2,1,KH-00132,CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH,Nghệ An,Miền Trung,14,61.0,73740000.0,2,14
