so_number,order_date,fiscal_year,fiscal_month,fiscal_quarter,week,customer_code,customer_name,province_name,region,product_code,product_name,color,line_name,group_code,group_name,quantity,unit_price,line_total
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000225002015000,Xe đạp Thống Nhất New 26 Café/nâu,Café/nâu,Xe New 26,CITYBIKE_P,Xe phổ thông,3.0,1180000.0,3540000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,Xe New 26,CITYBIKE_P,Xe phổ thông,2.0,1180000.0,2360000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,2.0,1050000.0,2100000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000125002002000,Xe đạp Thống Nhất Puppy 20 Trắng,Trắng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,1.0,1050000.0,1050000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000240020090000,Xe đạp Thống Nhất TE Bunny 16 Hồng,Hồng,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000240020220000,Xe đạp Thống Nhất TE Bunny 16 Xanh dương,Xanh dương,Xe Bunny 16,KIDBIKE_2,Xe trẻ em nhóm 2,2.0,500000.0,1000000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000230020090000,Xe đạp Thống Nhất TE Bunny 12 Hồng,Hồng,Xe Bunny 12,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,470000.0,1410000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000220020090000,Xe đạp Thống Nhất TE Love 16 Hồng,Hồng,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000220020220000,Xe đạp Thống Nhất TE Love 16 Xanh dương,Xanh dương,Xe Love 16,KIDBIKE_2,Xe trẻ em nhóm 2,1.0,500000.0,500000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,1000270020220000,Xe đạp Thống Nhất TE Spaceboy 16 Xanh dương,Xanh dương,Xe Spaceboy 16,KIDBIKE_2,Xe trẻ em nhóm 2,3.0,500000.0,1500000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,3.0,1250000.0,3750000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000217003008000,Xe đạp Thống Nhất GN 06-26 2.0 Ghi,Ghi,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,2.0,1250000.0,2500000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000333002001000,Xe đạp Thống Nhất Super 26 đen,đen,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,2.0,1300000.0,2600000.0
BH25.0014,2025-01-10,2025,1,1,2,KH-00014,HỘ KINH DOANH LONG PHÚ,Bắc Ninh,Miền Bắc,000333002022000,Xe đạp Thống Nhất Super 26 xanh,xanh,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1.0,1300000.0,1300000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,1000300050010000,Xe đạp Thống Nhất MTB SPD 27.5 ( Đen),Đen,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,1.0,2150000.0,2150000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,1000300050080000,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),Ghi,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,1.0,2150000.0,2150000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,1000300050080000,Xe đạp Thống Nhất MTB SPD 27.5 ( Ghi),Ghi,Xe MTB SPD 27.5,SPORTBIKE_A,Xe thể thao nhôm,3.0,2150000.0,6450000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000217003005000,Xe đạp Thống Nhất GN 06-26 2.0 Cam,Cam,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,1.0,1250000.0,1250000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000217003001000,Xe đạp Thống Nhất GN 06-26 2.0 Đen,Đen,Xe GN 06-26 2.0,CITYBIKE_P,Xe phổ thông,2.0,1250000.0,2500000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000218003008000,Xe đạp Thống Nhất GN 06-27 2.0 Ghi,Ghi,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,1.0,1270000.0,1270000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000218003001000,Xe đạp Thống Nhất GN 06-27 2.0 Đen,Đen,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,2.0,1270000.0,2540000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000218003005000,Xe đạp Thống Nhất GN 06-27 2.0 Cam,Cam,Xe GN 06-27 2.0,CITYBIKE_P,Xe phổ thông,1.0,1270000.0,1270000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000214004000000,Xe đạp Thống Nhất GN 05-26,05-26,Xe GN 05-26,CITYBIKE_P,Xe phổ thông,2.0,1250000.0,2500000.0
BH25.0015,2025-01-10,2025,1,1,2,KH-00015,DOANH NGHIỆP TW MINH PHƯƠNG,Phú Thọ,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,Xe New 24,CITYBIKE_P,Xe phổ thông,1.0,1130000.0,1130000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000226003015000,Xe đạp Thống Nhất LD 24-01_2023 Café/nâu,Café/nâu,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1.0,1200000.0,1200000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,5.0,1180000.0,5900000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,Xe New 24,CITYBIKE_P,Xe phổ thông,3.0,1130000.0,3390000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000216003008000,Xe đạp Thống Nhất GN 06-24 2.0 Ghi,Ghi,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,2.0,1200000.0,2400000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000226003023000,Xe đạp Thống Nhất LD 24-01_2023 Kem,Kem,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1.0,1200000.0,1200000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Xe New 26,CITYBIKE_P,Xe phổ thông,2.0,1180000.0,2360000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000225002025000,Xe đạp Thống Nhất New 26 Xanh mint,Xanh mint,Xe New 26,CITYBIKE_P,Xe phổ thông,1.0,1180000.0,1180000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000401002022000,"Xe đạp Thống Nhất Nữ Lốp đỏ, Xanh dương",Xanh dương,,,,10.0,1300000.0,13000000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000216003001000,Xe đạp Thống Nhất GN 06-24 2.0 Đen,Đen,Xe GN 06-24 2.0,CITYBIKE_P,Xe phổ thông,3.0,1200000.0,3600000.0
BH25.0016,2025-01-10,2025,1,1,2,KH-00016,DOANH NGHIỆP TW VIỆT ANH,Quảng Trị,Miền Trung,000331002022000,Xe đạp Thống Nhất MTB 26-02 Xanh dương,Xanh dương,Xe MTB 26 02,CITYBIKE_P,Xe phổ thông,2.0,1250000.0,2500000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,5.0,1180000.0,5900000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000225002002000,Xe đạp Thống Nhất New 26 Trắng,Trắng,Xe New 26,CITYBIKE_P,Xe phổ thông,5.0,1180000.0,5900000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000225002009000,Xe đạp Thống Nhất New 26 Hồng,Hồng,Xe New 26,CITYBIKE_P,Xe phổ thông,5.0,1180000.0,5900000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000224002002000,Xe đạp Thống Nhất New 24 Trắng,Trắng,Xe New 24,CITYBIKE_P,Xe phổ thông,2.0,1130000.0,2260000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000224002023000,Xe đạp Thống Nhất New 24 Kem,Kem,Xe New 24,CITYBIKE_P,Xe phổ thông,2.0,1130000.0,2260000.0
BH25.0017,2025-01-10,2025,1,1,2,KH-00017,CỬA HÀNG XE ĐẠP THUỶ TIÊN,TT Hương Sơn- Phú Bình- Thái Nguyên,Miền Bắc,000224002009000,Xe đạp Thống Nhất New 24 Hồng,Hồng,Xe New 24,CITYBIKE_P,Xe phổ thông,1.0,1130000.0,1130000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000226003002000,Xe đạp Thống Nhất LD 24-01_2023 Trắng,Trắng,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1.0,1200000.0,1200000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000330002001000,Xe đạp Thống Nhất MTB 24-03 Đen,Đen,Xe MTB 24-03,CITYBIKE_P,Xe phổ thông,1.0,1200000.0,1200000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000224002015000,Xe đạp Thống Nhất New 24 Café/nâu,Café/nâu,Xe New 24,CITYBIKE_P,Xe phổ thông,1.0,1130000.0,1130000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000224002026000,Xe đạp Thống Nhất New 24 Xanh mint,Xanh mint,Xe New 24,CITYBIKE_P,Xe phổ thông,1.0,1130000.0,1130000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000225002023000,Xe đạp Thống Nhất New 26 Kem,Kem,Xe New 26,CITYBIKE_P,Xe phổ thông,2.0,1180000.0,2360000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000125002009000,Xe đạp Thống Nhất Puppy 20 Hồng,Hồng,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,1.0,1050000.0,1050000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000125002013000,Xe đạp Thống Nhất Puppy 20 Xanh,Xanh,Xe Puppy 20,KIDBIKE_1,Xe trẻ em nhóm 1,1.0,1050000.0,1050000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000333002001000,Xe đạp Thống Nhất Super 26 đen,đen,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1.0,1300000.0,1300000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000333002022000,Xe đạp Thống Nhất Super 26 xanh,xanh,Xe Super 26,SPORTBIKE_S,Xe thể thao thép,1.0,1300000.0,1300000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000226003014000,Xe đạp Thống Nhất LD 24-01_2023 Xanh Santorini,Xanh Santorini,Xe LD 24-01_2023,CITYBIKE_P,Xe phổ thông,1.0,1200000.0,1200000.0
BH25.0018,2025-01-10,2025,1,1,2,KH-00018,CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH,Hà Nội,Miền Bắc,000314002005000,Xe đạp Thống Nhất MTB 24-04 Tem cam,Tem cam,Xe MTB 24-04,SPORTBIKE_S,Xe thể thao thép,10.0,1200000.0,12000000.0
BH25.0019,2025-01-11,2025,1,1,2,KH-00019,CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH,TP. Hồ Chí Minh,Miền Nam,1000210020090000,Xe đạp Thống Nhất TE Love 12 Hồng,Hồng,Xe Love 12,KIDBIKE_2,Xe trẻ em nhóm 2,4.0,1062314.81,4249259.0
