"customer_code","customer_name","province_name","region","cohort_month","first_order_date","last_order_q1_2025","recency_days","n_orders_q1_2025","revenue_q1_2025","avg_order_value","n_product_groups","trend_slope","groups_bought","n_orders_q1_2026","revenue_q1_2026","churn_label","rfm_r","rfm_f","rfm_m","rfm_segment","churn_prob","churn_split","churn_priority","roc_auc_test"
"KH-00035","CỬA HÀNG XE ĐẠP TÂY BẮC","Đà Nẵng","Miền Trung","2025-01","2025-01-18","2025-03-28",3,4,63200000,15800000.0,2,33200000.0,"CITYBIKE_P|SPORTBIKE_S",0,0,1,4,5,4,"Khách hàng tiêu biểu",0.7995,"train","Cao",0.7754
"KH-00036","CÔNG TY TNHH THƯƠNG MẠI PHÚC AN","Hà Nội","Miền Bắc","2025-01","2025-01-20","2025-02-07",52,3,46324073,15441358.0,1,-16361111.0,"SPORTBIKE_A",0,0,1,1,5,3,"Cần chăm sóc đặc biệt",0.7708,"train","Cao",0.7754
"KH-00037","CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH","Hà Nội","Miền Bắc","2025-01","2025-01-20","2025-01-20",70,1,3879630,3879630.0,1,0.0,"SPORTBIKE_S",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9046,"train","Cao",0.7754
"KH-00038","DOANH NGHIỆP TW TÂN TIẾN","Thái Nguyên","Miền Bắc","2025-01","2025-01-20","2025-02-21",38,2,106679035,53339518.0,2,41979035.0,"CITYBIKE_P|SPORTBIKE_A",0,0,1,2,4,5,"Cần chăm sóc đặc biệt",0.8545,"train","Cao",0.7754
"KH-00039","CÔNG TY CỔ PHẦN ĐÔNG NAM","Phú Quốc","Miền Bắc","2025-01","2025-01-21","2025-01-21",69,1,153703695,153703695.0,3,0.0,"KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S",1,61250010,0,1,2,5,"Có nguy cơ rời bỏ",0.5899,"test","Trung bình",0.7754
"KH-00040","CÔNG TY TNHH VẠN LỢI","Vinh","Miền Bắc","2025-01","2025-01-21","2025-03-29",2,3,293400000,97800000.0,1,-69300000.0,"KIDBIKE_1",0,0,1,5,5,5,"Khách hàng tiêu biểu",0.602,"train","Cao",0.7754
"KH-00041","CỬA HÀNG XE ĐẠP ĐÔNG NAM","Thanh Hóa","Miền Trung","2025-01","2025-01-22","2025-01-22",68,1,11064815,11064815.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.8962,"train","Cao",0.7754
"KH-00042","HỘ KINH DOANH MẶT TRỜI","Hà Nội","Miền Bắc","2025-01","2025-01-22","2025-03-28",3,6,122314323,20385720.0,3,12413189.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S",5,191238282,0,4,5,5,"Khách hàng tiêu biểu",0.6305,"train","Cao",0.7754
"KH-00043","CÔNG TY TNHH LONG PHÚ","TP Đà Nẵng","Miền Bắc","2025-01","2025-01-22","2025-02-20",39,3,30650000,10216667.0,3,25930000.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S",0,0,1,1,5,2,"Cần chăm sóc đặc biệt",0.8537,"train","Cao",0.7754
"KH-00044","CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH","Tam Kỳ","Miền Bắc","2025-01","2025-01-23","2025-01-23",67,1,29250000,29250000.0,2,0.0,"CITYBIKE_P|KIDBIKE_1",2,71341187,0,1,2,2,"Có nguy cơ rời bỏ",0.8805,"train","Cao",0.7754
"KH-00045","CÔNG TY TNHH AN PHÁT","Quảng Nam","Miền Trung","2025-01","2025-01-23","2025-01-23",67,1,18111112,18111112.0,1,0.0,"SPORTBIKE_A",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8871,"test","Cao",0.7754
"KH-00046","CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI","Đồng Hới","Miền Bắc","2025-01","2025-01-24","2025-03-17",14,2,213842071,106921036.0,2,2487507.0,"CITYBIKE_P|KIDBIKE_1",3,315447424,0,2,4,5,"Cần chăm sóc đặc biệt",0.7317,"train","Cao",0.7754
"KH-00047","CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH","Vĩnh Phúc","Miền Bắc","2025-02","2025-02-04","2025-02-04",55,1,36180000,36180000.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,3,"Có nguy cơ rời bỏ",0.8635,"train","Cao",0.7754
"KH-00048","CÔNG TY TNHH THUỶ TIÊN","Hà Nội","Miền Bắc","2025-02","2025-02-05","2025-02-20",39,3,13277778,4425926.0,1,0.0,"CITYBIKE_P",2,13296296,0,1,5,1,"Cần chăm sóc đặc biệt",0.8084,"test","Cao",0.7754
"KH-00049","CÔNG TY CỔ PHẦN THUỶ TIÊN","Bắc Ninh","Miền Bắc","2025-02","2025-02-07","2025-03-28",3,3,87930080,29310027.0,4,-29393984.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S",4,69438877,0,4,5,4,"Khách hàng tiêu biểu",0.807,"train","Cao",0.7754
"KH-00050","CÔNG TY TNHH AN PHÁT","Hải Dương","Miền Bắc","2025-02","2025-02-07","2025-02-07",52,1,2305556,2305556.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9106,"train","Cao",0.7754
"KH-00051","CÔNG TY CỔ PHẦN KHẢI HOÀN","Hưng Yên","Miền Bắc","2025-02","2025-02-07","2025-02-07",52,1,4611111,4611111.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9079,"train","Cao",0.7754
"KH-00052","DOANH NGHIỆP TW TÂN TIẾN","Chí Linh","Miền Bắc","2025-02","2025-02-07","2025-02-07",52,1,2212963,2212963.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9107,"train","Cao",0.7754
"KH-00053","CÔNG TY TNHH TRƯỜNG THỊNH","Hà Nội","Miền Bắc","2025-02","2025-02-07","2025-02-07",52,1,3694444,3694444.0,1,0.0,"SPORTBIKE_S",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.909,"test","Cao",0.7754
"KH-00054","HỘ KINH DOANH TRÍ ĐỨC","Hà Nội","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,2398148,2398148.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9111,"train","Cao",0.7754
"KH-00055","CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC","Đắk Lắk","Miền Trung","2025-02","2025-02-10","2025-02-10",49,1,4983333,4983333.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9082,"test","Cao",0.7754
"KH-00056","DOANH NGHIỆP TW ĐÔNG NAM","Hà Nam","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,33090000,33090000.0,3,0.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8893,"train","Cao",0.7754
"KH-00057","CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG","Nam Định","Miền Bắc","2025-02","2025-02-10","2025-03-29",2,5,563575152,112715030.0,4,258464848.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A",0,0,1,5,5,5,"Khách hàng tiêu biểu",0.9415,"train","Cao",0.7754
"KH-00058","DOANH NGHIỆP TW SÁN LẠP","TP Hải Dương","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,24000000,24000000.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8839,"train","Cao",0.7754
"KH-00059","CÔNG TY TNHH TRÍ ĐỨC","Hải Dương","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,48680000,48680000.0,2,0.0,"CITYBIKE_P|KIDBIKE_1",0,0,1,1,2,3,"Có nguy cơ rời bỏ",0.8555,"train","Cao",0.7754
"KH-00060","CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI","Hà Nam","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,25550000,25550000.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8816,"train","Cao",0.7754
"KH-00061","HỘ KINH DOANH THUỶ TIÊN","Hòa Bình","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,13730000,13730000.0,3,0.0,"CITYBIKE_P|SPORTBIKE_A|SPORTBIKE_S",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.913,"test","Cao",0.7754
"KH-00062","CÔNG TY CỔ PHẦN YÊN BÌNH","Lạng Sơn","Miền Bắc","2025-02","2025-02-10","2025-03-31",0,2,119540000,59770000.0,5,-24140000.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",0,0,1,5,4,5,"Khách hàng tiêu biểu",0.8332,"train","Cao",0.7754
"KH-00063","HỘ KINH DOANH VẠN LỢI","Bắc Giang","Miền Bắc","2025-02","2025-02-10","2025-03-28",3,2,51715148,25857574.0,2,10484852.0,"SPORTBIKE_A|SPORTBIKE_S",0,0,1,4,4,3,"Khách hàng trung thành",0.8728,"train","Cao",0.7754
"KH-00064","CÔNG TY TNHH SƠN HÀ","Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương","Miền Bắc","2025-02","2025-02-10","2025-03-28",3,6,363062500,60510417.0,5,101262500.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",0,0,1,4,5,5,"Khách hàng tiêu biểu",0.8165,"test","Cao",0.7754
"KH-00065","CÔNG TY CỔ PHẦN QUANG VINH","Hà Nội","Miền Bắc","2025-02","2025-02-10","2025-03-25",6,8,550630000,68828750.0,5,386270000.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",0,0,1,3,5,5,"Cần theo dõi",0.957,"test","Cao",0.7754
"KH-00066","CÔNG TY CỔ PHẦN NGỌC ANH","Hà Nộ","Miền Bắc","2025-02","2025-02-10","2025-02-10",49,1,34390000,34390000.0,2,0.0,"CITYBIKE_P|KIDBIKE_1",0,0,1,1,2,2,"Có nguy cơ rời bỏ",0.8782,"train","Cao",0.7754
"KH-00067","DOANH NGHIỆP TW NGỌC ANH","Hà Nội","Miền Bắc","2025-02","2025-02-10","2025-03-31",0,9,213946302,23771811.0,5,76163340.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",0,0,1,5,5,5,"Khách hàng tiêu biểu",0.5149,"train","Trung bình",0.7754
"KH-00068","CÔNG TY CỔ PHẦN SÁN LẠP","Vĩnh Phúc","Miền Bắc","2025-02","2025-02-10","2025-03-18",13,3,48010000,16003333.0,2,-13030000.0,"CITYBIKE_P|KIDBIKE_2",0,0,1,2,5,3,"Cần chăm sóc đặc biệt",0.8069,"train","Cao",0.7754
"KH-00069","CÔNG TY TNHH MINH PHƯƠNG","Hà Nội","Miền Bắc","2025-02","2025-02-11","2025-02-18",41,2,11074074,5537037.0,1,0.0,"CITYBIKE_P",1,5537037,0,1,4,1,"Cần chăm sóc đặc biệt",0.8661,"test","Cao",0.7754
"KH-00070","CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH","TP. Hồ Chí Minh","Miền Nam","2025-02","2025-02-13","2025-02-13",46,1,8851852,8851852.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9044,"train","Cao",0.7754
"KH-00071","CỬA HÀNG XE ĐẠP BÌNH MINH","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,3509259,3509259.0,1,0.0,"SPORTBIKE_S",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9108,"test","Cao",0.7754
"KH-00072","DOANH NGHIỆP TW PHÚC AN","Hà Tĩnh","Miền Trung","2025-02","2025-02-14","2025-02-14",45,1,3450000,3450000.0,1,0.0,"CITYBIKE_P",1,12611109,0,1,2,1,"Có nguy cơ rời bỏ",0.9109,"train","Cao",0.7754
"KH-00073","CỬA HÀNG XE ĐẠP KHẢI HOÀN","Thanh Hoá","Miền Trung","2025-02","2025-02-14","2025-03-31",0,2,62612500,31306250.0,2,-7507500.0,"CITYBIKE_P|SPORTBIKE_S",0,0,1,5,4,4,"Khách hàng tiêu biểu",0.852,"train","Cao",0.7754
"KH-00074","CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH","Hòa Bình","Miền Bắc","2025-02","2025-02-14","2025-03-20",11,2,25831481,12915740.0,3,-5031481.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2",2,22655085,0,2,4,2,"Cần chăm sóc đặc biệt",0.8826,"test","Cao",0.7754
"KH-00075","CÔNG TY CỔ PHẦN ĐÔNG NAM","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-03-27",4,5,312855405,62571081.0,4,106875405.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_A|SPORTBIKE_S",2,54772209,0,4,5,5,"Khách hàng tiêu biểu",0.8439,"train","Cao",0.7754
"KH-00076","CỬA HÀNG XE ĐẠP ĐẠI LỢI","Bắc Giang","Miền Bắc","2025-02","2025-02-14","2025-03-20",11,3,142017573,47339191.0,4,-18300573.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A",8,1029202138,0,2,5,5,"Cần chăm sóc đặc biệt",0.7965,"train","Cao",0.7754
"KH-00077","CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,35020000,35020000.0,2,0.0,"CITYBIKE_P|KIDBIKE_1",0,0,1,1,2,3,"Có nguy cơ rời bỏ",0.8785,"train","Cao",0.7754
"KH-00078","HỘ KINH DOANH VĨNH PHÁT","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-03-31",0,12,226371529,18864294.0,5,28776719.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",5,75514516,0,5,5,5,"Khách hàng tiêu biểu",0.1785,"train","Thấp",0.7754
"KH-00079","CÔNG TY TNHH ĐÔNG NAM","Bắc Giang","Miền Bắc","2025-02","2025-02-14","2025-03-17",14,2,82316430,41158215.0,5,-37976430.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_A|SPORTBIKE_S",6,173431258,0,2,4,4,"Cần chăm sóc đặc biệt",0.8407,"train","Cao",0.7754
"KH-00080","HỘ KINH DOANH VĨNH PHÁT","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,60020000,60020000.0,1,0.0,"CITYBIKE_P",0,0,1,1,2,4,"Có nguy cơ rời bỏ",0.8239,"test","Cao",0.7754
"KH-00081","CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN","Hưng Yên","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,45220000,45220000.0,4,0.0,"CITYBIKE_P|KIDBIKE_1|KIDBIKE_2|SPORTBIKE_S",0,0,1,1,2,3,"Có nguy cơ rời bỏ",0.8826,"test","Cao",0.7754
"KH-00082","CÔNG TY TNHH THƯƠNG MẠI PHÚC AN","Vĩnh Phúc","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,43600000,43600000.0,2,0.0,"CITYBIKE_P|SPORTBIKE_A",0,0,1,1,2,3,"Có nguy cơ rời bỏ",0.8653,"train","Cao",0.7754
"KH-00083","CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH","Hưng Yên","Miền Bắc","2025-02","2025-02-14","2025-03-19",12,2,141400000,70700000.0,3,62500000.0,"CITYBIKE_P|KIDBIKE_1|SPORTBIKE_S",0,0,1,2,4,5,"Cần chăm sóc đặc biệt",0.8697,"train","Cao",0.7754
"KH-00084","CỬA HÀNG XE ĐẠP TOÀN THẮNG","Hưng Yên","Miền Bắc","2025-02","2025-02-14","2025-02-14",45,1,17860000,17860000.0,2,0.0,"CITYBIKE_P|KIDBIKE_1",0,0,1,1,2,1,"Có nguy cơ rời bỏ",0.9016,"train","Cao",0.7754
"KH-00085","CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH","Hà Nội","Miền Bắc","2025-02","2025-02-14","2025-03-27",4,2,46780000,23390000.0,2,-740000.0,"CITYBIKE_P|SPORTBIKE_S",0,0,1,4,4,3,"Khách hàng trung thành",0.8664,"train","Cao",0.7754
