"color","group_code","group_name","fiscal_year","fiscal_month","revenue","quantity","n_orders","ym"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2026,2,871861806.0,542.0,145,"2026-02"
"Café/nâu","CITYBIKE_P","Xe phổ thông",2026,3,1929743125.0,1235.0,305,"2026-03"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2025,1,9479443.0,10.0,5,"2025-01"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2025,2,52807772.0,62.0,21,"2025-02"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2025,3,103618325.0,147.0,46,"2025-03"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2026,1,4788885.0,5.0,3,"2026-01"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2026,2,156901017.0,159.0,57,"2026-02"
"Café/nâu","KIDBIKE_2","Xe trẻ em nhóm 2",2026,3,150499338.0,160.0,58,"2026-03"
"Cam","CITYBIKE_P","Xe phổ thông",2025,1,25866296.0,16.0,8,"2025-01"
"Cam","CITYBIKE_P","Xe phổ thông",2025,2,60979537.0,45.0,20,"2025-02"
"Cam","CITYBIKE_P","Xe phổ thông",2025,3,135153234.0,104.0,35,"2025-03"
"Cam","CITYBIKE_P","Xe phổ thông",2026,1,164074023.0,103.0,39,"2026-01"
"Cam","CITYBIKE_P","Xe phổ thông",2026,2,107747180.0,69.0,30,"2026-02"
"Cam","CITYBIKE_P","Xe phổ thông",2026,3,303160438.0,193.0,67,"2026-03"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2025,1,3400833.0,3.0,3,"2025-01"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2025,2,13068889.0,16.0,7,"2025-02"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2025,3,35603332.0,56.0,26,"2025-03"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2026,1,54506657.0,51.0,23,"2026-01"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2026,2,46889976.0,47.0,24,"2026-02"
"Cam","KIDBIKE_2","Xe trẻ em nhóm 2",2026,3,62177460.0,73.0,30,"2026-03"
"Cam","SPORTBIKE_A","Xe thể thao nhôm",2025,1,14981481.0,2.0,1,"2025-01"
"Cam","SPORTBIKE_A","Xe thể thao nhôm",2025,2,49681481.0,10.0,5,"2025-02"
"Cam","SPORTBIKE_A","Xe thể thao nhôm",2025,3,41090741.0,15.0,7,"2025-03"
"Cam","SPORTBIKE_A","Xe thể thao nhôm",2026,3,20760000.0,10.0,6,"2026-03"
"Cam","SPORTBIKE_S","Xe thể thao thép",2025,1,19221111.0,8.0,4,"2025-01"
"Cam","SPORTBIKE_S","Xe thể thao thép",2025,3,59482963.0,42.0,6,"2025-03"
"Cam","SPORTBIKE_S","Xe thể thao thép",2026,3,5120000.0,4.0,2,"2026-03"
"Coban","CITYBIKE_P","Xe phổ thông",2025,1,409569258.0,250.0,9,"2025-01"
"Coban","CITYBIKE_P","Xe phổ thông",2025,2,98240555.0,78.0,26,"2025-02"
"Coban","CITYBIKE_P","Xe phổ thông",2025,3,299331848.0,239.0,78,"2025-03"
"Coban","CITYBIKE_P","Xe phổ thông",2026,1,302633286.0,197.0,53,"2026-01"
"Coban","CITYBIKE_P","Xe phổ thông",2026,2,502661051.0,323.0,48,"2026-02"
"Coban","CITYBIKE_P","Xe phổ thông",2026,3,523406341.0,351.0,116,"2026-03"
"Coban","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,30734445.0,24.0,2,"2025-01"
"Coban","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,7497685.0,7.0,4,"2025-02"
"Coban","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,72745370.0,69.0,13,"2025-03"
"Coban","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,25555553.0,23.0,9,"2026-01"
"Ghi","CITYBIKE_P","Xe phổ thông",2025,1,103154444.0,61.0,10,"2025-01"
"Ghi","CITYBIKE_P","Xe phổ thông",2025,2,338358055.0,266.0,69,"2025-02"
"Ghi","CITYBIKE_P","Xe phổ thông",2025,3,905650924.0,719.0,199,"2025-03"
"Ghi","CITYBIKE_P","Xe phổ thông",2026,1,1289065062.0,770.0,167,"2026-01"
"Ghi","CITYBIKE_P","Xe phổ thông",2026,2,1054119101.0,638.0,167,"2026-02"
"Ghi","CITYBIKE_P","Xe phổ thông",2026,3,1632978721.0,1038.0,259,"2026-03"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,2400000.0,2.0,1,"2025-01"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,66000000.0,55.0,20,"2025-02"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,187179165.0,156.0,75,"2025-03"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,127384701.0,107.0,52,"2026-01"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,143749589.0,120.0,57,"2026-02"
"Ghi","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,362895649.0,311.0,81,"2026-03"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2025,1,30777779.0,9.0,3,"2025-01"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2025,2,75045825.0,30.0,18,"2025-02"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2025,3,318882009.0,135.0,63,"2025-03"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2026,1,73006475.0,29.0,14,"2026-01"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2026,2,53287585.0,19.0,3,"2026-02"
"Ghi","SPORTBIKE_A","Xe thể thao nhôm",2026,3,383498130.0,166.0,38,"2026-03"
"Ghi","SPORTBIKE_S","Xe thể thao thép",2025,1,35315465.0,14.0,4,"2025-01"
"Ghi","SPORTBIKE_S","Xe thể thao thép",2025,2,1320000.0,1.0,1,"2025-02"
"Ghi","SPORTBIKE_S","Xe thể thao thép",2025,3,88992072.0,56.0,15,"2025-03"
"Ghi","SPORTBIKE_S","Xe thể thao thép",2026,2,3231481.0,1.0,1,"2026-02"
"Ghi","SPORTBIKE_S","Xe thể thao thép",2026,3,5080000.0,4.0,2,"2026-03"
"HP","CITYBIKE_P","Xe phổ thông",2026,1,270833332.0,150.0,1,"2026-01"
"Hồng","CITYBIKE_P","Xe phổ thông",2025,1,12830000.0,11.0,3,"2025-01"
"Hồng","CITYBIKE_P","Xe phổ thông",2025,2,117938981.0,102.0,39,"2025-02"
"Hồng","CITYBIKE_P","Xe phổ thông",2025,3,284587962.0,245.0,89,"2025-03"
"Hồng","CITYBIKE_P","Xe phổ thông",2026,1,172802910.0,109.0,46,"2026-01"
"Hồng","CITYBIKE_P","Xe phổ thông",2026,2,201196198.0,130.0,49,"2026-02"
"Hồng","CITYBIKE_P","Xe phổ thông",2026,3,546058314.0,360.0,117,"2026-03"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,41358334.0,27.0,8,"2025-01"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,144386110.0,137.0,55,"2025-02"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,547987776.0,471.0,135,"2025-03"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,620275977.0,500.0,134,"2026-01"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,428725627.0,334.0,92,"2026-02"
"Hồng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,1151839084.0,882.0,219,"2026-03"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2025,1,50611108.0,55.0,13,"2025-01"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2025,2,107863880.0,176.0,43,"2025-02"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2025,3,217983696.0,370.0,83,"2025-03"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2026,1,170693510.0,196.0,64,"2026-01"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2026,2,486296485.0,540.0,107,"2026-02"
"Hồng","KIDBIKE_2","Xe trẻ em nhóm 2",2026,3,405933307.0,480.0,96,"2026-03"
"Kem","CITYBIKE_P","Xe phổ thông",2025,1,82075360.0,61.0,11,"2025-01"
"Kem","CITYBIKE_P","Xe phổ thông",2025,2,838070159.0,668.0,108,"2025-02"
"Kem","CITYBIKE_P","Xe phổ thông",2025,3,2309577607.0,1894.0,311,"2025-03"
"Kem","CITYBIKE_P","Xe phổ thông",2026,1,2786442957.0,1681.0,253,"2026-01"
"Kem","CITYBIKE_P","Xe phổ thông",2026,2,3059294878.0,1873.0,268,"2026-02"
"Kem","CITYBIKE_P","Xe phổ thông",2026,3,6042413772.0,3758.0,606,"2026-03"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,10790275.0,9.0,3,"2025-01"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,82168055.0,78.0,41,"2025-02"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,250339716.0,235.0,104,"2025-03"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,246754659.0,194.0,72,"2026-01"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,243707139.0,186.0,80,"2026-02"
"Kem","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,416429880.0,343.0,100,"2026-03"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2025,1,7500000.0,15.0,1,"2025-01"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2025,2,10500000.0,21.0,9,"2025-02"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2025,3,10500000.0,21.0,12,"2025-03"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2026,1,46744058.0,56.0,26,"2026-01"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2026,2,35408676.0,41.0,24,"2026-02"
"Kem","KIDBIKE_2","Xe trẻ em nhóm 2",2026,3,161708263.0,200.0,67,"2026-03"
"Ngọc","CITYBIKE_P","Xe phổ thông",2025,1,56116667.0,37.0,2,"2025-01"
"Ngọc","CITYBIKE_P","Xe phổ thông",2025,2,243533332.0,187.0,26,"2025-02"
"Ngọc","CITYBIKE_P","Xe phổ thông",2025,3,175500000.0,135.0,30,"2025-03"
"Ngọc","CITYBIKE_P","Xe phổ thông",2026,1,697360911.0,451.0,61,"2026-01"
"Ngọc","CITYBIKE_P","Xe phổ thông",2026,2,481067425.0,311.0,43,"2026-02"
"Ngọc","CITYBIKE_P","Xe phổ thông",2026,3,502889633.0,328.0,48,"2026-03"
"Tem cam","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,22000000.0,20.0,1,"2025-03"
"Tem cam","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,2300000.0,2.0,1,"2026-03"
"Tem cam","SPORTBIKE_S","Xe thể thao thép",2025,1,212829629.0,88.0,3,"2025-01"
"Tem cam","SPORTBIKE_S","Xe thể thao thép",2025,2,9601388.0,7.0,7,"2025-02"
"Tem cam","SPORTBIKE_S","Xe thể thao thép",2025,3,8100462.0,6.0,5,"2025-03"
"Tem cam","SPORTBIKE_S","Xe thể thao thép",2026,3,17940000.0,14.0,7,"2026-03"
"Tem đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,37798606.0,17.0,5,"2025-01"
"Tem đỏ","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,22000000.0,20.0,1,"2025-03"
"Tem đỏ","SPORTBIKE_S","Xe thể thao thép",2025,1,202222222.0,78.0,1,"2025-01"
"Tem đỏ","SPORTBIKE_S","Xe thể thao thép",2026,3,17100000.0,9.0,5,"2026-03"
"Trắng","CITYBIKE_P","Xe phổ thông",2025,1,106623051.0,68.0,9,"2025-01"
"Trắng","CITYBIKE_P","Xe phổ thông",2025,2,406931184.0,300.0,87,"2025-02"
"Trắng","CITYBIKE_P","Xe phổ thông",2025,3,1129436591.0,914.0,217,"2025-03"
"Trắng","CITYBIKE_P","Xe phổ thông",2026,1,1027491488.0,619.0,169,"2026-01"
"Trắng","CITYBIKE_P","Xe phổ thông",2026,2,940149343.0,566.0,154,"2026-02"
"Trắng","CITYBIKE_P","Xe phổ thông",2026,3,2667268943.0,1650.0,360,"2026-03"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,3150000.0,3.0,2,"2025-01"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,33868055.0,32.0,19,"2025-02"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,222503605.0,209.0,63,"2025-03"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,132646361.0,105.0,51,"2026-01"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,111008306.0,86.0,44,"2026-02"
"Trắng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,195591608.0,159.0,59,"2026-03"
"Trắng","SPORTBIKE_S","Xe thể thao thép",2025,1,124461385.0,56.0,11,"2025-01"
"Trắng","SPORTBIKE_S","Xe thể thao thép",2025,2,5689444.0,2.0,1,"2025-02"
"Trắng","SPORTBIKE_S","Xe thể thao thép",2025,3,73962777.0,26.0,9,"2025-03"
"Tím","CITYBIKE_P","Xe phổ thông",2025,1,1180000.0,1.0,1,"2025-01"
"Tím","CITYBIKE_P","Xe phổ thông",2025,2,77805184.0,66.0,26,"2025-02"
"Tím","CITYBIKE_P","Xe phổ thông",2025,3,210892312.0,180.0,56,"2025-03"
"Tím","CITYBIKE_P","Xe phổ thông",2026,1,177385504.0,111.0,43,"2026-01"
"Tím","CITYBIKE_P","Xe phổ thông",2026,2,146992126.0,95.0,41,"2026-02"
"Tím","CITYBIKE_P","Xe phổ thông",2026,3,284128232.0,192.0,58,"2026-03"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,4495833.0,3.0,1,"2025-01"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,3550556.0,2.0,1,"2025-02"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,30502779.0,27.0,12,"2025-03"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,19999998.0,18.0,3,"2026-01"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,2222222.0,2.0,1,"2026-02"
"Tím","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,6666666.0,6.0,3,"2026-03"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,26474070.0,12.0,2,"2025-01"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,31950000.0,28.0,14,"2025-02"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,117997685.0,100.0,53,"2025-03"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,91921740.0,77.0,40,"2026-01"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,75346829.0,63.0,35,"2026-02"
"Vàng","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,191207817.0,164.0,45,"2026-03"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,11840275.0,10.0,4,"2025-01"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,70580000.0,66.0,32,"2025-02"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,401110549.0,300.0,109,"2025-03"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,371912616.0,250.0,89,"2026-01"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,293664176.0,217.0,85,"2026-02"
"Xanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,520076706.0,385.0,131,"2026-03"
"Xanh","SPORTBIKE_A","Xe thể thao nhôm",2025,1,30095707.0,7.0,3,"2025-01"
"Xanh","SPORTBIKE_A","Xe thể thao nhôm",2025,2,29003787.0,9.0,8,"2025-02"
"Xanh","SPORTBIKE_A","Xe thể thao nhôm",2025,3,106669485.0,33.0,20,"2025-03"
"Xanh","SPORTBIKE_A","Xe thể thao nhôm",2026,3,6600000.0,2.0,1,"2026-03"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2025,1,72000000.0,60.0,1,"2025-01"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2025,2,36000000.0,30.0,23,"2025-02"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2025,3,111149408.0,80.0,43,"2025-03"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2026,1,45471096.0,24.0,14,"2026-01"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2026,2,47500000.0,24.0,18,"2026-02"
"Xanh","SPORTBIKE_S","Xe thể thao thép",2026,3,253163148.0,127.0,65,"2026-03"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2025,1,1200000.0,1.0,1,"2025-01"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2025,2,70418518.0,52.0,28,"2025-02"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2025,3,279680923.0,204.0,74,"2025-03"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2026,1,243677465.0,141.0,56,"2026-01"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2026,2,248975880.0,149.0,63,"2026-02"
"Xanh Santorini","CITYBIKE_P","Xe phổ thông",2026,3,492800472.0,305.0,101,"2026-03"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2025,1,4500000.0,4.0,1,"2025-01"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2025,2,132051852.0,112.0,33,"2025-02"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2025,3,306851850.0,265.0,80,"2025-03"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2026,1,278668465.0,187.0,54,"2026-01"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2026,2,211882355.0,141.0,44,"2026-02"
"Xanh Tím","CITYBIKE_P","Xe phổ thông",2026,3,600372065.0,408.0,112,"2026-03"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2025,1,112678702.0,62.0,12,"2025-01"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2025,2,177858148.0,134.0,54,"2025-02"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2025,3,427074537.0,327.0,140,"2025-03"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2026,1,138599975.0,77.0,42,"2026-01"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2026,2,110423864.0,63.0,40,"2026-02"
"Xanh dương","CITYBIKE_P","Xe phổ thông",2026,3,175407000.0,102.0,40,"2026-03"
"Xanh dương","KIDBIKE_1","Xe trẻ em nhóm 1",2025,1,186754167.0,104.0,2,"2025-01"
"Xanh dương","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,97950000.0,69.0,20,"2025-02"
"Xanh dương","KIDBIKE_1","Xe trẻ em nhóm 1",2025,3,197254167.0,169.0,54,"2025-03"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2025,1,48475556.0,45.0,9,"2025-01"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2025,2,122775916.0,187.0,41,"2025-02"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2025,3,327824162.0,523.0,101,"2025-03"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2026,1,182459913.0,188.0,71,"2026-01"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2026,2,476818523.0,514.0,108,"2026-02"
"Xanh dương","KIDBIKE_2","Xe trẻ em nhóm 2",2026,3,408248482.0,479.0,117,"2026-03"
"Xanh dương","SPORTBIKE_A","Xe thể thao nhôm",2025,2,18200000.0,5.0,4,"2025-02"
"Xanh dương","SPORTBIKE_A","Xe thể thao nhôm",2025,3,2400000.0,1.0,1,"2025-03"
"Xanh dương","SPORTBIKE_A","Xe thể thao nhôm",2026,3,8280000.0,4.0,2,"2026-03"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2025,1,37622220.0,12.0,2,"2025-01"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2025,2,50943239.0,27.0,18,"2025-02"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2025,3,211633334.0,114.0,29,"2025-03"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2026,1,28727407.0,10.0,8,"2026-01"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2026,2,5432222.0,2.0,2,"2026-02"
"Xanh dương","SPORTBIKE_S","Xe thể thao thép",2026,3,42070739.0,17.0,11,"2026-03"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2025,1,30638791.0,22.0,8,"2025-01"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2025,2,274932404.0,228.0,60,"2025-02"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2025,3,613183027.0,517.0,159,"2025-03"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2026,1,448927767.0,283.0,94,"2026-01"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2026,2,578225625.0,355.0,103,"2026-02"
"Xanh mint","CITYBIKE_P","Xe phổ thông",2026,3,1187813755.0,781.0,210,"2026-03"
"Xanh nước biển","CITYBIKE_P","Xe phổ thông",2025,3,2500000.0,2.0,1,"2025-03"
"bóng","SPORTBIKE_S","Xe thể thao thép",2025,1,1450000.0,1.0,1,"2025-01"
"bóng","SPORTBIKE_S","Xe thể thao thép",2025,2,14302314.0,9.0,7,"2025-02"
"bóng","SPORTBIKE_S","Xe thể thao thép",2025,3,30450000.0,21.0,10,"2025-03"
"bóng","SPORTBIKE_S","Xe thể thao thép",2026,1,30030000.0,11.0,9,"2026-01"
"bóng","SPORTBIKE_S","Xe thể thao thép",2026,2,9589629.0,3.0,3,"2026-02"
"bóng","SPORTBIKE_S","Xe thể thao thép",2026,3,48889998.0,18.0,11,"2026-03"
"cam","SPORTBIKE_S","Xe thể thao thép",2025,3,42536000.0,16.0,8,"2025-03"
"cam","SPORTBIKE_S","Xe thể thao thép",2026,3,3320000.0,2.0,1,"2026-03"
"chanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,1,14019996.0,11.0,9,"2026-01"
"chanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,2,25353608.0,19.0,10,"2026-02"
"chanh","KIDBIKE_1","Xe trẻ em nhóm 1",2026,3,73412479.0,60.0,27,"2026-03"
"mờ","SPORTBIKE_S","Xe thể thao thép",2025,1,2600000.0,2.0,2,"2025-01"
"mờ","SPORTBIKE_S","Xe thể thao thép",2025,2,29829166.0,19.0,11,"2025-02"
"mờ","SPORTBIKE_S","Xe thể thao thép",2025,3,69502315.0,51.0,19,"2025-03"
"mờ","SPORTBIKE_S","Xe thể thao thép",2026,1,28893324.0,12.0,6,"2026-01"
"mờ","SPORTBIKE_S","Xe thể thao thép",2026,2,2393888.0,1.0,1,"2026-02"
"mờ","SPORTBIKE_S","Xe thể thao thép",2026,3,21544992.0,9.0,5,"2026-03"
"rêu","SPORTBIKE_S","Xe thể thao thép",2025,2,9021759.0,6.0,5,"2025-02"
"rêu","SPORTBIKE_S","Xe thể thao thép",2025,3,51319444.0,37.0,11,"2025-03"
"rêu","SPORTBIKE_S","Xe thể thao thép",2026,1,21669993.0,9.0,6,"2026-01"
"rêu","SPORTBIKE_S","Xe thể thao thép",2026,2,2393888.0,1.0,1,"2026-02"
"rêu","SPORTBIKE_S","Xe thể thao thép",2026,3,2393888.0,1.0,1,"2026-03"
"trắng","SPORTBIKE_S","Xe thể thao thép",2025,3,42536000.0,16.0,9,"2025-03"
"trắng","SPORTBIKE_S","Xe thể thao thép",2026,3,3480000.0,2.0,1,"2026-03"
"trời","KIDBIKE_1","Xe trẻ em nhóm 1",2025,2,5881944.0,3.0,1,"2025-02"
"trời","SPORTBIKE_A","Xe thể thao nhôm",2025,2,91093055.0,42.0,10,"2025-02"
"trời","SPORTBIKE_A","Xe thể thao nhôm",2025,3,488986502.0,156.0,56,"2025-03"
"trời","SPORTBIKE_A","Xe thể thao nhôm",2026,1,23978331.0,9.0,5,"2026-01"
"trời","SPORTBIKE_A","Xe thể thao nhôm",2026,3,26600000.0,19.0,7,"2026-03"
"trời","SPORTBIKE_S","Xe thể thao thép",2025,1,9952963.0,4.0,1,"2025-01"
"trời","SPORTBIKE_S","Xe thể thao thép",2025,3,2100462.0,1.0,1,"2025-03"
"tím","SPORTBIKE_S","Xe thể thao thép",2025,3,66462500.0,25.0,14,"2025-03"
"vàng","SPORTBIKE_S","Xe thể thao thép",2025,1,2488241.0,1.0,1,"2025-01"
"xanh","SPORTBIKE_S","Xe thể thao thép",2025,1,7409259.0,4.0,4,"2025-01"
"xanh","SPORTBIKE_S","Xe thể thao thép",2025,2,33409259.0,24.0,16,"2025-02"
"xanh","SPORTBIKE_S","Xe thể thao thép",2025,3,148902000.0,102.0,48,"2025-03"
"xanh","SPORTBIKE_S","Xe thể thao thép",2026,1,2302222.0,1.0,1,"2026-01"
