"color","group_code","fiscal_year","fiscal_month","revenue","quantity","ym","color_share_pct"
"Café/nâu","CITYBIKE_P",2025,3,1140590429.0,959.0,"2025-03",6.38
"Café/nâu","CITYBIKE_P",2026,1,930139898.0,580.0,"2026-01",6.62
"Café/nâu","CITYBIKE_P",2026,2,871861806.0,542.0,"2026-02",6.37
"Café/nâu","CITYBIKE_P",2026,3,1929743125.0,1235.0,"2026-03",6.71
"Café/nâu","KIDBIKE_2",2025,1,9479443.0,10.0,"2025-01",0.32
"Café/nâu","KIDBIKE_2",2025,2,52807772.0,62.0,"2025-02",0.85
"Café/nâu","KIDBIKE_2",2025,3,103618325.0,147.0,"2025-03",0.58
"Café/nâu","KIDBIKE_2",2026,1,4788885.0,5.0,"2026-01",0.03
"Café/nâu","KIDBIKE_2",2026,2,156901017.0,159.0,"2026-02",1.15
"Café/nâu","KIDBIKE_2",2026,3,150499338.0,160.0,"2026-03",0.52
"Cam","CITYBIKE_P",2025,1,25866296.0,16.0,"2025-01",0.88
"Cam","CITYBIKE_P",2025,2,60979537.0,45.0,"2025-02",0.98
"Cam","CITYBIKE_P",2025,3,135153234.0,104.0,"2025-03",0.76
"Cam","CITYBIKE_P",2026,1,164074023.0,103.0,"2026-01",1.17
"Cam","CITYBIKE_P",2026,2,107747180.0,69.0,"2026-02",0.79
"Cam","CITYBIKE_P",2026,3,303160438.0,193.0,"2026-03",1.05
"Cam","KIDBIKE_2",2025,1,3400833.0,3.0,"2025-01",0.12
"Cam","KIDBIKE_2",2025,2,13068889.0,16.0,"2025-02",0.21
"Cam","KIDBIKE_2",2025,3,35603332.0,56.0,"2025-03",0.2
"Cam","KIDBIKE_2",2026,1,54506657.0,51.0,"2026-01",0.39
"Cam","KIDBIKE_2",2026,2,46889976.0,47.0,"2026-02",0.34
"Cam","KIDBIKE_2",2026,3,62177460.0,73.0,"2026-03",0.22
"Cam","SPORTBIKE_A",2025,1,14981481.0,2.0,"2025-01",0.51
"Cam","SPORTBIKE_A",2025,2,49681481.0,10.0,"2025-02",0.8
"Cam","SPORTBIKE_A",2025,3,41090741.0,15.0,"2025-03",0.23
"Cam","SPORTBIKE_A",2026,3,20760000.0,10.0,"2026-03",0.07
"Cam","SPORTBIKE_S",2025,1,19221111.0,8.0,"2025-01",0.65
"Cam","SPORTBIKE_S",2025,3,59482963.0,42.0,"2025-03",0.33
"Cam","SPORTBIKE_S",2026,3,5120000.0,4.0,"2026-03",0.02
"Coban","CITYBIKE_P",2025,1,409569258.0,250.0,"2025-01",13.94
"Coban","CITYBIKE_P",2025,2,98240555.0,78.0,"2025-02",1.59
"Coban","CITYBIKE_P",2025,3,299331848.0,239.0,"2025-03",1.68
"Coban","CITYBIKE_P",2026,1,302633286.0,197.0,"2026-01",2.15
"Coban","CITYBIKE_P",2026,2,502661051.0,323.0,"2026-02",3.67
"Coban","CITYBIKE_P",2026,3,523406341.0,351.0,"2026-03",1.82
"Coban","KIDBIKE_1",2025,1,30734445.0,24.0,"2025-01",1.05
"Coban","KIDBIKE_1",2025,2,7497685.0,7.0,"2025-02",0.12
"Coban","KIDBIKE_1",2025,3,72745370.0,69.0,"2025-03",0.41
"Coban","KIDBIKE_1",2026,1,25555553.0,23.0,"2026-01",0.18
"Ghi","CITYBIKE_P",2025,1,103154444.0,61.0,"2025-01",3.51
"Ghi","CITYBIKE_P",2025,2,338358055.0,266.0,"2025-02",5.46
"Ghi","CITYBIKE_P",2025,3,905650924.0,719.0,"2025-03",5.07
"Ghi","CITYBIKE_P",2026,1,1289065062.0,770.0,"2026-01",9.18
"Ghi","CITYBIKE_P",2026,2,1054119101.0,638.0,"2026-02",7.7
"Ghi","CITYBIKE_P",2026,3,1632978721.0,1038.0,"2026-03",5.67
"Ghi","KIDBIKE_1",2025,1,2400000.0,2.0,"2025-01",0.08
"Ghi","KIDBIKE_1",2025,2,66000000.0,55.0,"2025-02",1.07
"Ghi","KIDBIKE_1",2025,3,187179165.0,156.0,"2025-03",1.05
"Ghi","KIDBIKE_1",2026,1,127384701.0,107.0,"2026-01",0.91
"Ghi","KIDBIKE_1",2026,2,143749589.0,120.0,"2026-02",1.05
"Ghi","KIDBIKE_1",2026,3,362895649.0,311.0,"2026-03",1.26
"Ghi","SPORTBIKE_A",2025,1,30777779.0,9.0,"2025-01",1.05
"Ghi","SPORTBIKE_A",2025,2,75045825.0,30.0,"2025-02",1.21
"Ghi","SPORTBIKE_A",2025,3,318882009.0,135.0,"2025-03",1.78
"Ghi","SPORTBIKE_A",2026,1,73006475.0,29.0,"2026-01",0.52
"Ghi","SPORTBIKE_A",2026,2,53287585.0,19.0,"2026-02",0.39
"Ghi","SPORTBIKE_A",2026,3,383498130.0,166.0,"2026-03",1.33
"Ghi","SPORTBIKE_S",2025,1,35315465.0,14.0,"2025-01",1.2
"Ghi","SPORTBIKE_S",2025,2,1320000.0,1.0,"2025-02",0.02
"Ghi","SPORTBIKE_S",2025,3,88992072.0,56.0,"2025-03",0.5
"Ghi","SPORTBIKE_S",2026,2,3231481.0,1.0,"2026-02",0.02
"Ghi","SPORTBIKE_S",2026,3,5080000.0,4.0,"2026-03",0.02
"HP","CITYBIKE_P",2026,1,270833332.0,150.0,"2026-01",1.93
"Hồng","CITYBIKE_P",2025,1,12830000.0,11.0,"2025-01",0.44
"Hồng","CITYBIKE_P",2025,2,117938981.0,102.0,"2025-02",1.9
"Hồng","CITYBIKE_P",2025,3,284587962.0,245.0,"2025-03",1.59
"Hồng","CITYBIKE_P",2026,1,172802910.0,109.0,"2026-01",1.23
"Hồng","CITYBIKE_P",2026,2,201196198.0,130.0,"2026-02",1.47
"Hồng","CITYBIKE_P",2026,3,546058314.0,360.0,"2026-03",1.9
"Hồng","KIDBIKE_1",2025,1,41358334.0,27.0,"2025-01",1.41
"Hồng","KIDBIKE_1",2025,2,144386110.0,137.0,"2025-02",2.33
"Hồng","KIDBIKE_1",2025,3,547987776.0,471.0,"2025-03",3.07
"Hồng","KIDBIKE_1",2026,1,620275977.0,500.0,"2026-01",4.42
"Hồng","KIDBIKE_1",2026,2,428725627.0,334.0,"2026-02",3.13
"Hồng","KIDBIKE_1",2026,3,1151839084.0,882.0,"2026-03",4.0
"Hồng","KIDBIKE_2",2025,1,50611108.0,55.0,"2025-01",1.72
"Hồng","KIDBIKE_2",2025,2,107863880.0,176.0,"2025-02",1.74
"Hồng","KIDBIKE_2",2025,3,217983696.0,370.0,"2025-03",1.22
"Hồng","KIDBIKE_2",2026,1,170693510.0,196.0,"2026-01",1.21
"Hồng","KIDBIKE_2",2026,2,486296485.0,540.0,"2026-02",3.55
"Hồng","KIDBIKE_2",2026,3,405933307.0,480.0,"2026-03",1.41
"Kem","CITYBIKE_P",2025,1,82075360.0,61.0,"2025-01",2.79
"Kem","CITYBIKE_P",2025,2,838070159.0,668.0,"2025-02",13.53
"Kem","CITYBIKE_P",2025,3,2309577607.0,1894.0,"2025-03",12.93
"Kem","CITYBIKE_P",2026,1,2786442957.0,1681.0,"2026-01",19.83
"Kem","CITYBIKE_P",2026,2,3059294878.0,1873.0,"2026-02",22.34
"Kem","CITYBIKE_P",2026,3,6042413772.0,3758.0,"2026-03",21.0
"Kem","KIDBIKE_1",2025,1,10790275.0,9.0,"2025-01",0.37
"Kem","KIDBIKE_1",2025,2,82168055.0,78.0,"2025-02",1.33
"Kem","KIDBIKE_1",2025,3,250339716.0,235.0,"2025-03",1.4
"Kem","KIDBIKE_1",2026,1,246754659.0,194.0,"2026-01",1.76
"Kem","KIDBIKE_1",2026,2,243707139.0,186.0,"2026-02",1.78
"Kem","KIDBIKE_1",2026,3,416429880.0,343.0,"2026-03",1.45
"Kem","KIDBIKE_2",2025,1,7500000.0,15.0,"2025-01",0.26
"Kem","KIDBIKE_2",2025,2,10500000.0,21.0,"2025-02",0.17
"Kem","KIDBIKE_2",2025,3,10500000.0,21.0,"2025-03",0.06
"Kem","KIDBIKE_2",2026,1,46744058.0,56.0,"2026-01",0.33
"Kem","KIDBIKE_2",2026,2,35408676.0,41.0,"2026-02",0.26
"Kem","KIDBIKE_2",2026,3,161708263.0,200.0,"2026-03",0.56
"Ngọc","CITYBIKE_P",2025,1,56116667.0,37.0,"2025-01",1.91
"Ngọc","CITYBIKE_P",2025,2,243533332.0,187.0,"2025-02",3.93
"Ngọc","CITYBIKE_P",2025,3,175500000.0,135.0,"2025-03",0.98
"Ngọc","CITYBIKE_P",2026,1,697360911.0,451.0,"2026-01",4.96
"Ngọc","CITYBIKE_P",2026,2,481067425.0,311.0,"2026-02",3.51
"Ngọc","CITYBIKE_P",2026,3,502889633.0,328.0,"2026-03",1.75
"Tem cam","KIDBIKE_1",2025,3,22000000.0,20.0,"2025-03",0.12
"Tem cam","KIDBIKE_1",2026,3,2300000.0,2.0,"2026-03",0.01
"Tem cam","SPORTBIKE_S",2025,1,212829629.0,88.0,"2025-01",7.24
"Tem cam","SPORTBIKE_S",2025,2,9601388.0,7.0,"2025-02",0.16
"Tem cam","SPORTBIKE_S",2025,3,8100462.0,6.0,"2025-03",0.05
"Tem cam","SPORTBIKE_S",2026,3,17940000.0,14.0,"2026-03",0.06
"Tem đỏ","KIDBIKE_1",2025,1,37798606.0,17.0,"2025-01",1.29
"Tem đỏ","KIDBIKE_1",2025,3,22000000.0,20.0,"2025-03",0.12
"Tem đỏ","SPORTBIKE_S",2025,1,202222222.0,78.0,"2025-01",6.88
"Tem đỏ","SPORTBIKE_S",2026,3,17100000.0,9.0,"2026-03",0.06
"Trắng","CITYBIKE_P",2025,1,106623051.0,68.0,"2025-01",3.63
"Trắng","CITYBIKE_P",2025,2,406931184.0,300.0,"2025-02",6.57
"Trắng","CITYBIKE_P",2025,3,1129436591.0,914.0,"2025-03",6.32
"Trắng","CITYBIKE_P",2026,1,1027491488.0,619.0,"2026-01",7.31
"Trắng","CITYBIKE_P",2026,2,940149343.0,566.0,"2026-02",6.86
"Trắng","CITYBIKE_P",2026,3,2667268943.0,1650.0,"2026-03",9.27
"Trắng","KIDBIKE_1",2025,1,3150000.0,3.0,"2025-01",0.11
"Trắng","KIDBIKE_1",2025,2,33868055.0,32.0,"2025-02",0.55
"Trắng","KIDBIKE_1",2025,3,222503605.0,209.0,"2025-03",1.25
"Trắng","KIDBIKE_1",2026,1,132646361.0,105.0,"2026-01",0.94
"Trắng","KIDBIKE_1",2026,2,111008306.0,86.0,"2026-02",0.81
"Trắng","KIDBIKE_1",2026,3,195591608.0,159.0,"2026-03",0.68
"Trắng","SPORTBIKE_S",2025,1,124461385.0,56.0,"2025-01",4.24
"Trắng","SPORTBIKE_S",2025,2,5689444.0,2.0,"2025-02",0.09
"Trắng","SPORTBIKE_S",2025,3,73962777.0,26.0,"2025-03",0.41
"Tím","CITYBIKE_P",2025,1,1180000.0,1.0,"2025-01",0.04
"Tím","CITYBIKE_P",2025,2,77805184.0,66.0,"2025-02",1.26
"Tím","CITYBIKE_P",2025,3,210892312.0,180.0,"2025-03",1.18
"Tím","CITYBIKE_P",2026,1,177385504.0,111.0,"2026-01",1.26
"Tím","CITYBIKE_P",2026,2,146992126.0,95.0,"2026-02",1.07
"Tím","CITYBIKE_P",2026,3,284128232.0,192.0,"2026-03",0.99
"Tím","KIDBIKE_1",2025,1,4495833.0,3.0,"2025-01",0.15
"Tím","KIDBIKE_1",2025,2,3550556.0,2.0,"2025-02",0.06
"Tím","KIDBIKE_1",2025,3,30502779.0,27.0,"2025-03",0.17
"Tím","KIDBIKE_1",2026,1,19999998.0,18.0,"2026-01",0.14
"Tím","KIDBIKE_1",2026,2,2222222.0,2.0,"2026-02",0.02
"Tím","KIDBIKE_1",2026,3,6666666.0,6.0,"2026-03",0.02
"Vàng","KIDBIKE_1",2025,1,26474070.0,12.0,"2025-01",0.9
"Vàng","KIDBIKE_1",2025,2,31950000.0,28.0,"2025-02",0.52
"Vàng","KIDBIKE_1",2025,3,117997685.0,100.0,"2025-03",0.66
"Vàng","KIDBIKE_1",2026,1,91921740.0,77.0,"2026-01",0.65
"Vàng","KIDBIKE_1",2026,2,75346829.0,63.0,"2026-02",0.55
"Vàng","KIDBIKE_1",2026,3,191207817.0,164.0,"2026-03",0.66
"Xanh","KIDBIKE_1",2025,1,11840275.0,10.0,"2025-01",0.4
"Xanh","KIDBIKE_1",2025,2,70580000.0,66.0,"2025-02",1.14
"Xanh","KIDBIKE_1",2025,3,401110549.0,300.0,"2025-03",2.25
"Xanh","KIDBIKE_1",2026,1,371912616.0,250.0,"2026-01",2.65
"Xanh","KIDBIKE_1",2026,2,293664176.0,217.0,"2026-02",2.14
"Xanh","KIDBIKE_1",2026,3,520076706.0,385.0,"2026-03",1.81
"Xanh","SPORTBIKE_A",2025,1,30095707.0,7.0,"2025-01",1.02
"Xanh","SPORTBIKE_A",2025,2,29003787.0,9.0,"2025-02",0.47
"Xanh","SPORTBIKE_A",2025,3,106669485.0,33.0,"2025-03",0.6
"Xanh","SPORTBIKE_A",2026,3,6600000.0,2.0,"2026-03",0.02
"Xanh","SPORTBIKE_S",2025,1,72000000.0,60.0,"2025-01",2.45
"Xanh","SPORTBIKE_S",2025,2,36000000.0,30.0,"2025-02",0.58
"Xanh","SPORTBIKE_S",2025,3,111149408.0,80.0,"2025-03",0.62
"Xanh","SPORTBIKE_S",2026,1,45471096.0,24.0,"2026-01",0.32
"Xanh","SPORTBIKE_S",2026,2,47500000.0,24.0,"2026-02",0.35
"Xanh","SPORTBIKE_S",2026,3,253163148.0,127.0,"2026-03",0.88
"Xanh Santorini","CITYBIKE_P",2025,1,1200000.0,1.0,"2025-01",0.04
"Xanh Santorini","CITYBIKE_P",2025,2,70418518.0,52.0,"2025-02",1.14
"Xanh Santorini","CITYBIKE_P",2025,3,279680923.0,204.0,"2025-03",1.57
"Xanh Santorini","CITYBIKE_P",2026,1,243677465.0,141.0,"2026-01",1.73
"Xanh Santorini","CITYBIKE_P",2026,2,248975880.0,149.0,"2026-02",1.82
"Xanh Santorini","CITYBIKE_P",2026,3,492800472.0,305.0,"2026-03",1.71
"Xanh Tím","CITYBIKE_P",2025,1,4500000.0,4.0,"2025-01",0.15
"Xanh Tím","CITYBIKE_P",2025,2,132051852.0,112.0,"2025-02",2.13
"Xanh Tím","CITYBIKE_P",2025,3,306851850.0,265.0,"2025-03",1.72
"Xanh Tím","CITYBIKE_P",2026,1,278668465.0,187.0,"2026-01",1.98
"Xanh Tím","CITYBIKE_P",2026,2,211882355.0,141.0,"2026-02",1.55
"Xanh Tím","CITYBIKE_P",2026,3,600372065.0,408.0,"2026-03",2.09
"Xanh dương","CITYBIKE_P",2025,1,112678702.0,62.0,"2025-01",3.83
"Xanh dương","CITYBIKE_P",2025,2,177858148.0,134.0,"2025-02",2.87
"Xanh dương","CITYBIKE_P",2025,3,427074537.0,327.0,"2025-03",2.39
"Xanh dương","CITYBIKE_P",2026,1,138599975.0,77.0,"2026-01",0.99
"Xanh dương","CITYBIKE_P",2026,2,110423864.0,63.0,"2026-02",0.81
"Xanh dương","CITYBIKE_P",2026,3,175407000.0,102.0,"2026-03",0.61
"Xanh dương","KIDBIKE_1",2025,1,186754167.0,104.0,"2025-01",6.36
"Xanh dương","KIDBIKE_1",2025,2,97950000.0,69.0,"2025-02",1.58
"Xanh dương","KIDBIKE_1",2025,3,197254167.0,169.0,"2025-03",1.1
"Xanh dương","KIDBIKE_2",2025,1,48475556.0,45.0,"2025-01",1.65
"Xanh dương","KIDBIKE_2",2025,2,122775916.0,187.0,"2025-02",1.98
"Xanh dương","KIDBIKE_2",2025,3,327824162.0,523.0,"2025-03",1.83
"Xanh dương","KIDBIKE_2",2026,1,182459913.0,188.0,"2026-01",1.3
"Xanh dương","KIDBIKE_2",2026,2,476818523.0,514.0,"2026-02",3.48
"Xanh dương","KIDBIKE_2",2026,3,408248482.0,479.0,"2026-03",1.42
"Xanh dương","SPORTBIKE_A",2025,2,18200000.0,5.0,"2025-02",0.29
"Xanh dương","SPORTBIKE_A",2025,3,2400000.0,1.0,"2025-03",0.01
"Xanh dương","SPORTBIKE_A",2026,3,8280000.0,4.0,"2026-03",0.03
"Xanh dương","SPORTBIKE_S",2025,1,37622220.0,12.0,"2025-01",1.28
"Xanh dương","SPORTBIKE_S",2025,2,50943239.0,27.0,"2025-02",0.82
"Xanh dương","SPORTBIKE_S",2025,3,211633334.0,114.0,"2025-03",1.18
"Xanh dương","SPORTBIKE_S",2026,1,28727407.0,10.0,"2026-01",0.2
"Xanh dương","SPORTBIKE_S",2026,2,5432222.0,2.0,"2026-02",0.04
"Xanh dương","SPORTBIKE_S",2026,3,42070739.0,17.0,"2026-03",0.15
"Xanh mint","CITYBIKE_P",2025,1,30638791.0,22.0,"2025-01",1.04
"Xanh mint","CITYBIKE_P",2025,2,274932404.0,228.0,"2025-02",4.44
"Xanh mint","CITYBIKE_P",2025,3,613183027.0,517.0,"2025-03",3.43
"Xanh mint","CITYBIKE_P",2026,1,448927767.0,283.0,"2026-01",3.2
"Xanh mint","CITYBIKE_P",2026,2,578225625.0,355.0,"2026-02",4.22
"Xanh mint","CITYBIKE_P",2026,3,1187813755.0,781.0,"2026-03",4.13
"Xanh nước biển","CITYBIKE_P",2025,3,2500000.0,2.0,"2025-03",0.01
"bóng","SPORTBIKE_S",2025,1,1450000.0,1.0,"2025-01",0.05
"bóng","SPORTBIKE_S",2025,2,14302314.0,9.0,"2025-02",0.23
"bóng","SPORTBIKE_S",2025,3,30450000.0,21.0,"2025-03",0.17
"bóng","SPORTBIKE_S",2026,1,30030000.0,11.0,"2026-01",0.21
"bóng","SPORTBIKE_S",2026,2,9589629.0,3.0,"2026-02",0.07
"bóng","SPORTBIKE_S",2026,3,48889998.0,18.0,"2026-03",0.17
"cam","SPORTBIKE_S",2025,3,42536000.0,16.0,"2025-03",0.24
"cam","SPORTBIKE_S",2026,3,3320000.0,2.0,"2026-03",0.01
"chanh","KIDBIKE_1",2026,1,14019996.0,11.0,"2026-01",0.1
"chanh","KIDBIKE_1",2026,2,25353608.0,19.0,"2026-02",0.19
"chanh","KIDBIKE_1",2026,3,73412479.0,60.0,"2026-03",0.26
"mờ","SPORTBIKE_S",2025,1,2600000.0,2.0,"2025-01",0.09
"mờ","SPORTBIKE_S",2025,2,29829166.0,19.0,"2025-02",0.48
"mờ","SPORTBIKE_S",2025,3,69502315.0,51.0,"2025-03",0.39
"mờ","SPORTBIKE_S",2026,1,28893324.0,12.0,"2026-01",0.21
"mờ","SPORTBIKE_S",2026,2,2393888.0,1.0,"2026-02",0.02
"mờ","SPORTBIKE_S",2026,3,21544992.0,9.0,"2026-03",0.07
"rêu","SPORTBIKE_S",2025,2,9021759.0,6.0,"2025-02",0.15
"rêu","SPORTBIKE_S",2025,3,51319444.0,37.0,"2025-03",0.29
"rêu","SPORTBIKE_S",2026,1,21669993.0,9.0,"2026-01",0.15
"rêu","SPORTBIKE_S",2026,2,2393888.0,1.0,"2026-02",0.02
"rêu","SPORTBIKE_S",2026,3,2393888.0,1.0,"2026-03",0.01
"trắng","SPORTBIKE_S",2025,3,42536000.0,16.0,"2025-03",0.24
"trắng","SPORTBIKE_S",2026,3,3480000.0,2.0,"2026-03",0.01
"trời","KIDBIKE_1",2025,2,5881944.0,3.0,"2025-02",0.09
"trời","SPORTBIKE_A",2025,2,91093055.0,42.0,"2025-02",1.47
"trời","SPORTBIKE_A",2025,3,488986502.0,156.0,"2025-03",2.74
"trời","SPORTBIKE_A",2026,1,23978331.0,9.0,"2026-01",0.17
"trời","SPORTBIKE_A",2026,3,26600000.0,19.0,"2026-03",0.09
"trời","SPORTBIKE_S",2025,1,9952963.0,4.0,"2025-01",0.34
"trời","SPORTBIKE_S",2025,3,2100462.0,1.0,"2025-03",0.01
"tím","SPORTBIKE_S",2025,3,66462500.0,25.0,"2025-03",0.37
"vàng","SPORTBIKE_S",2025,1,2488241.0,1.0,"2025-01",0.08
"xanh","SPORTBIKE_S",2025,1,7409259.0,4.0,"2025-01",0.25
"xanh","SPORTBIKE_S",2025,2,33409259.0,24.0,"2025-02",0.54
"xanh","SPORTBIKE_S",2025,3,148902000.0,102.0,"2025-03",0.83
"xanh","SPORTBIKE_S",2026,1,2302222.0,1.0,"2026-01",0.02
"xanh","SPORTBIKE_S",2026,3,2900000.0,2.0,"2026-03",0.01
"Đen","CITYBIKE_P",2025,1,71783333.0,46.0,"2025-01",2.44
"Đen","CITYBIKE_P",2025,2,511019256.0,396.0,"2025-02",8.25
"Đen","CITYBIKE_P",2025,3,1333844804.0,1091.0,"2025-03",7.47
"Đen","CITYBIKE_P",2026,1,1110175282.0,706.0,"2026-01",7.9
"Đen","CITYBIKE_P",2026,2,872796455.0,562.0,"2026-02",6.37
"Đen","CITYBIKE_P",2026,3,1950966125.0,1266.0,"2026-03",6.78
"Đen","KIDBIKE_1",2025,1,4797685.0,4.0,"2025-01",0.16
"Đen","KIDBIKE_1",2025,2,177225092.0,146.0,"2025-02",2.86
"Đen","KIDBIKE_1",2025,3,471470643.0,415.0,"2025-03",2.64
"Đen","KIDBIKE_1",2026,1,254087551.0,200.0,"2026-01",1.81
"Đen","KIDBIKE_1",2026,2,205640676.0,163.0,"2026-02",1.5
"Đen","KIDBIKE_1",2026,3,744615043.0,603.0,"2026-03",2.59
"Đen","SPORTBIKE_A",2025,1,55684175.0,19.0,"2025-01",1.89
"Đen","SPORTBIKE_A",2025,2,188058076.0,75.0,"2025-02",3.04
"Đen","SPORTBIKE_A",2025,3,749128222.0,268.0,"2025-03",4.19
"Đen","SPORTBIKE_A",2026,2,4527778.0,1.0,"2026-02",0.03
"Đen","SPORTBIKE_A",2026,3,23798148.0,12.0,"2026-03",0.08
"Đen","SPORTBIKE_S",2025,1,1200000.0,1.0,"2025-01",0.04
"Đen","SPORTBIKE_S",2025,2,33600000.0,28.0,"2025-02",0.54
"Đen","SPORTBIKE_S",2025,3,301465644.0,156.0,"2025-03",1.69
"Đen","SPORTBIKE_S",2026,1,251563107.0,114.0,"2026-01",1.79
"Đen","SPORTBIKE_S",2026,2,130384261.0,59.0,"2026-02",0.95
"Đen","SPORTBIKE_S",2026,3,330641761.0,160.0,"2026-03",1.15
"Đỏ","KIDBIKE_1",2025,1,3597685.0,3.0,"2025-01",0.12
"Đỏ","KIDBIKE_1",2025,2,59110000.0,51.0,"2025-02",0.95
"Đỏ","KIDBIKE_1",2025,3,167415370.0,139.0,"2025-03",0.94
"Đỏ","KIDBIKE_1",2026,1,124714876.0,97.0,"2026-01",0.89
"Đỏ","KIDBIKE_1",2026,2,108737562.0,87.0,"2026-02",0.79
"Đỏ","KIDBIKE_1",2026,3,233719002.0,179.0,"2026-03",0.81
"Đỏ","SPORTBIKE_S",2025,2,20400000.0,17.0,"2025-02",0.33
"Đỏ","SPORTBIKE_S",2025,3,64500462.0,53.0,"2025-03",0.36
"Đỏ","SPORTBIKE_S",2026,1,27545544.0,13.0,"2026-01",0.2
"Đỏ","SPORTBIKE_S",2026,2,48255000.0,24.0,"2026-02",0.35
"Đỏ","SPORTBIKE_S",2026,3,131815000.0,68.0,"2026-03",0.46
"Đỏ tươi","CITYBIKE_P",2025,1,271970462.0,149.0,"2025-01",9.26
"Đỏ tươi","CITYBIKE_P",2025,2,104598055.0,85.0,"2025-02",1.69
"Đỏ tươi","CITYBIKE_P",2025,3,306838144.0,241.0,"2025-03",1.72
"Đỏ tươi","CITYBIKE_P",2026,1,181513298.0,108.0,"2026-01",1.29
"Đỏ tươi","CITYBIKE_P",2026,2,196112380.0,118.0,"2026-02",1.43
"Đỏ tươi","CITYBIKE_P",2026,3,341610347.0,219.0,"2026-03",1.19
"Đỏ tươi","KIDBIKE_1",2025,2,58080555.0,43.0,"2025-02",0.94
"Đỏ tươi","KIDBIKE_1",2025,3,92843056.0,88.0,"2025-03",0.52
"Đỏ tươi","KIDBIKE_1",2026,1,71902774.0,55.0,"2026-01",0.51
"Đỏ tươi","KIDBIKE_1",2026,2,3716110.0,3.0,"2026-02",0.03
"Đỏ tươi","KIDBIKE_1",2026,3,1111111.0,1.0,"2026-03",0.0
"Đỏ đun","CITYBIKE_P",2025,1,11064815.0,5.0,"2025-01",0.38
"Đỏ đun","CITYBIKE_P",2025,2,183523794.0,143.0,"2025-02",2.96
"Đỏ đun","CITYBIKE_P",2025,3,334750738.0,268.0,"2025-03",1.87
"Đỏ đun","CITYBIKE_P",2026,1,263546280.0,166.0,"2026-01",1.88
"Đỏ đun","CITYBIKE_P",2026,2,308677695.0,215.0,"2026-02",2.25
"Đỏ đun","CITYBIKE_P",2026,3,438386003.0,297.0,"2026-03",1.52
"Đỏ đun","SPORTBIKE_S",2025,1,8079630.0,4.0,"2025-01",0.27
"Đỏ đun","SPORTBIKE_S",2025,2,5350000.0,4.0,"2025-02",0.09
"Đỏ đun","SPORTBIKE_S",2025,3,46150000.0,34.0,"2025-03",0.26
"Đỏ đun","SPORTBIKE_S",2026,1,7223331.0,3.0,"2026-01",0.05
"Đỏ đun","SPORTBIKE_S",2026,2,2393888.0,1.0,"2026-02",0.02
"Đỏ đun","SPORTBIKE_S",2026,3,23938880.0,10.0,"2026-03",0.08
"đen","SPORTBIKE_S",2025,1,16900000.0,13.0,"2025-01",0.58
"đen","SPORTBIKE_S",2025,2,39000000.0,30.0,"2025-02",0.63
"đen","SPORTBIKE_S",2025,3,140081018.0,107.0,"2025-03",0.78
