"customer_code","last_order_date","recency_days","n_orders_total","revenue_total","avg_order_value","n_product_groups","trend_slope","active_in_t3","customer_name","province_name","region","n_orders_q1_2025","revenue_q1_2025","prob_active_30d","activity_risk","priority_contact"
"KH-00010","2026-03-24",7,12,493851087,41154257.0,6,21803373.0,1,"CỬA HÀNG XE ĐẠP QUANG VINH","Thái Nguyên","Miền Bắc",12,493851087,0.7223,"Tích cực",0
"KH-00011","2025-03-06",390,2,4611112,2305556.0,1,-0.0,0,"DOANH NGHIỆP TW NAM TIẾN","Hà Nội","Miền Bắc",2,4611112,0.2815,"Nguy cơ cao",1
"KH-00012","2025-03-10",386,2,5185186,2592593.0,1,-0.0,0,"HỘ KINH DOANH THIÊN AN","Hà Nội","Miền Bắc",2,5185186,0.2798,"Nguy cơ cao",1
"KH-00013","2025-01-10",445,1,2490741,2490741.0,0,0.0,0,"DOANH NGHIỆP TW THANH BÌNH","Hưng Yên","Miền Bắc",1,2490741,0.2416,"Nguy cơ cao",1
"KH-00014","2026-03-31",0,9,310207551,34467506.0,5,22551177.8,1,"HỘ KINH DOANH LONG PHÚ","Bắc Ninh","Miền Bắc",9,310207551,0.5423,"Trung bình",0
"KH-00015","2025-03-25",371,3,77930000,25976667.0,4,31510000.0,0,"DOANH NGHIỆP TW MINH PHƯƠNG","Phú Thọ","Miền Bắc",3,77930000,0.2951,"Nguy cơ cao",1
"KH-00016","2025-03-26",370,4,93910000,23477500.0,2,20450000.0,0,"DOANH NGHIỆP TW VIỆT ANH","Quảng Trị","Miền Trung",4,93910000,0.4366,"Trung bình",0
"KH-00017","2025-01-10",445,1,23350000,23350000.0,1,0.0,0,"CỬA HÀNG XE ĐẠP THUỶ TIÊN","TT Hương Sơn- Phú Bình- Thái Nguyên","Miền Bắc",1,23350000,0.2797,"Nguy cơ cao",1
"KH-00018","2026-03-29",2,14,487106659,34793333.0,5,29240634.9,1,"CÔNG TY TNHH THƯƠNG MẠI PHÚ THỊNH","Hà Nội","Miền Bắc",14,487106659,0.8595,"Tích cực",0
"KH-00019","2026-03-26",5,70,4483061201,64043731.0,6,113540167.74,1,"CÔNG TY CỔ PHẦN THƯƠNG MẠI LÊ ANH","TP. Hồ Chí Minh","Miền Nam",70,4483061201,1.0,"Tích cực",0
"KH-00020","2025-01-11",444,1,124583332,124583332.0,1,0.0,0,"DOANH NGHIỆP TW TRƯỜNG THỊNH","Hà Nội","Miền Bắc",1,124583332,0.6103,"Tích cực",0
"KH-00021","2025-01-11",444,1,87037037,87037037.0,1,0.0,0,"HỘ KINH DOANH XÂY DỰNG","Hà Nội","Miền Bắc",1,87037037,0.4826,"Trung bình",0
"KH-00022","2026-03-23",8,18,548880528,30493363.0,6,66454388.1,1,"CÔNG TY CỔ PHẦN VIỆT ANH","Hà Nội","Miền Bắc",18,548880528,0.9535,"Tích cực",0
"KH-00023","2026-03-31",0,7,805982404,115140343.0,2,-58390833.1,1,"CÔNG TY TNHH THANH BÌNH","Hà Nội","Miền Bắc",7,805982404,0.4399,"Trung bình",0
"KH-00024","2026-03-31",0,20,948469943,47423497.0,5,50490526.71,1,"CÔNG TY TNHH MINH PHƯƠNG","Ninh Bình","Miền Bắc",20,948469943,0.9533,"Tích cực",0
"KH-00025","2025-01-13",442,1,13277778,13277778.0,1,0.0,0,"DOANH NGHIỆP TW SƠN HÀ","Thanh Hoá","Miền Trung",1,13277778,0.251,"Nguy cơ cao",1
"KH-00026","2025-01-13",442,1,7777778,7777778.0,1,0.0,0,"CÔNG TY CỔ PHẦN LÊ ANH","Thanh Hóa","Miền Trung",1,7777778,0.237,"Nguy cơ cao",1
"KH-00027","2026-03-31",0,18,554169348,30787186.0,6,48628236.69,1,"HỘ KINH DOANH ĐẠI DƯƠNG","Hà Nội","Miền Bắc",18,554169348,0.9573,"Tích cực",0
"KH-00028","2025-03-28",368,2,51050000,25525000.0,4,-17970000.0,0,"DOANH NGHIỆP TW PHÚ THỊNH","Phú Thọ","Miền Bắc",2,51050000,0.2889,"Nguy cơ cao",1
"KH-00029","2025-01-16",439,1,4055556,4055556.0,0,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH","Phan Thiết","Miền Bắc",1,4055556,0.2425,"Nguy cơ cao",1
"KH-00030","2026-01-29",61,2,1366346297,683173148.0,3,4709259.0,0,"CỬA HÀNG XE ĐẠP BÌNH MINH","Bắc Giang","Miền Bắc",2,1366346297,0.993,"Tích cực",0
"KH-00031","2025-01-16",439,1,4907408,4907408.0,1,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI ĐẠI DƯƠNG","Hà Nội","Miền Bắc",1,4907408,0.2284,"Nguy cơ cao",1
"KH-00032","2025-01-16",439,1,1935185,1935185.0,0,0.0,0,"HỘ KINH DOANH CHI THÀNH","Hà Nội","Miền Bắc",1,1935185,0.2371,"Nguy cơ cao",1
"KH-00033","2025-01-17",438,1,11064815,11064815.0,1,0.0,0,"CỬA HÀNG XE ĐẠP HÙNG CƯỜNG","Hà Nội","Miền Bắc",1,11064815,0.2432,"Nguy cơ cao",1
"KH-00034","2025-02-20",404,2,32750000,16375000.0,3,9250000.0,0,"CÔNG TY TNHH BÌNH MINH","Đà Nẵng","Miền Trung",2,32750000,0.2691,"Nguy cơ cao",1
"KH-00035","2025-03-28",368,4,63200000,15800000.0,2,33200000.0,0,"CỬA HÀNG XE ĐẠP TÂY BẮC","Đà Nẵng","Miền Trung",4,63200000,0.407,"Trung bình",0
"KH-00036","2025-02-07",417,3,46324073,15441358.0,1,-16361111.0,0,"CÔNG TY TNHH THƯƠNG MẠI PHÚC AN","Hà Nội","Miền Bắc",3,46324073,0.4487,"Trung bình",0
"KH-00037","2025-01-20",435,1,3879630,3879630.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI THANH BÌNH","Hà Nội","Miền Bắc",1,3879630,0.224,"Nguy cơ cao",1
"KH-00038","2025-02-21",403,2,106679035,53339518.0,2,41979035.0,0,"DOANH NGHIỆP TW TÂN TIẾN","Thái Nguyên","Miền Bắc",2,106679035,0.318,"Trung bình",0
"KH-00039","2026-01-20",70,2,214953705,107476852.0,4,-92453685.0,0,"CÔNG TY CỔ PHẦN ĐÔNG NAM","Phú Quốc","Miền Bắc",2,214953705,0.4137,"Trung bình",0
"KH-00040","2025-03-29",367,3,293400000,97800000.0,1,-69300000.0,0,"CÔNG TY TNHH VẠN LỢI","Vinh","Miền Bắc",3,293400000,0.6441,"Tích cực",0
"KH-00041","2025-01-22",433,1,11064815,11064815.0,1,0.0,0,"CỬA HÀNG XE ĐẠP ĐÔNG NAM","Thanh Hóa","Miền Trung",1,11064815,0.2407,"Nguy cơ cao",1
"KH-00042","2026-03-16",15,11,313552605,28504782.0,4,11636009.74,1,"HỘ KINH DOANH MẶT TRỜI","Hà Nội","Miền Bắc",11,313552605,0.7653,"Tích cực",0
"KH-00043","2025-02-20",404,3,30650000,10216667.0,3,25930000.0,0,"CÔNG TY TNHH LONG PHÚ","TP Đà Nẵng","Miền Bắc",3,30650000,0.3192,"Trung bình",0
"KH-00044","2026-03-16",15,3,100591187,33530396.0,2,-2842177.5,1,"CÔNG TY TNHH THƯƠNG MẠI NGỌC ANH","Tam Kỳ","Miền Bắc",3,100591187,0.2014,"Nguy cơ cao",1
"KH-00045","2025-01-23",432,1,18111112,18111112.0,1,0.0,0,"CÔNG TY TNHH AN PHÁT","Quảng Nam","Miền Trung",1,18111112,0.2584,"Nguy cơ cao",1
"KH-00046","2026-03-17",14,5,529289495,105857899.0,2,36450011.5,1,"CÔNG TY CỔ PHẦN THƯƠNG MẠI MẶT TRỜI","Đồng Hới","Miền Bắc",5,529289495,0.2713,"Nguy cơ cao",1
"KH-00047","2025-02-04",420,1,36180000,36180000.0,1,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI TÚ ANH","Vĩnh Phúc","Miền Bắc",1,36180000,0.302,"Trung bình",0
"KH-00048","2026-03-31",0,5,26574074,5314815.0,2,18518.0,1,"CÔNG TY TNHH THUỶ TIÊN","Hà Nội","Miền Bắc",5,26574074,0.3208,"Trung bình",0
"KH-00049","2026-03-12",19,7,157368957,22481280.0,4,-6140768.2,1,"CÔNG TY CỔ PHẦN THUỶ TIÊN","Bắc Ninh","Miền Bắc",7,157368957,0.4811,"Trung bình",0
"KH-00050","2025-02-07",417,1,2305556,2305556.0,1,0.0,0,"CÔNG TY TNHH AN PHÁT","Hải Dương","Miền Bắc",1,2305556,0.2118,"Nguy cơ cao",1
"KH-00051","2025-02-07",417,1,4611111,4611111.0,1,0.0,0,"CÔNG TY CỔ PHẦN KHẢI HOÀN","Hưng Yên","Miền Bắc",1,4611111,0.2172,"Nguy cơ cao",1
"KH-00052","2025-02-07",417,1,2212963,2212963.0,1,0.0,0,"DOANH NGHIỆP TW TÂN TIẾN","Chí Linh","Miền Bắc",1,2212963,0.2116,"Nguy cơ cao",1
"KH-00053","2025-02-07",417,1,3694444,3694444.0,1,0.0,0,"CÔNG TY TNHH TRƯỜNG THỊNH","Hà Nội","Miền Bắc",1,3694444,0.2151,"Nguy cơ cao",1
"KH-00054","2025-02-10",414,1,2398148,2398148.0,1,0.0,0,"HỘ KINH DOANH TRÍ ĐỨC","Hà Nội","Miền Bắc",1,2398148,0.2107,"Nguy cơ cao",1
"KH-00055","2025-02-10",414,1,4983333,4983333.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC","Đắk Lắk","Miền Trung",1,4983333,0.2167,"Nguy cơ cao",1
"KH-00056","2025-02-10",414,1,33090000,33090000.0,3,0.0,0,"DOANH NGHIỆP TW ĐÔNG NAM","Hà Nam","Miền Bắc",1,33090000,0.2541,"Nguy cơ cao",1
"KH-00057","2025-03-29",367,5,563575152,112715030.0,4,258464848.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI TOÀN THẮNG","Nam Định","Miền Bắc",5,563575152,0.1453,"Nguy cơ cao",1
"KH-00058","2025-02-10",414,1,24000000,24000000.0,1,0.0,0,"DOANH NGHIỆP TW SÁN LẠP","TP Hải Dương","Miền Bắc",1,24000000,0.2645,"Nguy cơ cao",1
"KH-00059","2025-02-10",414,1,48680000,48680000.0,2,0.0,0,"CÔNG TY TNHH TRÍ ĐỨC","Hải Dương","Miền Bắc",1,48680000,0.3161,"Trung bình",0
"KH-00060","2025-02-10",414,1,25550000,25550000.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI VẠN LỢI","Hà Nam","Miền Bắc",1,25550000,0.2687,"Nguy cơ cao",1
"KH-00061","2025-02-10",414,1,13730000,13730000.0,3,0.0,0,"HỘ KINH DOANH THUỶ TIÊN","Hòa Bình","Miền Bắc",1,13730000,0.2068,"Nguy cơ cao",1
"KH-00062","2025-03-31",365,2,119540000,59770000.0,5,-24140000.0,0,"CÔNG TY CỔ PHẦN YÊN BÌNH","Lạng Sơn","Miền Bắc",2,119540000,0.3539,"Trung bình",0
"KH-00063","2025-03-28",368,2,51715148,25857574.0,2,10484852.0,0,"HỘ KINH DOANH VẠN LỢI","Bắc Giang","Miền Bắc",2,51715148,0.2851,"Nguy cơ cao",1
"KH-00064","2025-03-28",368,6,363062500,60510417.0,5,101262500.0,0,"CÔNG TY TNHH SƠN HÀ","Khu 6 – TT Gia Lộc – Huyện Gia Lộc – Hải Dương","Miền Bắc",6,363062500,0.3809,"Trung bình",0
"KH-00065","2025-03-25",371,8,550630000,68828750.0,5,386270000.0,0,"CÔNG TY CỔ PHẦN QUANG VINH","Hà Nội","Miền Bắc",8,550630000,0.1096,"Nguy cơ cao",1
"KH-00066","2025-02-10",414,1,34390000,34390000.0,2,0.0,0,"CÔNG TY CỔ PHẦN NGỌC ANH","Hà Nộ","Miền Bắc",1,34390000,0.2751,"Nguy cơ cao",1
"KH-00067","2025-03-31",365,9,213946302,23771811.0,5,76163340.0,0,"DOANH NGHIỆP TW NGỌC ANH","Hà Nội","Miền Bắc",9,213946302,0.7206,"Tích cực",0
"KH-00068","2025-03-18",378,3,48010000,16003333.0,2,-13030000.0,0,"CÔNG TY CỔ PHẦN SÁN LẠP","Vĩnh Phúc","Miền Bắc",3,48010000,0.3957,"Trung bình",0
"KH-00069","2026-01-07",83,3,16611111,5537037.0,1,-5537037.0,0,"CÔNG TY TNHH MINH PHƯƠNG","Hà Nội","Miền Bắc",3,16611111,0.219,"Nguy cơ cao",1
"KH-00070","2025-02-13",411,1,8851852,8851852.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI CHI THÀNH","TP. Hồ Chí Minh","Miền Nam",1,8851852,0.2244,"Nguy cơ cao",1
"KH-00071","2025-02-14",410,1,3509259,3509259.0,1,0.0,0,"CỬA HÀNG XE ĐẠP BÌNH MINH","Hà Nội","Miền Bắc",1,3509259,0.2114,"Nguy cơ cao",1
"KH-00072","2026-03-25",6,2,16061109,8030554.0,1,9161109.0,1,"DOANH NGHIỆP TW PHÚC AN","Hà Tĩnh","Miền Trung",2,16061109,0.1189,"Nguy cơ cao",1
"KH-00073","2025-03-31",365,2,62612500,31306250.0,2,-7507500.0,0,"CỬA HÀNG XE ĐẠP KHẢI HOÀN","Thanh Hoá","Miền Trung",2,62612500,0.3222,"Trung bình",0
"KH-00074","2026-03-06",25,4,48486566,12121642.0,3,-1512344.0,1,"CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH","Hòa Bình","Miền Bắc",4,48486566,0.2354,"Nguy cơ cao",1
"KH-00075","2026-01-26",64,7,367627614,52518231.0,5,-24108895.5,0,"CÔNG TY CỔ PHẦN ĐÔNG NAM","Hà Nội","Miền Bắc",7,367627614,0.4678,"Trung bình",0
"KH-00076","2026-03-25",6,11,1171219711,106474519.0,4,84054137.2,1,"CỬA HÀNG XE ĐẠP ĐẠI LỢI","Bắc Giang","Miền Bắc",11,1171219711,0.2677,"Nguy cơ cao",1
"KH-00077","2025-02-14",410,1,35020000,35020000.0,2,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH","Hà Nội","Miền Bắc",1,35020000,0.2746,"Nguy cơ cao",1
"KH-00078","2026-01-31",59,17,301886045,17758003.0,5,-11641444.5,0,"HỘ KINH DOANH VĨNH PHÁT","Hà Nội","Miền Bắc",17,301886045,0.9818,"Tích cực",0
"KH-00079","2026-03-25",6,8,255747688,31968461.0,6,2619080.9,1,"CÔNG TY TNHH ĐÔNG NAM","Bắc Giang","Miền Bắc",8,255747688,0.4815,"Trung bình",0
"KH-00080","2025-02-14",410,1,60020000,60020000.0,1,0.0,0,"HỘ KINH DOANH VĨNH PHÁT","Hà Nội","Miền Bắc",1,60020000,0.369,"Trung bình",0
"KH-00081","2025-02-14",410,1,45220000,45220000.0,4,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI KHẢI HOÀN","Hưng Yên","Miền Bắc",1,45220000,0.2669,"Nguy cơ cao",1
"KH-00082","2025-02-14",410,1,43600000,43600000.0,2,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI PHÚC AN","Vĩnh Phúc","Miền Bắc",1,43600000,0.2988,"Nguy cơ cao",1
"KH-00083","2025-03-19",377,2,141400000,70700000.0,3,62500000.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI THANH BÌNH","Hưng Yên","Miền Bắc",2,141400000,0.2908,"Nguy cơ cao",1
"KH-00084","2025-02-14",410,1,17860000,17860000.0,2,0.0,0,"CỬA HÀNG XE ĐẠP TOÀN THẮNG","Hưng Yên","Miền Bắc",1,17860000,0.23,"Nguy cơ cao",1
"KH-00085","2025-03-27",369,2,46780000,23390000.0,2,-740000.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI NGỌC ANH","Hà Nội","Miền Bắc",2,46780000,0.2968,"Nguy cơ cao",1
"KH-00086","2025-03-24",372,3,110019361,36673120.0,4,42724213.0,0,"CÔNG TY TNHH NGỌC ANH","Hà Nội","Miền Bắc",3,110019361,0.2943,"Nguy cơ cao",1
"KH-00087","2025-02-14",410,1,24200000,24200000.0,1,0.0,0,"CỬA HÀNG XE ĐẠP SÁN LẠP","Nghệ An","Miền Trung",1,24200000,0.2629,"Nguy cơ cao",1
"KH-00088","2026-03-11",20,9,489869595,54429955.0,4,28811616.3,1,"CỬA HÀNG XE ĐẠP SÁN LẠP","Nghệ An","Miền Trung",9,489869595,0.4969,"Trung bình",0
"KH-00089","2025-02-14",410,1,138392643,138392643.0,3,0.0,0,"HỘ KINH DOANH TOÀN THẮNG","Nghệ A","Miền Bắc",1,138392643,0.5904,"Trung bình",0
"KH-00090","2025-02-15",409,1,8518519,8518519.0,1,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI TÂY BẮC","Thanh Hoá","Miền Trung",1,8518519,0.2227,"Nguy cơ cao",1
"KH-00091","2026-03-31",0,55,9457911935,171962035.0,6,718094595.4,1,"CÔNG TY TNHH BÌNH MINH","Hà Nội","Miền Bắc",55,9457911935,0.0,"Nguy cơ cao",1
"KH-00092","2025-03-31",365,3,51482643,17160881.0,2,22962643.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI XUÂN MAI","Hà Nội","Miền Bắc",3,51482643,0.3303,"Trung bình",0
"KH-00093","2025-03-25",371,4,112430000,28107500.0,4,45290000.0,0,"CÔNG TY CỔ PHẦN PHÚC AN","Hà Nội","Miền Bắc",4,112430000,0.3559,"Trung bình",0
"KH-00094","2025-03-31",365,2,41790000,20895000.0,3,-4870000.0,0,"HỘ KINH DOANH SÁN LẠP","Phú Thọ","Miền Bắc",2,41790000,0.2769,"Nguy cơ cao",1
"KH-00095","2025-02-17",407,1,34730000,34730000.0,3,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI KHẢI HOÀN","Hà Nội","Miền Bắc",1,34730000,0.2547,"Nguy cơ cao",1
"KH-00096","2025-03-18",378,2,52127000,26063500.0,3,3447000.0,0,"CÔNG TY TNHH THƯƠNG MẠI SƠN HÀ","Hà Nội","Miền Bắc",2,52127000,0.283,"Nguy cơ cao",1
"KH-00097","2025-03-31",365,8,199350113,24918764.0,5,-64741097.0,0,"CÔNG TY TNHH XUÂN MAI","Hà Nội","Miền Bắc",8,199350113,0.8263,"Tích cực",0
"KH-00098","2025-03-18",378,3,302480000,100826667.0,2,-1080000.0,0,"HỘ KINH DOANH MẶT TRỜI","Nghệ An","Miền Trung",3,302480000,0.5175,"Trung bình",0
"KH-00099","2025-02-17",407,1,43710000,43710000.0,4,0.0,0,"CÔNG TY TNHH NGỌC ANH","Hà Nội","Miền Bắc",1,43710000,0.2613,"Nguy cơ cao",1
"KH-00100","2025-03-22",374,3,87295102,29098367.0,4,10156058.0,0,"CỬA HÀNG XE ĐẠP ĐẠI LỢI","Hà Nội","Miền Bắc",3,87295102,0.3342,"Trung bình",0
"KH-00101","2025-03-24",372,3,35420000,11806667.0,3,33060000.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI QUANG VINH","Hà Nội","Miền Bắc",3,35420000,0.292,"Nguy cơ cao",1
"KH-00102","2026-03-14",17,2,94088326,47044163.0,1,-45311674.0,1,"CỬA HÀNG XE ĐẠP AN PHÁT","Bắc Ninh","Miền Bắc",2,94088326,0.2345,"Nguy cơ cao",1
"KH-00103","2025-02-19",405,1,18680556,18680556.0,1,0.0,0,"CÔNG TY CỔ PHẦN AN PHÁT","Bắc Giang","Miền Bắc",1,18680556,0.2458,"Nguy cơ cao",1
"KH-00104","2025-03-25",371,3,226215286,75405095.0,3,95544714.0,0,"DOANH NGHIỆP TW THUỶ TIÊN","Thanh Hóa","Miền Trung",3,226215286,0.2893,"Nguy cơ cao",1
"KH-00105","2025-02-19",405,1,34910000,34910000.0,2,0.0,0,"CỬA HÀNG XE ĐẠP PHÚC AN","Bắc Ninh","Miền Bắc",1,34910000,0.2716,"Nguy cơ cao",1
"KH-00106","2025-02-19",405,1,88360000,88360000.0,2,0.0,0,"CÔNG TY TNHH THƯƠNG MẠI TOÀN THẮNG","Thanh Hóa","Miền Trung",1,88360000,0.4381,"Trung bình",0
"KH-00107","2025-03-28",368,3,82830000,27610000.0,2,39310000.0,0,"CÔNG TY TNHH LONG PHÚ","Bắc Ninh","Miền Bắc",3,82830000,0.3223,"Trung bình",0
"KH-00108","2025-02-19",405,1,35900000,35900000.0,3,0.0,0,"HỘ KINH DOANH LÊ ANH","Hà Nội","Miền Bắc",1,35900000,0.2568,"Nguy cơ cao",1
"KH-00109","2025-03-31",365,3,80790000,26930000.0,3,56990000.0,0,"CÔNG TY CỔ PHẦN VẠN LỢI","Hà Nội","Miền Bắc",3,80790000,0.2745,"Nguy cơ cao",1
"KH-00110","2025-03-24",372,2,57900000,28950000.0,3,18400000.0,0,"CỬA HÀNG XE ĐẠP TÂY BẮC","Hà Nội","Miền Bắc",2,57900000,0.2645,"Nguy cơ cao",1
"KH-00111","2025-03-27",369,2,72628500,36314250.0,4,20548500.0,0,"DOANH NGHIỆP TW MẶT TRỜI","Hà Nội","Miền Bắc",2,72628500,0.2573,"Nguy cơ cao",1
"KH-00112","2025-03-19",377,2,61441481,30720740.0,3,-8918519.0,0,"HỘ KINH DOANH TÚ ANH","Khu 2- thị trấn Kim Tân- Thạch Thành - Thanh Hóa","Miền Bắc",2,61441481,0.3108,"Trung bình",0
"KH-00113","2026-01-24",66,2,41439439,20719720.0,1,5859439.0,0,"DOANH NGHIỆP TW XÂY DỰNG","Thanh Hoá","Miền Trung",2,41439439,0.1567,"Nguy cơ cao",1
"KH-00114","2025-02-19",405,1,22550000,22550000.0,3,0.0,0,"CỬA HÀNG XE ĐẠP NGỌC ANH","Phố Kiểu - Yên Trường - Yên Định - Thanh Hoá","Miền Bắc",1,22550000,0.2232,"Nguy cơ cao",1
"KH-00115","2025-03-31",365,2,52250000,26125000.0,3,-12470000.0,0,"CÔNG TY CỔ PHẦN YÊN BÌNH","Thanh Hóa","Miền Trung",2,52250000,0.2991,"Nguy cơ cao",1
"KH-00116","2025-02-19",405,1,57090000,57090000.0,2,0.0,0,"HỘ KINH DOANH TOÀN THẮNG","Hưng Yên","Miền Bắc",1,57090000,0.3361,"Trung bình",0
"KH-00117","2025-03-31",365,2,48490000,24245000.0,2,570000.0,0,"HỘ KINH DOANH YÊN BÌNH","Hưng yên","Miền Bắc",2,48490000,0.2944,"Nguy cơ cao",1
"KH-00118","2025-02-20",404,1,7361111,7361111.0,1,0.0,0,"HỘ KINH DOANH HÙNG CƯỜNG","Nam Định","Miền Bắc",1,7361111,0.2176,"Nguy cơ cao",1
"KH-00119","2025-03-25",371,2,53513597,26756798.0,4,-3231519.0,0,"DOANH NGHIỆP TW MẶT TRỜI","Hà Nội","Miền Bắc",2,53513597,0.2721,"Nguy cơ cao",1
"KH-00120","2025-03-25",371,2,77920143,38960072.0,5,16434857.0,0,"CÔNG TY TNHH THANH BÌNH","Hà Nội","Miền Bắc",2,77920143,0.252,"Nguy cơ cao",1
"KH-00121","2025-02-20",404,1,25527929,25527929.0,4,0.0,0,"CÔNG TY TNHH CHI THÀNH","Hưng Yên","Miền Bắc",1,25527929,0.2144,"Nguy cơ cao",1
"KH-00122","2025-02-20",404,1,28520000,28520000.0,3,0.0,0,"CÔNG TY TNHH CHI THÀNH","Hưng Yên","Miền Bắc",1,28520000,0.2373,"Nguy cơ cao",1
"KH-00123","2025-02-20",404,1,17390000,17390000.0,2,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI LONG PHÚ","Hà Nội","Miền Bắc",1,17390000,0.2259,"Nguy cơ cao",1
"KH-00124","2025-02-20",404,1,36220000,36220000.0,2,0.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI AN PHÁT","Thanh Hoá","Miền Trung",1,36220000,0.2746,"Nguy cơ cao",1
"KH-00125","2025-02-20",404,1,21860000,21860000.0,1,0.0,0,"HỘ KINH DOANH BÌNH MINH","Thanh Hóa","Miền Trung",1,21860000,0.2536,"Nguy cơ cao",1
"KH-00126","2025-03-24",372,3,106170000,35390000.0,4,30230000.0,0,"HỘ KINH DOANH HOÀ BÌNH","Thanh Hoá","Miền Trung",3,106170000,0.3112,"Trung bình",0
"KH-00127","2025-02-20",404,1,48240000,48240000.0,1,0.0,0,"CỬA HÀNG XE ĐẠP TÂN TIẾN","Hà Nam","Miền Bắc",1,48240000,0.3284,"Trung bình",0
"KH-00128","2025-02-20",404,1,46560000,46560000.0,2,0.0,0,"HỘ KINH DOANH TÂY BẮC","Thanh Hóa","Miền Trung",1,46560000,0.3039,"Trung bình",0
"KH-00129","2025-02-20",404,1,60307929,60307929.0,4,0.0,0,"CÔNG TY CỔ PHẦN LÊ ANH","Tĩnh Thanh Hoá","Miền Bắc",1,60307929,0.3061,"Trung bình",0
"KH-00130","2025-03-31",365,5,191180000,38236000.0,3,117980000.0,0,"CÔNG TY CỔ PHẦN THƯƠNG MẠI THUỶ TIÊN","Thanh Hoá","Miền Trung",5,191180000,0.337,"Trung bình",0
"KH-00131","2025-02-20",404,1,35090000,35090000.0,2,0.0,0,"CÔNG TY TNHH QUANG VINH","Hà Nam","Miền Bắc",1,35090000,0.2715,"Nguy cơ cao",1
"KH-00132","2025-03-28",368,4,341650000,85412500.0,4,194170000.0,0,"CÔNG TY TNHH THƯƠNG MẠI HOÀ BÌNH","Nghệ An","Miền Trung",4,341650000,0.1872,"Nguy cơ cao",1
"KH-00133","2026-03-25",6,9,324903357,36100373.0,4,20989751.9,1,"DOANH NGHIỆP TW YÊN BÌNH","Thanh Hoá","Miền Trung",9,324903357,0.5657,"Trung bình",0
